"InvoiceId","Store","Department","SSN","CustomerName","Gender","Address","City","State","PostalCode","PaymentType","CardNumber","Quantity","ProductPrice","Total","Product","SaleDate","SaleTime"
134904,Pollich-Klocko,"Tools, Beauty & Music","745-26-4947",Alysa Heaney,Female,"23922 Porter Forge",Adalinestad,PA,97258,EWallet,"1PczGZ6bxzRwiLVwopCeoa98FqsLz2KM7t",1,66.48,66.48,Awesome Concrete Shirt,2022-02-20,18:39:31
135600,Hilll-Rolfson,"Books, Games & Music","267-60-1213",Margarita Reichert,Female,"4040 Elna Roads",South Green,OR,22347,AMEX,"3191-949962-86324",10,31.02,310.20,Practical Rubber Shirt,2021-09-14,12:58:09
136070,Witting DVM,"Clothing, Beauty & Health","133-53-4637",Florian Dicki,Male,"92529 Douglas Junctions",Lake Thea,TN,84323,MasterCard,"5598-9028-6728-8533",5,54.18,270.90,Gorgeous Granite Gloves,2022-01-07,02:51:33
136083,Pollich-Klocko,Movies & Home,"648-89-6677",Katheryn Kozey,Female,"90150 Rodriguez Isle",North Tillmantown,IA,19336,Cash,"",3,98.06,294.18,Practical Cotton Shoes,2022-05-06,16:37:47
136736,Corkery Sr.,"Garden, Outdoors & Clothing","162-49-5996",Marquis Brakus,Male,"6659 Maximo Cliff",East Josie,IL,61825,MasterCard,"5824-6175-8917-7963",7,86.91,608.37,Practical Granite Table,2021-11-02,05:03:49
139159,"Kutch, Hartmann and Runolfsdottir","Computers, Outdoors & Automotive","371-16-1340",Maribel Wilderman,Female,"49990 Stiedemann Center",South Angelina,MS,56672,Cash,"",2,22.92,45.84,Incredible Wooden Pants,2021-12-15,19:06:52
139423,Kub-Stroman,"Automotive, Grocery & Sports","719-72-3862",Jeremy Pouros V,Female,"7594 Waelchi Wall",Eudorabury,TX,94651,Cash,"",10,37.98,379.80,Gorgeous Granite Car,2021-09-27,12:47:08
141127,Howell-Mraz,Games,"659-61-4125",Mr. Maxine Cremin,Male,"227 Harvey Walk",Douglasview,GA,71596,Visa,"4232-1998-8060-1746",8,5.99,47.92,Fantastic Steel Chair,2021-07-20,17:44:35
141928,Mueller II,Sports,"899-51-1811",Caleb Champlin,Female,"66086 Guy Haven",Monserrateside,VT,65695,MasterCard,"5237-9936-6075-8618",2,11.33,22.66,Awesome Rubber Pants,2022-02-27,22:28:22
145239,Corkery Sr.,"Books, Sports & Outdoors","343-29-2149",Peter Gutmann,Female,"282 Kamron Crossroad",Lake Kayceeland,NV,46975,MasterCard,"5724-8595-8430-9405",2,99.22,198.44,Rustic Steel Pants,2022-03-03,21:26:29
145389,Kub-Stroman,Books,"365-49-3877",Dolores Cremin,Female,"652 Ellis Row",Lake Jedfurt,PA,68802,MasterCard,"5759-1624-8417-6668",6,19.26,115.56,Awesome Rubber Car,2022-02-17,13:30:27
145672,Witting DVM,Grocery & Movies,"194-39-2524",Raul Pollich,Female,"2633 Cummerata Manors",Amaliafort,FL,72999,MasterCard,"5763-8266-3534-8730",9,72.86,655.74,Gorgeous Concrete Pants,2022-03-30,23:37:12
146645,Bergstrom-Senger,Electronics,"598-80-2863",Roberta Boyer MD,Female,"1214 Noemy Road",North Stuartchester,KY,49696,Visa,"4116-4277-4583-7084",4,76.61,306.44,Practical Wooden Gloves,2022-01-27,22:49:28
147098,Emard DVM,Grocery,"665-27-2948",Kennith Rice,Male,"6119 D'Amore Trafficway",Larsonview,AL,87094,Visa,"4392-2441-8184-7755",7,8.32,58.24,Practical Wooden Hat,2021-12-24,08:08:05
147743,Mueller II,"Shoes, Beauty & Kids","703-60-6822",Juwan Krajcik,Female,"9252 Gretchen Brooks",West Eunafort,HI,87079,Visa,"4263-5911-8314-3047",5,24.70,123.50,Rustic Steel Shoes,2022-05-11,18:52:04
148498,Bergstrom-Senger,"Automotive, Kids & Shoes","899-95-3508",Matt Osinski MD,Male,"58394 Natalie View",Yostmouth,AZ,68353,MasterCard,"5977-5912-1422-8001",7,31.67,221.69,Practical Rubber Shirt,2022-04-30,18:32:04
148526,Emard DVM,"Outdoors, Movies & Beauty","676-85-2992",Donnell Corkery,Male,"66104 Phoebe Fork",West Hannahmouth,MT,35018,EWallet,"13eJPdhK8mct3oxPLbnjjbJh24TNniu9Tj",10,95.13,951.30,Practical Steel Computer,2022-03-31,04:37:55
149225,Corkery Sr.,Health,"502-92-4124",Lucious Grimes,Female,"84791 Daphney Fields",New Jameyview,RI,88030,Visa,"4769-2304-9077-9101",9,39.92,359.28,Small Rubber Shoes,2022-05-06,17:42:05
153064,Howell-Mraz,"Tools, Shoes & Toys","230-14-8795",Afton Rohan,Male,"4399 Greta Gardens",West Waldo,NC,65887,Visa,"4625-4955-9144-5948",9,89.28,803.52,Gorgeous Wooden Table,2021-09-28,12:36:36
153395,Mueller II,"Grocery, Home & Computers","575-37-6046",Ottilie Block,Male,"4034 Esperanza Track",Port Daniela,TN,70751,Cash,"",6,79.78,478.68,Fantastic Steel Car,2022-05-17,22:03:21
153440,Witting DVM,Clothing & Automotive,"653-57-9865",Reggie Olson,Female,"965 Braun Lodge",West Philipton,OH,13950,EWallet,"1794TF7VgRkT1pLRj7JuuSeTYcQxytKqNs",2,82.35,164.70,Awesome Cotton Gloves,2022-01-21,21:16:36
156253,Corkery Sr.,Clothing,"818-79-9182",Raquel Gleichner,Male,"719 Audra Trace",North Timmy,VT,19511,Cash,"",10,62.06,620.60,Practical Cotton Shoes,2022-05-12,03:30:50
157065,Corkery Sr.,Computers & Electronics,"835-18-2562",Alexandria Kuphal,Female,"3567 Kaci Rapid",Quintontown,WY,74788,Cash,"",1,36.47,36.47,Sleek Concrete Pants,2022-03-01,08:08:34
158981,Witting DVM,Beauty & Grocery,"575-19-8961",Martina Nader,Male,"808 Haag Corners",Aliciafurt,NH,79446,Visa,"4009-5573-5266-4170",5,74.58,372.90,Sleek Concrete Table,2022-04-16,22:57:27
163780,Bergstrom-Senger,"Clothing, Music & Games","539-66-3959",Bill Schneider,Female,"598 Blanda Brooks",Port Ebba,AZ,21901,EWallet,"1Mo6vnT8ovcAhDntyrfh7Zb83ZM6takWHU",5,12.98,64.90,Awesome Rubber Gloves,2021-09-02,19:15:36
167236,Witting DVM,Tools & Home,"233-36-8258",Maxine Jerde,Male,"545 Johnathon Cove",Wolffurt,PA,20025,Cash,"",2,50.84,101.68,Fantastic Rubber Table,2022-03-10,03:19:19
167613,Hilll-Rolfson,Garden & Grocery,"860-93-3180",Darrel Lemke II,Female,"40294 Sarai Parks",Janychester,KS,76351,AMEX,"3404-312865-17653",6,90.31,541.86,Practical Rubber Shoes,2022-03-20,09:28:55
172103,Corkery Sr.,Kids,"871-74-3481",Lennie Bernier,Male,"4183 Johnston Bridge",East Antoneburgh,IL,92096,MasterCard,"5263-7944-6900-9582",2,71.32,142.64,Fantastic Concrete Hat,2022-05-23,08:30:50
179310,Kub-Stroman,Shoes,"240-17-2895",Courtney Schneider,Female,"837 Hudson Gateway",Wizaport,IN,59818,AMEX,"3278-120788-91984",6,66.37,398.22,Fantastic Concrete Shoes,2021-12-26,08:07:14
179602,Pollich-Klocko,Sports & Books,"407-53-9497",Miss Ebba Kertzmann,Female,"7666 Jenkins Ridge",South Helene,MS,12573,Visa,"4586-1063-4392-6428",10,44.94,449.40,Small Concrete Gloves,2022-02-19,01:25:08
180062,Kub-Stroman,Shoes & Outdoors,"764-30-7488",Percy Yost,Male,"637 Marjolaine Roads",Simonishaven,KY,68645,Cash,"",10,10.10,101.00,Intelligent Cotton Table,2021-11-07,00:06:35
180220,Bergstrom-Senger,"Shoes, Kids & Toys","832-46-8239",Oscar Schiller,Male,"6367 Leannon Villages",South Xavierport,GA,82920,MasterCard,"5295-5377-6553-4557",8,10.20,81.60,Rustic Rubber Gloves,2021-12-21,18:52:17
182574,Pollich-Klocko,Automotive & Beauty,"475-91-9511",Maya Boyer,Female,"21171 Chaya Avenue",North Clementberg,CA,47111,MasterCard,"5226-1576-3219-1572",9,11.05,99.45,Intelligent Steel Chair,2022-03-30,22:31:44
184506,Bergstrom-Senger,Garden,"865-71-5855",Celestino Bode,Male,"786 Green Brook",North Zanderhaven,TN,54694,MasterCard,"5655-4473-6217-2364",3,10.86,32.58,Intelligent Granite Computer,2022-03-02,03:54:05
184697,Hilll-Rolfson,Sports & Movies,"340-11-2142",Lauryn Shields,Male,"91540 Kristofer Cape",Howetown,MO,61364,MasterCard,"5393-3892-6878-7350",1,95.86,95.86,Rustic Rubber Gloves,2021-11-24,20:39:37
187686,Kub-Stroman,Movies & Games,"968-82-7870",Rahsaan Windler,Female,"7681 Erdman Coves",Ransommouth,MD,56496,MasterCard,"5023-9039-7378-3754",3,56.09,168.27,Small Steel Car,2022-05-18,13:23:34
187759,Emard DVM,"Grocery, Electronics & Garden","116-15-9957",Bridie Dickinson,Male,"834 Marlin Corner",Schroederview,WY,51902,AMEX,"3192-469342-24288",10,72.18,721.80,Incredible Steel Pants,2022-04-04,20:49:23
188274,Bergstrom-Senger,"Health, Jewelery & Home","715-96-1448",Domingo Schiller,Male,"230 Carter Camp",Davisside,TN,31380,EWallet,"18TzkYvYirpt41oUk7v1xA8PyB3WTjfZf7",2,33.43,66.86,Incredible Granite Chair,2022-05-12,02:45:22
189080,Emard DVM,Music & Sports,"587-48-1209",Miss Briana Lowe,Male,"532 Kathleen Lake",Wittingfort,NC,49760,MasterCard,"5446-3137-2969-1197",6,56.24,337.44,Practical Rubber Car,2021-11-19,16:21:11
191830,Corkery Sr.,Toys & Kids,"975-93-4324",Flossie West,Male,"802 Nolan Spur",New Tanner,UT,58348,Cash,"",6,56.94,341.64,Practical Granite Shirt,2022-05-19,05:53:28
199801,Howell-Mraz,Jewelery,"946-46-1173",Jessie Torphy IV,Female,"696 Harris Mountains",Metzview,VA,43280,Cash,"",5,4.30,21.50,Awesome Steel Hat,2022-05-09,14:02:33
200332,Mueller II,Computers & Movies,"307-95-1461",Estevan Hane,Male,"7475 Nienow Fork",New Laurynmouth,OR,66857,AMEX,"3352-876279-77395",2,55.15,110.30,Sleek Plastic Chair,2022-03-01,13:15:29
202559,Bergstrom-Senger,Clothing & Garden,"184-88-3013",Buster Sanford,Male,"68400 Towne Curve",East Samir,OH,63385,EWallet,"15AsGuSf8kEQwuEn2oZJekrriNp3wHUgGE",7,64.51,451.57,Incredible Granite Gloves,2022-02-25,16:45:18
203703,Witting DVM,"Books, Sports & Computers","700-59-5926",Orpha Thiel,Male,"614 Ladarius Lodge",New Franciscamouth,MD,67140,MasterCard,"5090-7320-5371-9732",5,57.03,285.15,Intelligent Cotton Chair,2021-09-05,04:29:29
204949,Howell-Mraz,"Electronics, Tools & Computers","462-86-6479",Conrad Mayer,Male,"44473 Gwendolyn Greens",Zboncaktown,MA,71765,MasterCard,"5591-1187-8592-2981",8,23.67,189.36,Small Granite Table,2022-05-09,07:59:43
205975,Hilll-Rolfson,Computers,"115-88-2714",Wendell Dach,Male,"434 Kiehn River",Demondside,MO,11234,AMEX,"3850-757499-71399",7,45.53,318.71,Incredible Concrete Shirt,2022-02-24,19:20:16
207399,Emard DVM,Electronics,"232-96-4120",Mrs. Miles Von,Female,"58709 Zulauf Pine",Armstrongton,UT,88636,AMEX,"3114-155831-48035",8,86.96,695.68,Incredible Granite Chair,2022-03-07,15:19:44
208916,Hilll-Rolfson,Shoes,"542-31-5454",Ethel Runte,Female,"8724 Jadyn Lake",New Ignatius,VA,38405,Cash,"",8,98.81,790.48,Sleek Steel Pants,2022-04-25,22:16:50
211015,Howell-Mraz,"Jewelery, Industrial & Kids","261-74-2871",Melyna Deckow,Female,"48473 Ambrose Mission",Port Albin,MD,89480,MasterCard,"5064-5654-4915-9546",8,5.42,43.36,Gorgeous Wooden Chair,2021-11-05,06:51:49
211418,"Kutch, Hartmann and Runolfsdottir","Books, Automotive & Jewelery","831-37-7450",Anissa Bruen,Male,"797 Burley Ridge",Port Avery,AL,63589,Cash,"",9,15.23,137.07,Gorgeous Wooden Shoes,2021-10-03,02:56:35
213738,Witting DVM,Clothing & Toys,"333-36-7294",Stanley Smitham,Male,"40556 Ethan Manors",Danielhaven,CT,18769,Cash,"",9,80.12,721.08,Fantastic Granite Gloves,2021-08-31,09:58:05
215174,Hilll-Rolfson,Shoes & Outdoors,"899-22-8387",Zoila Klocko,Female,"2232 Olson Forks",Ursulahaven,CA,67525,AMEX,"3649-911297-22072",7,50.81,355.67,Gorgeous Concrete Hat,2022-04-19,06:13:37
218047,Emard DVM,Games & Clothing,"927-75-8842",Mrs. Earl Becker,Male,"505 Eudora Drive",Blandaburgh,NY,95091,Visa,"4569-1724-5104-6649",4,37.67,150.68,Fantastic Steel Car,2022-05-11,01:37:21
218654,Hilll-Rolfson,Grocery & Health,"577-42-1315",Camila Wehner,Male,"59753 Laney Fork",East Bufordview,NJ,19806,AMEX,"3943-371087-89552",6,46.25,277.50,Ergonomic Steel Gloves,2022-04-28,19:23:57
222104,Bergstrom-Senger,"Tools, Kids & Electronics","758-70-2481",Gabriella Hermann,Male,"36544 Colton Ridge",Klingchester,OR,55518,MasterCard,"5523-5983-9360-2630",6,27.32,163.92,Fantastic Wooden Shoes,2022-04-05,05:46:49
226788,Kub-Stroman,Kids & Automotive,"513-30-7932",Edwina Nader,Female,"484 Turner Dale",East Makenna,OH,89066,Visa,"4610-1674-6826-3347",5,50.35,251.75,Intelligent Cotton Hat,2021-11-17,16:03:29
230811,Hilll-Rolfson,Tools & Toys,"489-59-5191",Gaylord Smith,Male,"740 Ullrich Viaduct",Alfredaview,CT,29822,EWallet,"1AJbhbRfmnzUMg4S2icNRsz9usq5saUubU",5,76.40,382.00,Awesome Rubber Computer,2022-04-27,14:47:20
231873,Emard DVM,Baby & Books,"925-56-3119",Trenton Fisher,Female,"56701 Walker Station",Faheyville,NH,66286,Visa,"4347-2524-5710-5357",8,98.77,790.16,Incredible Plastic Shoes,2022-03-04,18:12:07
232301,"Kutch, Hartmann and Runolfsdottir","Music, Outdoors & Health","498-85-1485",Orville Keeling,Male,"35419 Hagenes Corner",North Raymouth,CT,25447,AMEX,"3392-571592-33272",7,43.99,307.93,Awesome Concrete Shoes,2022-01-29,11:38:08
236923,Emard DVM,Grocery & Outdoors,"445-65-2260",Max Medhurst,Male,"57917 Homenick Mill",New Marcelleport,OR,90389,AMEX,"3999-578708-74973",9,51.89,467.01,Fantastic Plastic Chair,2022-05-07,03:05:36
242946,Pollich-Klocko,"Beauty, Shoes & Home","816-85-6698",Stevie Hagenes III,Male,"304 Alysa Well",Gaylebury,ID,81875,AMEX,"3137-258150-37148",7,33.78,236.46,Sleek Rubber Shirt,2022-05-16,13:49:29
245652,Corkery Sr.,Industrial,"228-41-8181",Brain Homenick II,Female,"20814 Stiedemann Landing",Reannaberg,NJ,99624,MasterCard,"5072-1017-6026-6344",6,48.58,291.48,Sleek Granite Pants,2022-03-20,14:16:26
245889,Mueller II,Sports & Outdoors,"319-94-6287",Miss Heloise Boyle,Female,"841 Devan Bridge",Kamronville,NJ,36168,Visa,"4777-2008-9446-2298",6,72.41,434.46,Small Rubber Shoes,2021-12-12,19:46:41
246196,"Kutch, Hartmann and Runolfsdottir",Garden,"731-59-4731",Clara Hills,Female,"3336 Boehm Motorway",Keeblerfurt,OH,48626,EWallet,"14v9dkTyUt7cVZSXRWSTbcDMc3XgSnk1sC",2,88.32,176.64,Small Steel Chair,2022-04-17,23:29:08
250394,Kub-Stroman,"Jewelery, Electronics & Sports","625-60-9460",Dr. Jeffery Hamill,Female,"143 Nolan Hill",Danielport,NJ,57846,AMEX,"3991-750748-15622",3,2.29,6.87,Intelligent Wooden Chair,2021-12-29,07:51:43
254570,Kub-Stroman,Garden & Home,"246-96-6416",Mrs. Lamar Emmerich,Female,"295 Lesch Burg",Lake Lianaside,ND,47936,MasterCard,"5126-6116-9588-8232",9,80.01,720.09,Gorgeous Wooden Shoes,2022-05-23,10:43:11
255900,"Kutch, Hartmann and Runolfsdottir","Computers, Industrial & Shoes","863-56-9047",Landen Gutkowski DDS,Male,"59262 Kris Groves",East Nicolaborough,GA,54622,AMEX,"3563-549167-89343",6,99.54,597.24,Fantastic Cotton Gloves,2022-04-19,07:41:18
256752,Hilll-Rolfson,Jewelery & Shoes,"772-13-8961",Antonette Dach Jr.,Male,"146 Makayla Place",Baumbachfurt,SC,89622,MasterCard,"5611-3893-9371-8346",1,48.84,48.84,Ergonomic Plastic Computer,2021-11-14,04:21:36
256835,Corkery Sr.,Music & Sports,"824-83-9626",Dr. Stacy Medhurst,Male,"85523 Jaskolski Alley",South Juliustown,IN,65477,MasterCard,"5918-7579-3616-2863",10,97.71,977.10,Ergonomic Steel Hat,2022-02-17,20:51:47
260669,Corkery Sr.,Shoes,"977-75-6503",Hilario Stehr MD,Female,"71398 Aliya Avenue",South Kevenfurt,IA,76777,EWallet,"1Mh1ij8LwdJZAaFJyMHHcgFdxHf4ABEE8B",7,10.97,76.79,Gorgeous Granite Gloves,2022-05-14,07:48:57
262570,Witting DVM,"Movies, Jewelery & Health","762-15-6122",Turner Morissette,Female,"8064 Daphney Knolls",Jaquelinland,SD,19688,Cash,"",2,84.30,168.60,Ergonomic Granite Table,2022-04-10,08:31:01
263857,Pollich-Klocko,Movies,"434-63-6820",Retha Kulas,Female,"728 Stiedemann Estates",Lake Fiona,MN,70440,Cash,"",8,47.58,380.64,Intelligent Cotton Gloves,2022-03-08,18:07:13
265380,Kub-Stroman,"Clothing, Shoes & Baby","921-81-3304",Edna Steuber I,Female,"7192 Jed Spring",West Malika,IL,30046,EWallet,"1DUn7JyExCDXp1eFUnHa5oZ2zp2jFBPcxF",4,56.96,227.84,Ergonomic Concrete Chair,2022-03-09,06:24:41
266527,"Kutch, Hartmann and Runolfsdottir","Health, Beauty & Sports","576-63-4980",Yadira Schamberger,Female,"4192 Witting Tunnel",Sauerfurt,MI,80498,EWallet,"1MGmZJukTHs6Lx6uMYbReSAPBLJKoymcxR",5,99.01,495.05,Incredible Steel Chair,2022-02-04,08:44:22
268975,Kub-Stroman,"Automotive, Kids & Shoes","294-23-3833",Shemar Hudson,Female,"6134 Corkery Plains",East Christine,AK,45998,Visa,"4331-5912-5882-3335",2,84.59,169.18,Rustic Concrete Shoes,2022-03-13,00:40:31
270943,Hilll-Rolfson,Tools & Grocery,"306-49-2664",Freddie Fadel V,Male,"73311 Koelpin Parkway",New Aiyanaland,AR,96038,Visa,"4878-5062-2751-3058",3,69.72,209.16,Sleek Cotton Shoes,2022-03-31,00:49:12
271799,Pollich-Klocko,Home,"399-65-3175",Furman Effertz,Female,"1709 Columbus Route",West Vanceland,NV,25680,Cash,"",6,13.41,80.46,Fantastic Plastic Gloves,2022-05-06,02:54:11
275428,Mueller II,Health & Automotive,"685-14-6530",Kayli Ankunding,Male,"27825 Celia Greens",Kristyhaven,CO,54765,EWallet,"18mfui9bDEcNKFLekvcrVPx3fxX7zdD56U",9,28.99,260.91,Intelligent Plastic Gloves,2021-08-15,14:42:05
285833,Emard DVM,Beauty,"594-83-3954",Germaine Mertz,Female,"3812 Donnell Trace",South Dannie,FL,19360,MasterCard,"5686-3543-8581-7071",9,69.70,627.30,Small Granite Gloves,2022-03-11,04:35:51
286264,Emard DVM,Home,"193-57-2987",Aliza Hilll PhD,Male,"2610 Kennedy Squares",West Noemi,UT,99631,Cash,"",4,47.49,189.96,Ergonomic Granite Hat,2022-03-12,19:26:01
286439,Hilll-Rolfson,"Industrial, Home & Computers","378-72-1554",Arjun Bechtelar,Male,"4759 Huels Turnpike",North Uliseschester,FL,90624,Cash,"",9,7.70,69.30,Small Steel Gloves,2022-05-21,18:23:22
286957,Corkery Sr.,"Electronics, Tools & Outdoors","345-18-1447",Brody O'Hara II,Male,"61054 Carter Rue",West Jedediahberg,MI,95623,Cash,"",9,56.73,510.57,Fantastic Granite Computer,2022-04-23,00:40:51
289381,Kub-Stroman,Books,"237-53-2516",Roderick Pagac,Male,"813 Jarrod Views",South Levi,MT,46584,Visa,"4468-3390-8969-7227",4,40.87,163.48,Rustic Steel Computer,2022-05-07,15:16:26
301674,Mueller II,Health & Kids,"644-39-4399",Ms. Nicola Hintz,Female,"13395 Gianni Drive",Ramonaport,MN,74450,AMEX,"3440-983347-94762",5,34.90,174.50,Small Granite Computer,2021-12-13,17:36:08
309159,Bergstrom-Senger,"Health, Sports & Music","192-36-9005",Jeffery Schmidt,Male,"72115 Nayeli Union",Leonieshire,MI,36093,Cash,"",2,12.69,25.38,Practical Plastic Pants,2022-05-21,12:57:32
312753,Pollich-Klocko,"Music, Electronics & Movies","758-19-9903",Millie Hane,Male,"6072 Orn Viaduct",South Ashleighchester,MD,78541,MasterCard,"5539-8373-1677-3414",3,59.36,178.08,Intelligent Rubber Computer,2022-04-02,10:54:05
314592,Pollich-Klocko,Outdoors & Computers,"453-38-3679",Madisyn Hilpert III,Female,"388 Marcus Plaza",Rohanland,CO,37810,Cash,"",9,6.76,60.84,Sleek Steel Car,2022-04-10,15:41:55
315811,Howell-Mraz,Kids,"868-91-3637",Yadira Kiehn,Female,"78944 Reymundo Cove",Lake Trey,UT,62603,MasterCard,"5971-4517-7499-4762",7,62.74,439.18,Fantastic Plastic Table,2022-04-06,20:46:04
319454,Hilll-Rolfson,Sports,"416-88-5592",Hiram Ankunding II,Female,"11272 Jayson Forks",West Rileyborough,WA,43642,EWallet,"14DxDeR9HVSU6F39LDACBeXAE8KUAXwi1M",6,90.80,544.80,Incredible Rubber Car,2022-02-13,01:28:27
321136,Corkery Sr.,"Computers, Games & Outdoors","359-85-7310",Taurean Feest,Female,"355 Johnston Bridge",East Davidburgh,NY,43431,AMEX,"3232-167408-92607",10,88.53,885.30,Ergonomic Rubber Shoes,2022-02-28,18:42:25
323640,Witting DVM,Electronics & Garden,"390-86-3557",Megane Batz,Male,"46917 Favian Plaza",Beerberg,WA,30733,Cash,"",1,72.10,72.10,Fantastic Granite Car,2021-07-27,00:03:58
331496,Kub-Stroman,Automotive,"968-59-1565",Meggie Beer V,Male,"922 Keanu Village",East Cristian,MI,63939,EWallet,"16UuUMkFEBq3AwiQcSQkzHZWLGStKpA66q",8,28.98,231.84,Rustic Steel Pants,2022-04-08,20:48:19
333798,Corkery Sr.,"Shoes, Automotive & Games","485-69-2993",Nicklaus Kuvalis,Male,"9905 Taurean Shoal",Yvetteport,AZ,81818,AMEX,"3522-491775-23070",10,41.25,412.50,Rustic Steel Shirt,2022-05-04,01:11:43
333979,Bergstrom-Senger,Tools,"480-70-4260",Nat Lindgren,Female,"559 Loraine Ports",North Alena,NV,35336,MasterCard,"5317-9405-8041-5162",5,40.71,203.55,Awesome Plastic Pants,2022-05-06,05:14:20
336433,Witting DVM,"Toys, Clothing & Industrial","790-49-1234",Mrs. Raven Larson,Female,"68192 Lubowitz Locks",Eulahmouth,KY,51017,Cash,"",5,17.83,89.15,Practical Plastic Computer,2022-01-15,23:00:00
338105,Emard DVM,Shoes,"571-68-5566",Tierra Towne,Male,"8728 Roberts Station",Osinskitown,ID,64910,Cash,"",7,15.66,109.62,Small Concrete Car,2022-04-24,04:13:40
341543,"Kutch, Hartmann and Runolfsdottir",Sports & Health,"362-77-5561",Mrs. Elinore Ullrich,Male,"405 Fleta Pass",Weberview,MA,46853,AMEX,"3277-116058-72508",3,49.49,148.47,Awesome Granite Shoes,2021-11-02,23:37:46
346517,Kub-Stroman,Tools & Jewelery,"821-16-8464",Brandi Okuneva I,Male,"425 Roberto Dale",South Hilarioland,NM,99151,MasterCard,"5046-4943-2600-5545",2,94.01,188.02,Rustic Concrete Chair,2021-10-07,12:44:50
348423,Kub-Stroman,Games,"547-21-9998",Herbert Kshlerin,Male,"3420 Margarete Fall",Monahanberg,AK,45210,AMEX,"3809-587541-40927",5,89.99,449.95,Ergonomic Cotton Shirt,2022-05-06,05:17:31
348924,Witting DVM,Kids,"365-17-3496",Kristopher Terry V,Female,"264 Richmond Divide",South Flo,MN,15313,AMEX,"3673-536411-93487",7,57.88,405.16,Awesome Steel Hat,2022-03-21,23:39:19
352884,Hilll-Rolfson,Home,"404-55-6963",Justina Towne,Male,"8666 Schoen Center",Port Celestinoton,NY,53848,EWallet,"1Cvr1cxgxSS2kKnCPZj6MAUkHgipCMPyMb",2,65.73,131.46,Incredible Rubber Gloves,2022-04-02,19:13:05
353320,Mueller II,"Computers, Health & Toys","678-54-3868",Earnestine Wolf,Male,"484 Weissnat Radial",West Lois,UT,31891,EWallet,"1F3HmzKhrFW9dgEFdBuLE4fAQM1uT6J3Ah",3,32.95,98.85,Incredible Plastic Gloves,2022-05-23,11:55:59
353934,Emard DVM,"Outdoors, Clothing & Health","250-77-2328",Hollie Grimes,Male,"40419 Streich Turnpike",Reingerberg,DE,37819,Cash,"",10,29.40,294.00,Rustic Plastic Computer,2021-07-24,04:58:40
361802,Emard DVM,"Health, Beauty & Baby","972-17-1955",Forest Reichel,Male,"88460 Camryn Union",Schmidtbury,NJ,72328,EWallet,"1Ab4Jp5V5XyunThQJXPVe2mYsQ6itWBQFo",5,72.41,362.05,Small Plastic Shirt,2022-04-20,02:51:15
