PaymentType,Product,hard drive,PostalCode,system,Department,Address,Quantity,State,feed,Date,sensor,City,capacitor,capacitor,transmitter,CustomerName,Total,Gender,transmitter,array,Time,Store,InvoiceId,ProductPrice
"MasterCard","Sleek Concrete Shirt",6145309,10493,"haptic","Shoes & Home","50987 Etha Forges",9,"SD",false,"9-5-2021",38.39,"South Xander",7359592,2381766,true,"Miss Maddison Abshire",788.13,"Female",true,false,"0:43:6","Kuphal, Spencer and Blanda",246567,87.57
"Cash","Rustic Rubber Gloves",true,31282,25.77,"Music, Movies & Health","917 Ismael Mall",9,"OK",false,"10-22-2021",12.17,"New Fredview",74.93,24.98,true,"Adriel Nolan",600.12,"Male",true,"override","8:53:25","Wiegand-Tillman",987069,66.68
"Cash","Incredible Wooden Computer",false,23481,86.65,"Music & Kids","60364 Blaise Forest",2,"IN",false,"8-8-2021",82.65,"Ondrickahaven",6455089,7272848,true,"Katarina Rosenbaum",6.70,"Female",true,true,"14:8:17","Wiegand-Tillman",251265,3.35
"Cash","Practical Plastic Chair","interface",15744,false,"Games & Grocery","886 Armstrong Bypass",9,"IA",3649510,"10-4-2021","synthesize","Vonshire",true,true,3160104,"Kale Marvin",783.90,"Female",6143482,"open-source","23:10:31","Armstrong, Strosin and Altenwerth",350495,87.10
"AMEX","Intelligent Wooden Car",67.20,35393,3590548,"Industrial, Health & Outdoors","450 Oma Landing",2,"PA",2131591,"3-24-2021","navigate","Rockybury",8217676,7773133,688153,"Mathias Dibbert",7.74,"Female",474020,8315378,"1:0:59","McClure, Block and Franecki",273257,3.87
"EWallet","Incredible Rubber Shoes",91.61,22924,"solid state","Automotive, Movies & Baby","4514 Julius Hollow",3,"CO",7491049,"6-26-2021",40.25,"South Kaylaberg",8796890,4962811,false,"German Hoppe",216.84,"Female",true,38.69,"22:46:44","McClure, Block and Franecki",830467,72.28
"MasterCard","Sleek Granite Pants",91.33,70469,51.51,"Music","4646 Gleason Rapid",9,"GA",74.80,"3-21-2021",37.74,"Arnoborough",99.70,50.48,5575681,"Hardy Watsica DVM",160.02,"Male",8461043,false,"22:57:53","Kuphal, Spencer and Blanda",362798,17.78
"MasterCard","Rustic Concrete Shoes",6262034,46369,38.43,"Garden & Tools","24666 Juliana Causeway",7,"VT",74.79,"10-17-2021",true,"New Tianna",97.25,47.53,10.88,"Destin Schmidt",564.27,"Male",46.64,35.69,"20:0:28","Considine PhD",198437,80.61
"AMEX","Intelligent Plastic Car",3190065,57428,6499731,"Automotive & Industrial","7160 Wallace Parkway",4,"MA","FTP","3-12-2021",8024845,"New Tarynborough",1633411,2035414,5283386,"Jessica Ruecker Sr.",325.32,"Male",497037,"compress","12:39:48","Parisian, Wolff and Gorczany",364290,81.33
"EWallet","Fantastic Granite Table",false,12835,"synthesizing","Grocery & Books","6031 Pink Glen",7,"VT","back-end","6-22-2021",6823096,"Lake Katrinafort",6754849,9365601,4691440,"Gayle Schumm",26.32,"Male",3409156,21.17,"0:2:50","Wiegand-Tillman",326030,3.76
"MasterCard","Ergonomic Cotton Hat","THX",22001,"driver","Toys & Movies","915 Jay Ridges",1,"IL","digital","7-1-2021",true,"Candelariofurt","compressing","calculate",false,"Tressie Aufderhar",46.42,"Male",false,true,"1:0:23","Considine PhD",251227,46.42
"Visa","Incredible Granite Shoes",16.88,38637,66.95,"Industrial & Home","641 Torphy Rapids",10,"RI",3.31,"10-9-2021",true,"Jasminfurt",25.38,75.21,11.57,"Candice Hessel",410.70,"Male",7.66,true,"8:48:14","Kshlerin DDS",319296,41.07
"EWallet","Incredible Concrete Gloves",57.58,72697,true,"Home, Shoes & Clothing","2746 Karelle Bridge",6,"CO",false,"8-12-2021",false,"Kevonstad",false,false,7917630,"Chanel Lind III",414.90,"Male",6525055,7472302,"3:9:12","Larkin-McClure",122293,69.15
"MasterCard","Intelligent Cotton Chair",true,99603,17.57,"Baby, Books & Industrial","81403 Yost Road",5,"GA",3908321,"9-14-2021","hard drive","Katlynport",697430,1107015,4177085,"Mrs. Cindy Towne",188.05,"Female",4493845,4866930,"14:43:41","Considine PhD",782872,37.61
"MasterCard","Fantastic Wooden Shirt","array",95815,16.87,"Garden","882 Joey Glen",2,"MS","solid state","6-24-2021",5815498,"West Dillanshire",2400430,9208060,"XSS","Sabryna Green",52.30,"Male","GB",8554016,"18:20:51","Considine PhD",887334,26.15
"MasterCard","Rustic Cotton Gloves",3759981,33436,"pixel","Outdoors & Sports","7718 Rath Branch",1,"GA",33.87,"7-31-2021","reboot","Lake Robertaview",4303368,7235176,false,"Aric Lockman",55.66,"Male",false,true,"22:36:5","Considine PhD",437801,55.66
"AMEX","Ergonomic Cotton Car",20.84,73611,true,"Jewelery","9299 Simonis Road",6,"NJ",false,"5-3-2021",67.29,"Port Josehaven",1034414,6375199,false,"Josephine Jacobi",15.54,"Male",false,95.75,"13:39:35","Considine PhD",922209,2.59
"Cash","Rustic Wooden Shirt",18.33,55983,68.31,"Grocery","32797 Grant Squares",5,"ID",4.64,"8-18-2021",true,"Kilbackburgh",18.24,80.53,true,"Miss Adella Ritchie",474.30,"Male",false,6567581,"4:28:6","Auer V",670015,94.86
"Visa","Small Granite Hat",true,19287,66.17,"Outdoors, Baby & Sports","998 Lesch Drive",4,"CT","hack","10-23-2021",false,"North Orie",8201212,1192332,"bus","Jessyca Cassin",330.92,"Male","solid state","port","6:6:58","Parisian, Wolff and Gorczany",559990,82.73
"AMEX","Rustic Plastic Table","back up",73818,1805325,"Sports","92255 Molly Islands",9,"CO","HTTP","7-4-2021",true,"West Rubenfort",88.47,48.27,5078042,"Callie Boyer",232.65,"Male",3070421,8700565,"7:20:5","Kuphal, Spencer and Blanda",328602,25.85
"EWallet","Small Plastic Shoes",3023037,60084,"connecting","Games & Health","85205 Blick Island",1,"VT",4133750,"3-20-2021",false,"Ornchester",85.05,48.37,8381776,"Roscoe Metz",97.34,"Female",1639388,true,"8:48:53","Wiegand-Tillman",570837,97.34
"MasterCard","Ergonomic Wooden Hat",73.43,55604,"RSS","Electronics, Grocery & Movies","4642 Briana Isle",6,"MN",32.85,"6-21-2021",95.11,"Lailamouth",45.57,6.00,false,"Luna Halvorson",383.52,"Male",true,94.12,"5:50:24","Considine PhD",762172,63.92
"Cash","Small Steel Pants",33.68,31898,93.86,"Movies","4967 Marquardt Expressway",10,"NM",29.42,"6-2-2021","compress","East Ansley","bypassing","bypassing",75.45,"Savanah Brakus",277.30,"Female",11.40,61.57,"21:51:29","Kuphal, Spencer and Blanda",948936,27.73
"Visa","Intelligent Wooden Computer","calculate",57703,6050387,"Shoes","636 Altenwerth Club",10,"MS",7788696,"6-28-2021",6.30,"Schummchester","AGP","backing up",82.00,"Emely Bogisich",643.70,"Male",18.35,"array","13:18:59","Kshlerin DDS",847937,64.37
"AMEX","Ergonomic Concrete Car","multi-byte",70980,6369752,"Beauty, Electronics & Tools","6416 Tyson Courts",2,"MT",2801397,"9-4-2021","backing up","Gloriaport",207110,7011253,7147393,"Ms. Luther Quigley",174.58,"Male",8996168,true,"13:42:18","Larkin-McClure",100700,87.29
"AMEX","Ergonomic Rubber Car","microchip",53334,"index","Shoes & Games","73785 Rebeka Knolls",9,"AZ",74.85,"9-12-2021","TCP","Blockmouth",true,false,13.27,"Miss Myrtie Little",773.28,"Female",49.21,"indexing","16:46:50","Considine PhD",624817,85.92
"EWallet","Ergonomic Granite Shirt",false,94511,11.72,"Movies","992 Assunta Flat",3,"WV",47.68,"7-6-2021",false,"Considinehaven",60.79,23.34,83.79,"Demond Carroll",102.06,"Male",18.91,70.16,"23:22:12","Kshlerin DDS",189926,34.02
"Cash","Practical Steel Table",21.77,37183,58.14,"Electronics","844 Nicolas Valley",10,"GA",true,"10-4-2021",43.96,"South Elissaport",3.70,67.21,17.26,"Daija Fadel",89.90,"Female",53.64,false,"3:53:53","Kuphal, Spencer and Blanda",167616,8.99
"MasterCard","Gorgeous Cotton Car",6043347,20657,845384,"Jewelery","48216 Trantow Overpass",9,"MO","copy","10-15-2021",14.53,"Mariofurt",2787341,9455776,5761808,"Mellie Bergstrom",728.01,"Male",8694695,"EXE","7:11:23","Lakin, O'Connell and Monahan",761111,80.89
"Visa","Incredible Cotton Gloves","multi-byte",87947,"cross-platform","Sports, Shoes & Games","842 Baumbach Crescent",4,"NH",12.48,"9-4-2021",7373582,"New Mariahfort",2411459,644717,7242904,"Kaylee Cassin",258.48,"Male",5588398,true,"20:28:1","Kuphal, Spencer and Blanda",461810,64.62
"Cash","Rustic Plastic Chair","interface",86903,true,"Clothing","612 Sanford Valleys",8,"CO",2490770,"8-21-2021","SAS","Alicemouth",35.19,24.94,true,"Jason Metz",185.60,"Male",false,false,"11:41:51","Considine PhD",222403,23.20
"EWallet","Sleek Steel Car",23.48,41257,false,"Tools","785 Mante Rapids",1,"MO",false,"4-24-2021",7257330,"West Norenemouth",true,true,84.47,"Tara Koch",66.41,"Male",81.33,false,"8:58:25","Considine PhD",718038,66.41
"Cash","Gorgeous Granite Computer","GB",93847,"copying","Garden, Automotive & Outdoors","514 Smith Common",3,"MS","mobile","9-28-2021",false,"Murrayside",true,true,true,"Zaria Nolan IV",282.72,"Female",true,true,"14:57:28","Considine PhD",325610,94.24
"Cash","Practical Concrete Gloves",9440232,18685,"neural","Home & Industrial","700 Jaleel Track",3,"CA","EXE","8-21-2021",true,"Cletashire",true,false,8049868,"Mikayla Upton",206.10,"Male",7826107,"FTP","21:52:7","Parisian, Wolff and Gorczany",769678,68.70
"AMEX","Small Granite Hat",true,94712,96447,"Automotive, Sports & Clothing","1075 Simonis Isle",9,"AR","backing up","9-13-2021",1896901,"Omaville",1772822,7763171,true,"Shad Gibson DVM",657.00,"Male",false,"1080p","20:9:13","Lakin, O'Connell and Monahan",551730,73.00
"MasterCard","Fantastic Cotton Car","program",59345,81.46,"Kids & Games","2697 Toy Plains",5,"NY",4.14,"10-13-2021",true,"Hermanville",30.24,80.49,40.20,"Dorris Funk",485.35,"Female",76.16,66.31,"23:53:18","Kshlerin DDS",257555,97.07
"Visa","Small Rubber Computer",true,11510,41.77,"Garden, Books & Industrial","144 Cade Plaza",4,"OH",77.74,"4-27-2021",37.57,"Kuhnfurt",61.02,51.05,"alarm","Bailee Price IV",241.44,"Female","generate",7211067,"19:56:36","Armstrong, Strosin and Altenwerth",303712,60.36
"Cash","Gorgeous Wooden Shoes",4707509,58877,"indexing","Electronics & Shoes","5138 Keebler Crest",5,"NY",true,"7-2-2021",3545892,"West Greenstad","transmitting","calculate",74.32,"Kelly Hauck PhD",245.95,"Male",7.55,"port","5:5:35","McClure, Block and Franecki",588221,49.19
"AMEX","Incredible Steel Hat",false,79194,"HTTP","Clothing","6446 Sanford Route",4,"KS","USB","9-10-2021",false,"North Evalyn",8054206,5033507,759779,"Ms. Wilfredo Mosciski",234.20,"Male",5612014,true,"1:9:26","Considine PhD",379560,58.55
"MasterCard","Intelligent Wooden Chair","digital",97495,"alarm","Industrial, Books & Home","473 Kunze Motorway",3,"AK",9005906,"10-24-2021","CSS","New Hailie",5013399,5041310,17.33,"Dena Deckow",114.21,"Male",41.18,0.82,"19:25:58","Wiegand-Tillman",618518,38.07
"Cash","Ergonomic Cotton Shirt",26.40,58697,77.28,"Home, Automotive & Outdoors","3496 Sheila Bridge",10,"ME",true,"9-29-2021",75.97,"North D'angelomouth","system","bypass",6218473,"Haskell Effertz",781.00,"Female",1115182,false,"1:1:14","Parisian, Wolff and Gorczany",638776,78.10
"Visa","Intelligent Wooden Computer",true,47002,true,"Garden","34476 Kilback Alley",7,"NH",false,"10-18-2021",true,"East Alvertaberg","XML","pixel",7321998,"Marcelina Kunze",253.82,"Female",6182873,7.46,"19:19:46","Larkin-McClure",910996,36.26
"MasterCard","Sleek Cotton Shirt","programming",68271,true,"Jewelery & Home","267 Nat Isle",7,"LA","synthesizing","8-28-2021",true,"Grantbury",false,true,"JBOD","Micheal Schroeder",57.89,"Female","THX","calculate","11:38:41","Considine PhD",521096,8.27
"AMEX","Sleek Granite Pants",true,24865,"RSS","Music & Home","205 Lynch Lock",9,"VA","microchip","6-6-2021",true,"Omariland","solid state","CSS",8001382,"Ms. Vita Heathcote",564.12,"Female",2679434,false,"15:33:12","Larkin-McClure",682312,62.68
"AMEX","Intelligent Rubber Shirt","microchip",58897,true,"Toys, Books & Automotive","855 Tremblay Extensions",1,"KS",true,"8-22-2021","CSS","Port Muhammadville",2447214,6132805,true,"Odessa Schimmel",54.71,"Female",true,91.59,"14:44:5","Auer V",682919,54.71
"Cash","Small Granite Chair",2.05,98515,true,"Tools, Beauty & Baby","6301 Toby Tunnel",7,"NV",true,"10-15-2021",51.53,"Swaniawskimouth",7154454,5866814,62.98,"Justine Trantow",496.16,"Male",99.33,89.06,"20:45:26","Kuphal, Spencer and Blanda",388904,70.88
"AMEX","Ergonomic Steel Computer",true,31325,64.54,"Garden, Toys & Tools","9150 Jaleel Knolls",3,"NY",88.39,"1-3-2021",false,"East Alexandria",37.86,0.81,"generate","Bill O'Keefe",191.22,"Male","JBOD",false,"14:1:25","Auer V",716673,63.74
"EWallet","Intelligent Cotton Pants",4830583,74068,"generate","Home, Baby & Grocery","6687 Dach Crest",3,"WY","open-source","9-4-2021",true,"Iciechester",84.24,71.28,"reboot","Miss Kyleigh Hyatt",171.96,"Male","connecting",2279777,"7:14:47","Larkin-McClure",800002,57.32
"AMEX","Rustic Cotton Table","driver",29204,56.02,"Jewelery, Beauty & Clothing","47713 Citlalli Summit",1,"VA",1741857,"3-8-2021","quantifying","Port Brock","SDD","calculate",6609525,"Arturo Farrell",23.56,"Female",1936044,7073785,"9:27:1","Lakin, O'Connell and Monahan",134317,23.56
"AMEX","Gorgeous Rubber Car","back up",82661,"parsing","Electronics, Beauty & Garden","8740 Wilhelmine River",8,"WY",6777562,"6-26-2021",48.79,"Elenaborough",11.73,0.98,"virtual","Ramona Schoen",465.84,"Male","generate",2442021,"6:37:18","Wiegand-Tillman",497056,58.23
"AMEX","Gorgeous Concrete Hat",1211189,62276,true,"Clothing, Outdoors & Health","19571 Velva Alley",6,"NH",false,"9-27-2021",5421820,"Lockmanfort",false,false,false,"Chandler Torp",369.00,"Male",true,74.14,"20:4:40","Armstrong, Strosin and Altenwerth",935086,61.50
"MasterCard","Fantastic Wooden Gloves",97.42,82227,59.76,"Industrial","23439 Ramona Island",9,"TN",false,"1-28-2021",46.17,"Lemuelton",true,false,94.66,"Dr. Jaquan Daniel",373.50,"Female",54.46,18.04,"18:18:17","Armstrong, Strosin and Altenwerth",455485,41.50
"EWallet","Rustic Wooden Shirt",31.13,13985,"TCP","Baby, Games & Grocery","9796 Gisselle Valley",5,"MI","array","1-2-2021",true,"New Zoe","program","open-source","neural","Zoey Green",77.80,"Female","quantify",true,"5:30:37","Parisian, Wolff and Gorczany",548922,15.56
"EWallet","Incredible Rubber Shirt",147369,58582,792430,"Clothing","73077 Mayer Mews",7,"PA",6269384,"10-10-2021","multi-byte","Gillianfurt",86.44,36.29,9453092,"Alec Mraz",52.99,"Male",6519493,"SMS","14:2:2","Considine PhD",172610,7.57
"MasterCard","Sleek Granite Car",false,91499,6089015,"Industrial & Clothing","6690 Upton Gardens",3,"NE","generating","5-3-2021",true,"Lake Carey",83.51,32.98,true,"Candido Conn II",59.82,"Female",false,false,"19:17:51","Auer V",543528,19.94
"MasterCard","Intelligent Plastic Chair",true,49599,4.99,"Books","432 Zboncak Parkways",9,"KS",40.57,"9-16-2021",false,"Elliotstad",true,true,2.82,"Nelda Padberg",501.03,"Male",39.10,false,"12:13:29","Lakin, O'Connell and Monahan",928035,55.67
"AMEX","Sleek Plastic Car",true,11358,true,"Toys","93494 Shanelle Ridges",4,"DE",1824476,"10-9-2021","JSON","Port Bradenburgh",4576191,6203914,false,"Victor Klein",166.20,"Female",true,26.25,"4:24:9","Auer V",328590,41.55
"MasterCard","Intelligent Granite Pants",true,18823,false,"Outdoors & Health","3168 Julian Corner",4,"PA",61.16,"3-17-2021",true,"Kuvalisville","override","programming",73.43,"Philip Kertzmann",124.36,"Female",23.83,"compressing","2:46:59","Considine PhD",723788,31.09
"EWallet","Small Wooden Table","navigating",58400,71.99,"Jewelery & Grocery","5123 Karley Burgs",5,"KS",5627187,"10-22-2021",6124094,"Lake Luciusshire",8931845,7820055,737750,"Miss Abbey Bartell",305.35,"Female",2198186,3371673,"14:3:28","Considine PhD",310740,61.07
"Visa","Awesome Wooden Computer",true,90738,69.07,"Games","3510 Tess Spurs",9,"NC",92.93,"10-3-2021",true,"Fritschfurt","synthesize","auxiliary","circuit","Ms. Rosendo Toy",518.49,"Female","bluetooth",4736940,"4:48:44","Considine PhD",673844,57.61
"Cash","Intelligent Rubber Pants",false,20830,2.59,"Grocery & Health","333 Rath Plains",9,"RI",99.84,"8-28-2021",7192288,"South Keshawn",true,false,true,"Monte Rosenbaum",881.55,"Female",true,true,"4:24:47","Lakin, O'Connell and Monahan",798197,97.95
"Cash","Sleek Concrete Gloves",13.43,40936,"SCSI","Baby","364 McCullough Falls",4,"NJ","IB","10-2-2021",true,"Jayceefurt",5204966,4101811,false,"Helene Dibbert",346.80,"Male",true,7338467,"1:4:26","Considine PhD",121651,86.70
"AMEX","Gorgeous Granite Table",10.42,30482,"JSON","Computers, Garden & Movies","78630 Helen Inlet",10,"AK",96.24,"10-22-2021",false,"Hanetown",true,false,true,"Laurianne Gulgowski",841.90,"Female",false,2874311,"23:37:18","McClure, Block and Franecki",608990,84.19
"Visa","Small Granite Computer",true,15390,3670934,"Baby","72379 Giles Hollow",2,"PA","auxiliary","8-31-2021",true,"East Bette",7628702,8876956,"FTP","Kip Boyle I",26.88,"Male","protocol",8310324,"12:38:26","Wiegand-Tillman",192150,13.44
"EWallet","Fantastic Rubber Gloves",665340,96403,"parse","Books & Automotive","7147 Maryse Common",1,"AL","port","10-9-2021",false,"Clareland",42.89,2.72,52.99,"Dereck McKenzie",43.74,"Male",89.33,"redundant","19:34:43","Larkin-McClure",476355,43.74
"AMEX","Small Wooden Shoes","bypassing",13095,27.74,"Industrial","71770 Benton Dam",6,"MI","hard drive","9-13-2021","sensor","Lake Arloside","SCSI","indexing",99.01,"Kayden Bauch",576.30,"Male",96.25,false,"5:38:39","Kuphal, Spencer and Blanda",725274,96.05
"MasterCard","Fantastic Granite Gloves",true,92385,"bypass","Shoes, Jewelery & Beauty","66613 Yasmin Trafficway",8,"DE","sensor","10-22-2021",true,"East Hadley",false,true,true,"London Pagac III",229.76,"Female",false,9289375,"18:34:37","Kshlerin DDS",771615,28.72
