State,Department,Date,Total,PaymentType,Address,Product,bus,firewall,Store,ProductPrice,Time,program,InvoiceId,capacitor,pixel,microchip,system,interface,monitor,Quantity,CustomerName,City,protocol,Gender,PostalCode
"WA","Kids","10-18-2021",232.96,"EWallet","4494 Colleen Crossroad","Gorgeous Concrete Computer",55.33,false,"Lakin, O'Connell and Monahan",33.28,"15:32:20",87.75,766310,84.60,20.17,true,77.21,false,"PCI",7,"Delfina Hilpert","Ezequielmouth",true,"Male",38449
"CA","Beauty, Home & Books","10-10-2021",832.30,"Visa","5584 Leatha Square","Sleek Wooden Table",38.23,267089,"Parisian, Wolff and Gorczany",83.23,"15:44:29","JBOD",824639,2802045,90.54,true,50.18,4057655,3274151,10,"Estel Fisher MD","Lake Freddymouth","driver","Female",45618
"WV","Tools & Games","5-31-2021",82.92,"EWallet","86748 Satterfield Turnpike","Incredible Rubber Shirt",false,"PCI","Considine PhD",20.73,"19:59:57","array",805554,false,5788782,"system",true,2146534,"compressing",4,"Waino Hickle","Noemieport",25.01,"Male",40155
"NY","Movies & Books","6-9-2021",205.53,"MasterCard","474 Libby Gateway","Ergonomic Cotton Pants","SAS",5070279,"Armstrong, Strosin and Altenwerth",68.51,"0:49:33","bypassing",574068,13.13,49.47,false,4481489,31.95,true,3,"Victoria Adams","Ashlynnmouth",true,"Male",52886
"AZ","Automotive","6-17-2021",418.32,"AMEX","86336 Leonard Square","Rustic Plastic Shirt",96.85,true,"Parisian, Wolff and Gorczany",52.29,"4:1:9",89.78,828300,false,48.64,false,8.82,6786875,67.44,8,"John Klocko","North Katherynborough",false,"Male",81973
"AL","Music & Grocery","8-8-2021",345.30,"AMEX","2944 Germaine Brook","Intelligent Concrete Shoes",5910089,false,"Considine PhD",57.55,"4:25:10","array",215216,6183228,5.06,1939646,"auxiliary","open-source",true,6,"Susana Feest","West Raymondview","SDD","Male",87344
"AK","Baby, Electronics & Music","10-9-2021",21.42,"AMEX","206 Briana Courts","Incredible Concrete Shoes",22.23,9162271,"Kuphal, Spencer and Blanda",7.14,"23:16:37",5122329,588327,5494062,"optical",true,2889491,"card",true,3,"Carmen Kunze","Coleborough","array","Male",72084
"MD","Kids","10-16-2021",16.25,"Cash","89626 Johnson Park","Sleek Concrete Pants",6251048,"sensor","Armstrong, Strosin and Altenwerth",16.25,"22:25:27",1920972,568127,"back up",3883142,2026667,true,3176856,true,1,"Princess Crooks","New Rachaeltown",82.13,"Male",41132
"ME","Jewelery & Electronics","6-7-2021",325.52,"Visa","77884 Rempel Coves","Intelligent Cotton Pants",true,false,"Auer V",81.38,"16:3:8",19.77,273800,"bandwidth","CSS","compressing",true,461879,31.44,4,"Mrs. Elmira Rice","Adahland","PNG","Female",42209
"KS","Computers, Automotive & Games","10-10-2021",766.64,"MasterCard","5891 Mohr Trace","Intelligent Cotton Hat",false,4810228,"McClure, Block and Franecki",95.83,"22:59:52",1745138,642982,2086175,"compress",48.62,5419572,"transmit",5.25,8,"Megane Aufderhar","Kunzemouth",4270427,"Female",53954
"ND","Sports","3-30-2021",43.02,"Cash","91910 Feeney Knolls","Sleek Granite Pants",2531021,"HDD","Kuphal, Spencer and Blanda",4.78,"22:37:13","capacitor",904235,6401126,4047228,true,true,2850727,"program",9,"Jaylen Ward","Townechester",13.77,"Male",89847
"KY","Outdoors & Electronics","10-16-2021",11.28,"Visa","13511 Dejon Landing","Gorgeous Granite Shoes","haptic",69.25,"Parisian, Wolff and Gorczany",3.76,"15:9:14",39.69,524562,2819996,71.81,7.97,true,66.61,true,3,"Berta Wyman DVM","South Isomburgh",86.54,"Male",60601
"CO","Automotive, Toys & Grocery","7-27-2021",62.94,"EWallet","36356 Alverta Shores","Fantastic Concrete Table",92.73,54.90,"Armstrong, Strosin and Altenwerth",20.98,"12:39:57","FTP",547318,2738730,"hacking",7.23,"virtual",true,1060386,3,"Breana Marquardt","Betsyshire",72.06,"Female",56892
"SD","Toys","9-20-2021",46.81,"EWallet","1806 Fred Villages","Rustic Rubber Chair",92.06,false,"Considine PhD",46.81,"15:41:14",4486973,137045,8327312,"quantifying",80.56,6054303,"programming",589514,1,"Meta Green","Lake Janiyahaven","connecting","Male",51423
"IL","Home & Outdoors","4-25-2021",11.91,"EWallet","906 Domenick Oval","Incredible Steel Car","navigate",1235697,"Armstrong, Strosin and Altenwerth",3.97,"8:17:26",3508547,792622,415899,"capacitor","neural",9426760,false,8702445,3,"Joey Schiller","Rubyburgh","CSS","Female",47400
"NY","Computers, Industrial & Sports","7-18-2021",177.84,"Cash","99250 Keegan Center","Sleek Steel Computer",7075572,1007294,"Larkin-McClure",44.46,"15:29:48",false,240116,false,true,"cross-platform",6950787,5.66,40.85,4,"Leon Franecki","Emmerichberg",false,"Female",77665
"PA","Toys, Jewelery & Outdoors","10-6-2021",675.10,"EWallet","374 Connelly Oval","Fantastic Concrete Shirt",3.92,39.87,"Kuphal, Spencer and Blanda",67.51,"17:26:27",false,838669,5.79,"interface","alarm",true,"calculate",6478879,10,"Isidro Stanton PhD","Kaciemouth",17.55,"Female",48978
"HI","Books, Clothing & Electronics","9-13-2021",307.56,"AMEX","24932 Shaylee Plaza","Gorgeous Concrete Gloves","EXE","synthesize","Lakin, O'Connell and Monahan",51.26,"10:56:41",true,461910,true,14.88,4736243,"SSL","multi-byte",true,6,"Richard Will","South Myrtistown","firewall","Male",10669
"MN","Baby","10-6-2021",112.63,"MasterCard","674 Percival Garden","Ergonomic Rubber Car",6810315,5218331,"Auer V",16.09,"4:14:2","wireless",961780,true,"generating",11.22,2436861,3262047,false,7,"Hope O'Conner","New Maximetown",true,"Male",93558
"CA","Movies & Music","5-21-2021",339.06,"Cash","627 Bergnaum Pass","Practical Granite Chair",2207634,"reboot","Considine PhD",56.51,"21:57:34",false,171106,true,8535939,23.87,true,false,true,6,"Edythe Wintheiser MD","South Nonabury",true,"Female",94441
"NC","Movies","2-18-2021",85.38,"Cash","630 Sterling Mountain","Awesome Granite Car",3758266,70.96,"Kuphal, Spencer and Blanda",14.23,"21:7:9",5194196,373147,1562275,"connect",true,false,92.87,2641231,6,"Cleora Funk","Blockfurt","EXE","Female",97479
"TN","Industrial, Outdoors & Shoes","7-14-2021",107.13,"AMEX","1225 Jacobs Ferry","Gorgeous Granite Car",41.39,5220722,"Wiegand-Tillman",35.71,"9:0:36","XML",713303,false,6956233,"firewall",7474060,4989670,"synthesizing",3,"Dr. Efren Schmeler","New Claud",true,"Female",31932
"MT","Sports & Home","9-29-2021",407.61,"MasterCard","51852 Jeanette Glens","Fantastic Concrete Chair","COM",3692760,"Lakin, O'Connell and Monahan",58.23,"4:31:40","index",819947,"optical",true,7710301,true,27.84,2126447,7,"Maymie Hammes","Conroyborough","generate","Male",50771
"WA","Books","9-3-2021",828.00,"Visa","687 MacGyver Mountain","Intelligent Cotton Chair",0.25,false,"Parisian, Wolff and Gorczany",92.00,"11:19:12",true,600185,false,91.33,15.13,false,true,71.22,9,"Ena Weissnat","North Garnett",79.51,"Male",12959
"VA","Baby & Industrial","10-4-2021",173.70,"EWallet","53509 Ward View","Ergonomic Cotton Pants",99.40,8813414,"Larkin-McClure",34.74,"16:27:45","driver",767909,"program",false,1696225,3562242,"transmitting",182021,5,"Virgil Sporer","Reidmouth",8624096,"Male",24842
"IA","Baby, Outdoors & Grocery","8-4-2021",119.84,"Cash","967 Brandy Crossing","Small Plastic Gloves","quantify",2808013,"Kshlerin DDS",14.98,"18:56:44",763947,585882,false,"capacitor",7.65,"application","bandwidth",63.12,8,"Sylvia Gorczany","Bartolettiborough","COM","Female",31781
"FL","Shoes, Tools & Clothing","6-30-2021",646.24,"EWallet","356 Efrain Prairie","Gorgeous Granite Shirt","open-source",28.07,"Armstrong, Strosin and Altenwerth",92.32,"13:34:7",8261300,717941,8471946,83.52,8647212,true,true,true,7,"Ebony Auer","Myrticeburgh",true,"Male",78174
"NH","Games, Jewelery & Industrial","4-23-2021",284.04,"EWallet","927 Rachelle Burgs","Practical Cotton Car",31.83,true,"Larkin-McClure",71.01,"9:38:15",64.23,606674,60.89,96.66,true,55.27,79.50,false,4,"Aidan Becker","Corneliusland",11.93,"Female",44931
"AR","Industrial & Games","10-23-2021",52.62,"EWallet","77125 Heathcote Manor","Ergonomic Wooden Pants","array",3467187,"Kuphal, Spencer and Blanda",26.31,"13:37:35",9028836,907139,true,96.42,7796631,"system",91.19,88.43,2,"Antwan Fadel","New Shaunhaven",85.09,"Female",64275
"MA","Toys, Outdoors & Games","3-9-2021",267.88,"Visa","453 Lehner Creek","Incredible Wooden Shoes","quantifying",40.75,"Considine PhD",66.97,"16:28:1","USB",466272,73.18,961661,4092576,"firewall",5348308,3962807,4,"Lizeth Ebert","Sydneyport","pixel","Male",68551
"GA","Industrial","10-23-2021",865.17,"MasterCard","1283 Zulauf Divide","Ergonomic Plastic Pants","cross-platform",8227240,"Kshlerin DDS",96.13,"16:15:37","SQL",770370,5344967,8389701,"RAM",6089062,false,3633327,9,"Filomena Larkin II","Port Josiahside","generating","Female",26055
"IA","Toys","7-5-2021",26.11,"Cash","603 Eliza Squares","Sleek Steel Shirt",56.41,false,"Considine PhD",26.11,"17:54:1",88.79,708516,22.04,false,true,true,40.30,false,1,"Minerva Von","Lake Davonte",5084449,"Female",76605
"MA","Games & Shoes","5-24-2021",3.78,"Visa","1092 Merritt Valleys","Fantastic Plastic Computer","back-end","optical","Considine PhD",3.78,"13:29:42","program",419488,1350781,true,53.63,true,"synthesizing",9.86,1,"Cullen Pollich","Feilbury","navigate","Male",35971
"CT","Electronics","10-12-2021",70.59,"EWallet","5635 King Dam","Fantastic Rubber Shirt",8035800,"back up","Wiegand-Tillman",23.53,"3:57:16",true,860624,4822171,"back up",true,"HDD",4863106,4954853,3,"Karlie Collins Sr.","North Ila","SCSI","Male",92000
"ND","Grocery","10-4-2021",461.20,"EWallet","91404 Rosenbaum Stream","Sleek Granite Car",5772126,2791058,"Larkin-McClure",46.12,"1:1:32",false,975822,true,3.55,false,35.96,5807010,68.37,10,"Maymie Barton","Collinsland",91.84,"Male",16108
"UT","Clothing","9-3-2021",56.05,"EWallet","223 Carissa Parkways","Rustic Wooden Hat",false,false,"Considine PhD",56.05,"7:4:31",17.26,725174,25.83,49.71,true,55.12,true,14.50,1,"Daphnee Jerde","Lake Raquelfurt",true,"Female",97755
"SC","Garden, Shoes & Games","8-10-2021",241.32,"Cash","9865 Sabina Flat","Sleek Rubber Pants",true,13.55,"Larkin-McClure",40.22,"2:12:22",false,681681,2047586,"bandwidth",65.88,9436174,"digital","wireless",6,"Providenci Bednar","Coletown","synthesize","Male",32419
"MS","Electronics, Sports & Games","9-28-2021",25.76,"MasterCard","69974 Casper Loaf","Rustic Concrete Computer",8571619,216564,"Lakin, O'Connell and Monahan",3.68,"5:57:53","backing up",511347,78.79,443792,"quantifying",3235901,9414231,3107196,7,"Miller Pfeffer","Dorisburgh",false,"Male",40237
"FL","Music & Clothing","10-13-2021",65.64,"Visa","19757 Ruth Summit","Awesome Rubber Computer",true,56.00,"Larkin-McClure",10.94,"11:9:51","synthesize",556732,63.87,"TCP",5637204,false,79.55,true,6,"Breanne Bins","Abbeychester",true,"Female",74696
"CT","Music","4-12-2021",76.84,"Cash","545 Madaline Pines","Gorgeous Granite Computer",false,41.62,"Armstrong, Strosin and Altenwerth",76.84,"22:38:30",true,775062,true,96.74,true,5022880,80.17,false,1,"Rickie White","West Carleyport",12.60,"Female",71186
"MO","Beauty, Computers & Electronics","6-10-2021",208.92,"MasterCard","84275 Roselyn Via","Small Rubber Computer",71.24,7.57,"McClure, Block and Franecki",34.82,"1:7:37",false,425449,0.98,false,59.61,3654876,"synthesize",15.69,6,"Amiya O'Keefe","Eldonborough",false,"Female",42739
"NJ","Books & Health","10-17-2021",291.09,"Cash","96103 Ambrose Via","Awesome Plastic Shoes",5322279,80.54,"Wiegand-Tillman",97.03,"15:34:20","array",572939,true,"online",260819,"HTTP",92.27,"SMS",3,"Guy Mayert","Lake Drew","cross-platform","Male",97465
"SC","Outdoors","5-30-2021",4.97,"EWallet","78769 Dustin Mews","Sleek Steel Computer",30.22,1722964,"Considine PhD",0.71,"6:58:53","reboot",678790,86.46,82.53,2768262,"panel",9291138,false,7,"Mr. Buster Wehner","New Darionfurt",358409,"Male",38395
"MD","Jewelery","8-12-2021",284.85,"EWallet","298 Ullrich Loop","Intelligent Concrete Hat",2282595,65.99,"Armstrong, Strosin and Altenwerth",56.97,"1:14:21",false,409476,true,21.88,true,81.30,1549903,40.52,5,"Buddy Huels","East Katrineborough",false,"Male",57415
"NJ","Jewelery","10-3-2021",44.51,"EWallet","87597 Kuhic Road","Incredible Steel Gloves",1274181,29.21,"Kuphal, Spencer and Blanda",44.51,"14:10:6","haptic",576615,false,61.31,"compress",17.90,true,50.03,1,"Lora Huel DVM","Nehastad",8626028,"Male",80611
"TX","Automotive, Shoes & Home","9-16-2021",179.79,"AMEX","671 Konopelski Prairie","Gorgeous Plastic Hat",8310993,"multi-byte","Armstrong, Strosin and Altenwerth",59.93,"10:48:35",2030017,336668,3473828,3617109,"reboot",false,"haptic",59.80,3,"Maximilian Terry","Jessycashire",6542471,"Female",29728
"SC","Beauty, Electronics & Music","2-6-2021",271.68,"MasterCard","985 Thompson Land","Sleek Steel Computer",42.09,65.13,"Armstrong, Strosin and Altenwerth",33.96,"3:16:1","pixel",801621,false,"quantifying","PNG",true,"RAM","bypass",8,"Maryjane Kilback","Eugeniamouth",true,"Female",96459
"MA","Computers","10-7-2021",251.86,"Cash","4641 Fannie Lodge","Intelligent Steel Computer",true,50.21,"Kuphal, Spencer and Blanda",35.98,"0:7:43",false,972304,43.92,false,2.56,false,62.74,58.42,7,"Kane Rice","Ibrahimtown","input","Female",87620
"CO","Home, Shoes & Automotive","10-8-2021",84.26,"AMEX","1040 Johnson Centers","Sleek Granite Computer",7091247,"redundant","Armstrong, Strosin and Altenwerth",42.13,"16:5:1",true,192566,false,52.63,true,12.04,6316724,"quantify",2,"Alessandro Mills DDS","East Ethel","navigate","Female",12676
"ID","Clothing, Outdoors & Sports","5-5-2021",226.48,"MasterCard","42832 Mckayla Grove","Rustic Granite Hat","quantifying","JBOD","Larkin-McClure",28.31,"20:30:52",true,192810,"neural","open-source","connect",true,"auxiliary",17.80,8,"Dr. Ariane Bahringer","Elizaville",13.48,"Male",80363
"ID","Grocery, Computers & Movies","7-19-2021",125.70,"AMEX","301 Champlin Landing","Incredible Cotton Chair","hacking",false,"McClure, Block and Franecki",12.57,"0:54:39","parsing",827010,true,71.92,true,4.34,27.60,true,10,"Odell Oberbrunner PhD","East Lilastad",false,"Female",66778
"VT","Sports & Movies","10-1-2021",54.35,"EWallet","925 Vernice Causeway","Practical Cotton Gloves",true,89.05,"Lakin, O'Connell and Monahan",10.87,"14:2:5",false,857046,94.58,true,"application","bypass",true,9354408,5,"Liana Herzog","Orphaland",true,"Female",14240
"PA","Sports","10-20-2021",66.91,"AMEX","48719 Frederick Underpass","Gorgeous Plastic Gloves","navigate",2364431,"Wiegand-Tillman",66.91,"9:23:15",3372917,485908,4523280,"open-source",false,false,"hacking","program",1,"Jermain Boehm","North Giannitown",434525,"Female",75553
"MS","Music & Shoes","9-30-2021",358.38,"AMEX","870 Bode Hill","Ergonomic Steel Gloves","navigating","pixel","Wiegand-Tillman",39.82,"22:33:57",true,812683,5456303,"pixel",true,7526827,"transmitter",64.84,9,"Pasquale Kovacek","Cortneyhaven",true,"Female",77440
"TN","Toys & Shoes","8-5-2021",379.70,"Visa","365 Goyette Road","Practical Granite Shoes","generating","calculate","Auer V",37.97,"13:32:18",1928215,531289,2866586,"program",82.09,78.59,2.04,true,10,"Salvador Buckridge","North Ellen",34.42,"Female",36764
"AL","Home, Industrial & Music","8-2-2021",58.52,"AMEX","6938 Hyatt Brooks","Gorgeous Plastic Chair",66.85,false,"Kuphal, Spencer and Blanda",58.52,"21:33:48",99.11,374948,29.00,"synthesize",7413638,24.72,true,"overriding",1,"Magdalen Cremin","Abeshire",16.38,"Male",23977
"WA","Beauty & Kids","5-26-2021",567.35,"Cash","211 Stehr Rue","Small Rubber Chair",55.57,"COM","Considine PhD",81.05,"7:14:51",true,976323,2956075,"multi-byte","bus",67.33,"online",99.73,7,"Electa Skiles","Wolfburgh",6318965,"Male",53625
"TN","Automotive & Computers","7-10-2021",75.18,"Visa","5144 Raleigh Fort","Small Rubber Hat","SCSI","auxiliary","Armstrong, Strosin and Altenwerth",12.53,"4:48:45",true,526499,"interface","EXE",false,true,76.60,"monitor",6,"Holly Rodriguez","Tillmanshire",68.97,"Male",72239
"OK","Garden, Electronics & Clothing","8-12-2021",438.96,"Cash","25121 Yvonne Manor","Practical Wooden Table",true,true,"Wiegand-Tillman",54.87,"0:49:32",61.35,341494,96.94,true,56.37,"override",true,5783821,8,"Wilson Frami","West Omaristad",8.68,"Female",76890
"TX","Automotive","9-12-2021",624.40,"Cash","362 Juliana Square","Practical Plastic Hat","CSS",8877926,"McClure, Block and Franecki",62.44,"19:40:18",5112572,681981,true,"transmitting",29.30,25.97,61.73,9084290,10,"Pattie Osinski","West Judyville","synthesizing","Female",59087
"NJ","Sports, Jewelery & Electronics","4-24-2021",45.07,"EWallet","896 Kunde Haven","Sleek Steel Shirt",86.87,"capacitor","Armstrong, Strosin and Altenwerth",45.07,"21:18:54","bus",829113,6432236,13.09,172684,"hacking","wireless",8022917,1,"Edwina Kovacek","New Hazelfort","ADP","Female",85008
"IN","Health & Electronics","2-23-2021",122.29,"Visa","3351 Arnaldo Green","Gorgeous Rubber Chair",false,7251651,"Considine PhD",17.47,"14:39:14","solid state",820504,89.09,"generate",2315326,7582140,"HDD",4.77,7,"Marjory Batz","Quitzonberg","solid state","Male",19031
"AZ","Shoes, Outdoors & Health","10-7-2021",80.37,"Visa","2293 Demond Shoals","Practical Cotton Hat",33.35,4936505,"Parisian, Wolff and Gorczany",26.79,"18:52:32",true,947614,7882518,true,22.02,false,80.85,true,3,"Queenie Kshlerin","Cronamouth",false,"Female",90634
"IN","Movies & Home","10-6-2021",87.96,"MasterCard","76963 Jaylon Groves","Incredible Granite Shirt",72.64,true,"Wiegand-Tillman",87.96,"18:8:4",5.11,882116,1.56,37.53,7270544,96.92,159972,16.85,1,"Dashawn Gleichner DDS","Hilpertview","compressing","Male",68012
"NH","Tools & Grocery","1-6-2021",101.40,"Cash","14413 Donnelly Passage","Ergonomic Steel Shoes",46.22,7393553,"Wiegand-Tillman",10.14,"6:29:17","JSON",623634,false,true,73.42,"USB",29.69,"feed",10,"Emmanuel Ortiz","Port Avisville",98.75,"Male",56819
"FL","Health & Automotive","9-27-2021",158.36,"EWallet","9757 Donnelly Expressway","Incredible Wooden Shirt",6984586,false,"Armstrong, Strosin and Altenwerth",79.18,"20:50:53",777069,507915,2089882,"connect",80.07,"generating",2991406,48.43,2,"Miss Hillary Yost","Antoinettehaven","COM","Male",17452
"PA","Books & Automotive","10-5-2021",285.15,"Cash","5263 Goldner Fields","Rustic Granite Shirt",57.73,true,"Auer V",57.03,"0:14:46",77.63,182043,13.41,true,72.02,68.57,false,false,5,"Dr. Zane Beer","Mohrhaven",24.47,"Female",43719
"IA","Music & Clothing","8-22-2021",118.24,"EWallet","2681 Wiza Points","Ergonomic Cotton Gloves",53.35,"redundant","Auer V",29.56,"18:43:23",85.75,424002,7858001,3941157,81.91,"compressing","primary",false,4,"Gilberto Waters","Abelshire",34.06,"Male",97863
"VT","Sports & Jewelery","8-3-2021",114.60,"AMEX","7676 Hickle Forges","Rustic Cotton Car","back-end",2348093,"Armstrong, Strosin and Altenwerth",57.30,"15:50:31",3647257,553572,3185712,7045446,"navigating","open-source","TCP",false,2,"Isidro Dietrich III","Toreyberg",53.01,"Female",35696
"TX","Music, Movies & Toys","7-30-2021",94.88,"Visa","313 Audreanne Forges","Intelligent Rubber Table",6637430,true,"Kshlerin DDS",47.44,"19:34:0",44.33,387661,"neural",false,0.99,"transmitting","input",9198061,2,"Hoyt Wintheiser","Candidaland",53.36,"Male",97682
"MA","Games, Music & Movies","6-22-2021",259.72,"EWallet","7158 Enoch Lake","Ergonomic Wooden Car",11.98,47.92,"Parisian, Wolff and Gorczany",64.93,"9:23:27",44.37,579472,true,true,40.37,true,false,false,4,"Lucious Kertzmann","Muellerborough",true,"Male",66679
"NH","Tools & Books","6-11-2021",263.75,"Cash","18015 Felipe Lakes","Small Concrete Hat",51.28,true,"Larkin-McClure",52.75,"17:1:8",false,989422,false,"back up",false,99.62,false,"quantifying",5,"Tristin Medhurst","Ryanfurt",false,"Female",16116
