hard drive,sensor,Department,ProductPrice,Gender,Date,Time,City,PaymentType,Total,microchip,Address,Store,InvoiceId,hard drive,PostalCode,port,Quantity,State,Product,CustomerName,port
1286707,true,"Sports",12.16,"Female","10-5-2021","2:13:8","Ahmadstad","AMEX",48.64,"bypass","400 German Locks","Lakin, O'Connell and Monahan",366247,6738030,26453,44.36,4,"MO","Rustic Steel Shoes","Boris Rath",14.63
true,16.61,"Movies",78.22,"Male","10-12-2021","3:18:52","Lake Tomton","EWallet",469.32,"virtual","8445 Mekhi Mission","Armstrong, Strosin and Altenwerth",469099,true,77040,"monitor",6,"MT","Awesome Granite Computer","Mabelle Donnelly","RAM"
24.01,33.78,"Electronics & Baby",69.08,"Male","7-4-2021","18:27:30","Brookberg","AMEX",552.64,39.78,"4059 Shawn Forest","Parisian, Wolff and Gorczany",629531,36.26,95303,72.18,8,"DE","Awesome Rubber Chair","Vella Skiles",41.93
61.89,true,"Beauty & Garden",4.16,"Female","6-19-2021","10:51:21","New Korbintown","EWallet",24.96,40.30,"416 Pamela Rest","Wiegand-Tillman",918039,9.68,59777,33.53,6,"ME","Intelligent Steel Pants","Bria Ankunding",3.37
"calculating",31.95,"Health & Computers",62.77,"Female","9-7-2021","0:40:37","South Kelleychester","MasterCard",251.08,8033027,"918 Lakin Row","Parisian, Wolff and Gorczany",713021,"COM",35850,"quantifying",4,"UT","Incredible Concrete Table","Lolita Erdman","port"
2350706,true,"Games",69.28,"Male","5-26-2021","9:27:28","West Kittyborough","EWallet",554.24,7292268,"7803 Dare Spurs","Wiegand-Tillman",393960,7831271,96663,"solid state",8,"NY","Rustic Cotton Chair","Mylene Sawayn","driver"
24.04,"FTP","Grocery, Outdoors & Home",42.76,"Female","6-28-2021","14:33:23","New Queenie","AMEX",384.84,"COM","43260 Bret Summit","Wiegand-Tillman",212947,32.52,34373,68.30,9,"GA","Practical Steel Shoes","Ephraim Pagac",41.17
8760963,"USB","Garden, Outdoors & Health",12.96,"Male","9-7-2021","16:31:35","Port Chadrickbury","Visa",103.68,49.61,"440 Roy Club","Parisian, Wolff and Gorczany",431967,6957013,31977,82.01,8,"OH","Fantastic Plastic Hat","Mrs. Judd Prosacco",54.43
8019284,3759420,"Home",47.23,"Male","7-25-2021","5:25:56","Laceyberg","AMEX",425.07,true,"92697 Hessel Shoal","Wiegand-Tillman",186094,42752,21231,false,9,"MN","Small Rubber Pants","Rita Bayer DDS",true
3657109,"interface","Beauty, Automotive & Jewelery",75.72,"Female","6-3-2021","11:46:16","Gaylordville","EWallet",378.60,"virtual","793 Kuphal Meadows","Larkin-McClure",564320,1892989,32878,"panel",5,"NC","Sleek Rubber Gloves","Caesar Boyer","THX"
false,"multi-byte","Kids & Tools",32.09,"Male","10-9-2021","22:23:46","Lake Margaretta","Visa",288.81,7744731,"187 Josh Neck","Auer V",189280,true,12434,"JSON",9,"WA","Practical Cotton Shirt","Austyn Leannon","reboot"
"driver",49.50,"Outdoors",92.67,"Female","8-17-2021","5:30:22","West Arianefurt","Cash",834.03,"solid state","9841 Wilson Junction","Kshlerin DDS",867685,"transmit",97358,9060845,9,"NJ","Fantastic Plastic Table","Ezequiel Pouros",1749051
true,"redundant","Sports & Tools",33.56,"Female","7-26-2021","20:32:41","Denesikmouth","Cash",67.12,2284907,"4979 Barrows Road","Lakin, O'Connell and Monahan",449358,true,71829,false,2,"AZ","Gorgeous Wooden Chair","Samantha Marvin",true
43.88,41.16,"Kids & Computers",46.58,"Male","10-3-2021","19:49:40","Port Lelah","AMEX",232.90,43.62,"137 Champlin Meadow","Auer V",583231,53.00,15196,49.35,5,"CO","Ergonomic Steel Chair","Ms. Lenore Bradtke",92.23
false,true,"Outdoors, Tools & Garden",67.43,"Female","7-30-2021","15:23:53","South Madalineport","Visa",404.58,81.07,"654 Ankunding Lights","Larkin-McClure",843476,false,43826,false,6,"OH","Fantastic Wooden Gloves","Mr. Webster Stiedemann",false
true,"transmit","Movies & Books",69.46,"Male","10-1-2021","9:7:43","Viviennemouth","EWallet",208.38,"SAS","8789 Lemke Burgs","Auer V",284536,false,25667,1983589,3,"UT","Ergonomic Plastic Shoes","Elroy Smitham I",8974711
1912736,983085,"Books",35.07,"Female","9-25-2021","20:6:26","Schulistburgh","Visa",35.07,"hack","699 Barrett Wall","Kuphal, Spencer and Blanda",339236,7981010,77330,6886314,1,"MT","Incredible Granite Chair","Meaghan Bode",5238092
"neural",56.73,"Garden & Computers",47.81,"Female","6-1-2021","8:23:32","New Violette","Visa",478.10,3675976,"8111 Sid Isle","Larkin-McClure",935516,"array",14474,21.58,10,"MO","Small Granite Gloves","Otha Keeling Sr.",51.77
false,5544811,"Baby",73.32,"Female","8-9-2021","1:49:11","Soledadburgh","Visa",146.64,"ADP","704 Wiegand Point","Wiegand-Tillman",172138,false,46417,92.94,2,"NM","Ergonomic Concrete Pants","Myrl Wintheiser",8.69
true,false,"Toys & Computers",76.04,"Male","2-8-2021","10:42:30","New Douglasville","Visa",304.16,false,"5335 Theresa Springs","Larkin-McClure",735770,false,40228,false,4,"TX","Practical Steel Table","Harold Hegmann",true
false,"back-end","Kids & Jewelery",19.06,"Male","10-6-2021","13:57:54","West Korbin","AMEX",114.36,"generate","79603 Huels Unions","Auer V",393088,false,15839,5752233,6,"CA","Fantastic Granite Pants","Ms. Madisyn Reynolds",4805761
"cross-platform",6764178,"Baby & Garden",11.23,"Female","10-14-2021","7:23:1","Port Thadview","MasterCard",112.30,6641991,"3475 Runolfsdottir Knoll","Lakin, O'Connell and Monahan",733061,"PCI",23269,3042549,10,"MT","Small Rubber Chair","Geo Kutch",5714388
3148098,"transmitting","Kids, Outdoors & Automotive",3.69,"Female","12-22-2020","6:51:33","McClurebury","MasterCard",29.52,true,"45306 Corwin Shore","Parisian, Wolff and Gorczany",315631,1571651,39862,"IB",8,"AK","Fantastic Steel Car","Savanna Eichmann","synthesizing"
"transmitting",4011730,"Electronics, Shoes & Books",61.79,"Female","6-14-2021","9:5:20","Daughertyview","EWallet",185.37,168943,"463 Heber Ville","Larkin-McClure",331896,"digital",92003,true,3,"NV","Incredible Wooden Gloves","Mac Runolfsson",false
88.17,false,"Home & Kids",9.85,"Female","10-18-2021","14:42:42","New Queenieland","MasterCard",49.25,30.11,"16419 Heller Mission","Auer V",682798,26.59,12734,false,5,"KY","Gorgeous Granite Pants","Lois Champlin",true
4760696,true,"Grocery",34.00,"Male","6-1-2021","1:48:58","West Malikaberg","MasterCard",204.00,"bandwidth","19228 Kuhn Meadows","Considine PhD",604361,584392,81477,30.06,6,"MO","Ergonomic Cotton Shoes","Thalia O'Conner",0.13
6583590,18.75,"Sports",72.32,"Female","8-29-2021","13:3:23","New Camdenborough","Cash",433.92,"cross-platform","4599 Okey Roads","Larkin-McClure",389453,6242277,71635,"compress",6,"GA","Ergonomic Cotton Shirt","Joannie Muller","virtual"
25.96,2935199,"Health",49.11,"Male","6-2-2021","17:45:5","East Berylshire","EWallet",147.33,8814732,"60487 Macejkovic Parks","Auer V",717836,34.25,71070,"transmitter",3,"MO","Practical Rubber Table","Brigitte Fay","driver"
true,50.14,"Movies & Home",53.79,"Male","9-5-2021","21:55:15","South Ida","AMEX",484.11,"parsing","17255 Powlowski Avenue","Kshlerin DDS",460915,true,18935,false,9,"PA","Awesome Concrete Table","Mr. Guiseppe Purdy",true
"mobile",884828,"Outdoors, Garden & Industrial",57.34,"Male","6-29-2021","8:47:47","Johnstonstad","Visa",172.02,90.08,"18418 Cyril Ramp","Kuphal, Spencer and Blanda",788581,"card",44647,96.28,3,"SD","Fantastic Granite Table","Lucius Collier",65.56
false,87.34,"Home",98.38,"Female","9-21-2021","16:7:38","McKenzieton","Cash",295.14,17.98,"8258 Hilpert Lights","Considine PhD",472539,false,98300,true,3,"IL","Sleek Rubber Hat","Caterina Weimann",false
true,true,"Outdoors, Shoes & Garden",90.58,"Female","5-4-2021","4:9:42","Turnerchester","Visa",815.22,"XML","89103 DuBuque Union","Considine PhD",708995,false,45145,1197489,9,"NE","Intelligent Steel Gloves","Osborne Kuhn",2263391
9.92,2984412,"Toys & Books",82.26,"Female","4-9-2021","10:32:35","Kesslerfurt","Visa",164.52,8323996,"6583 Adriel Rapid","McClure, Block and Franecki",454571,19.03,97277,"reboot",2,"AZ","Small Granite Car","Nannie Mayert","capacitor"
"hacking",7.02,"Automotive & Tools",0.87,"Female","5-28-2021","14:38:43","East Ariel","Cash",6.09,6025567,"17886 Camylle Turnpike","Lakin, O'Connell and Monahan",860764,"application",87653,112158,7,"IL","Intelligent Wooden Chair","Margarett Ledner",3182331
3250272,false,"Tools",84.08,"Male","10-23-2021","13:53:47","Bernhardberg","AMEX",420.40,2557160,"788 Warren Brook","Larkin-McClure",296795,3627826,23765,86.68,5,"LA","Ergonomic Wooden Chair","Aryanna Collins",95.82
false,"application","Beauty & Movies",96.66,"Male","10-21-2021","14:49:6","New Myrtie","EWallet",869.94,2232359,"84063 Ricardo Way","Lakin, O'Connell and Monahan",610849,false,65735,true,9,"MS","Fantastic Cotton Gloves","D'angelo Ward",false
9.95,false,"Home, Jewelery & Computers",86.00,"Male","5-27-2021","21:20:18","Domenicchester","EWallet",688.00,true,"8525 Bayer Street","Kshlerin DDS",289787,21.36,15655,45.24,8,"OH","Incredible Wooden Chair","Wilmer Considine",14.39
80.49,false,"Jewelery, Computers & Books",76.84,"Female","7-25-2021","18:2:43","North Othashire","Visa",537.88,false,"289 Heathcote Road","Parisian, Wolff and Gorczany",528974,19.72,68569,true,7,"IA","Practical Plastic Pants","Gabriella Wisozk",true
5913535,1289212,"Baby",89.24,"Female","8-13-2021","5:50:12","East Marina","Cash",535.44,"neural","9824 Morissette Vista","Considine PhD",333302,3400745,93095,3154822,6,"KS","Gorgeous Plastic Chair","Aubree Ullrich",5642270
4759869,3270933,"Music & Grocery",55.50,"Male","9-8-2021","12:29:36","North Pink","EWallet",277.50,814671,"11618 Armand Manors","Kuphal, Spencer and Blanda",644474,3646921,18314,true,5,"MA","Fantastic Granite Chair","Mabel Wunsch",true
"microchip","program","Shoes",93.82,"Female","10-7-2021","19:47:55","Lake Isabella","MasterCard",187.64,5.23,"7276 Zoie Extensions","Parisian, Wolff and Gorczany",454873,"alarm",87717,1.30,2,"ID","Intelligent Rubber Hat","Retha DuBuque IV",9.95
20.32,true,"Sports, Home & Baby",10.61,"Female","9-16-2021","11:37:22","Kulasborough","AMEX",53.05,false,"93496 Oda Radial","Kshlerin DDS",454204,59.53,62289,68.48,5,"MA","Fantastic Rubber Hat","Selmer Hudson",37.85
true,true,"Kids, Music & Automotive",9.30,"Female","10-22-2021","18:8:30","West Gilberthaven","AMEX",74.40,true,"89048 Mittie Squares","Auer V",366679,false,90600,"overriding",8,"ME","Gorgeous Concrete Table","Nova Mueller","application"
21.06,true,"Games & Movies",57.59,"Male","10-12-2021","4:39:44","Lake Naomiechester","AMEX",230.36,false,"34966 Windler Harbor","Kshlerin DDS",432292,32.66,37098,"navigating",4,"CT","Practical Granite Car","Sabryna Bahringer","cross-platform"
1926619,1629733,"Clothing & Tools",58.20,"Female","4-16-2021","2:30:47","Port Tristianborough","Cash",116.40,"microchip","89197 Kennith Club","Kshlerin DDS",304621,496789,83452,"navigate",2,"WV","Practical Plastic Computer","Marlee Langosh","IB"
"neural",true,"Movies",14.55,"Male","10-20-2021","12:39:42","North Rahsaan","MasterCard",87.30,"SQL","4735 Maya Prairie","Larkin-McClure",724354,"redundant",32272,"SMTP",6,"ME","Small Plastic Shirt","Daphney Turner","connect"
false,true,"Garden",89.04,"Male","10-11-2021","22:41:48","Maximusville","Visa",445.20,5283669,"156 Harold Vista","Lakin, O'Connell and Monahan",692844,false,35345,true,5,"LA","Small Rubber Gloves","Bill Terry",false
6946843,false,"Sports, Home & Toys",33.42,"Male","10-4-2021","19:48:54","Abshirebury","Cash",33.42,63.41,"6897 Ziemann Greens","Parisian, Wolff and Gorczany",324345,6848850,94525,false,1,"GA","Ergonomic Rubber Pants","Dr. Alanis Windler",false
true,74.39,"Outdoors, Electronics & Games",45.20,"Male","10-2-2021","17:14:51","Greenfeldermouth","Visa",271.20,false,"95857 Lubowitz Ways","Lakin, O'Connell and Monahan",573798,true,12610,4642495,6,"MT","Incredible Granite Chair","Rylee Bahringer",6616069
6753780,28.68,"Computers, Health & Baby",52.40,"Male","7-6-2021","17:50:57","Collinshaven","Visa",314.40,5135696,"64039 Mckenzie Plaza","Kuphal, Spencer and Blanda",107641,3150390,42386,40.55,6,"NH","Awesome Plastic Pants","Rosalyn Conn",83.60
6851947,5.35,"Shoes, Computers & Grocery",95.51,"Male","3-18-2021","3:7:54","Jerroldberg","Visa",477.55,9102386,"954 Kassulke Course","Larkin-McClure",210623,7241132,91193,990648,5,"WI","Practical Plastic Shoes","Clovis Altenwerth",2049026
7646159,5068405,"Books, Music & Grocery",2.52,"Female","10-11-2021","0:12:52","Greenton","EWallet",7.56,"bluetooth","73750 Glen Courts","Kshlerin DDS",526789,6585166,57330,23.16,3,"CO","Fantastic Steel Table","Jett Schiller",92.02
18.11,7417949,"Home & Tools",91.65,"Male","3-19-2021","4:43:22","Heaneyton","MasterCard",183.30,"calculate","3734 Torrance Wall","McClure, Block and Franecki",802975,29.55,23218,"haptic",2,"NC","Practical Cotton Shoes","Loma Sanford","transmitter"
19.04,42.14,"Electronics & Industrial",81.83,"Male","6-16-2021","14:11:46","East Kattieville","EWallet",572.81,false,"83779 Lang Port","Kshlerin DDS",345957,57.48,28615,true,7,"MS","Ergonomic Granite Table","Bria Jast",true
true,false,"Games & Sports",17.01,"Male","10-5-2021","5:31:18","Gottliebland","MasterCard",68.04,true,"8184 Ramona Ridges","Armstrong, Strosin and Altenwerth",766097,true,33936,true,4,"MN","Incredible Rubber Chair","Marcelle Goldner",true
36.94,"USB","Beauty, Health & Games",99.34,"Male","7-26-2021","7:43:35","Goldnermouth","Cash",993.40,"driver","79752 Wisoky Meadow","Wiegand-Tillman",700028,48.75,60450,"backing up",10,"CT","Awesome Plastic Car","Dr. Rosalyn Walsh","auxiliary"
false,2395347,"Tools, Automotive & Kids",88.70,"Male","5-15-2021","14:58:17","South Easterhaven","Cash",443.50,"matrix","806 Missouri Island","Kshlerin DDS",631023,true,22948,132104,5,"NJ","Gorgeous Plastic Shirt","Kiley Weber",5533339
"compressing",1479926,"Automotive",43.20,"Female","8-2-2021","20:11:6","Edwinville","Cash",86.40,true,"761 Kozey Parkway","Armstrong, Strosin and Altenwerth",416193,"connecting",90888,"copy",2,"AZ","Sleek Steel Gloves","Kamren Schmidt DDS","parse"
"parsing",1385536,"Jewelery & Sports",81.44,"Female","2-10-2021","6:2:35","Hilllfurt","Visa",570.08,6467227,"10513 Leanna Court","Larkin-McClure",981916,"generating",37822,"hard drive",7,"TN","Fantastic Granite Shoes","Jayne Bogan","FTP"
6121603,true,"Home, Movies & Music",24.16,"Male","10-22-2021","2:31:34","Kiehntown","Cash",72.48,5.69,"906 Rowland Motorway","Kshlerin DDS",397994,4095003,80653,11.91,3,"UT","Awesome Concrete Shirt","Miss Ashlee Thiel",81.18
"IB",6.63,"Grocery, Shoes & Health",55.09,"Female","9-26-2021","22:40:43","East Ally","AMEX",385.63,false,"90069 Swaniawski Land","Considine PhD",827167,"SAS",85596,7067620,7,"WI","Sleek Concrete Shoes","Vicente Johnston",5316696
"primary",1779161,"Movies & Sports",42.87,"Female","8-1-2021","10:15:22","Corkerymouth","MasterCard",385.83,40.54,"8636 Eleazar Plains","Kuphal, Spencer and Blanda",498438,"bypassing",60901,true,9,"PA","Ergonomic Cotton Computer","Mrs. Brook Stehr",false
4513967,"IB","Baby & Kids",94.02,"Male","5-31-2021","19:48:57","East Rodger","EWallet",470.10,"FTP","45219 Bahringer Roads","Lakin, O'Connell and Monahan",550610,1460687,53582,8941258,5,"DE","Sleek Cotton Pants","Carrie Ferry",5121044
2651065,7236137,"Health & Shoes",78.02,"Female","3-3-2021","11:24:25","Emmyton","EWallet",234.06,3377416,"943 Skye Roads","Kuphal, Spencer and Blanda",485683,8396442,23855,91.42,3,"LA","Practical Wooden Car","Malachi Nolan",61.56
6696868,true,"Electronics, Baby & Toys",1.46,"Male","8-28-2021","18:45:33","New Garfield","Visa",10.22,32.81,"730 Green Turnpike","Considine PhD",450101,1034388,69714,65.25,7,"MI","Incredible Plastic Gloves","Jenifer Farrell",34.74
94.10,17.57,"Computers",55.11,"Female","8-13-2021","10:41:1","West Fayhaven","Cash",220.44,true,"608 Daphnee Oval","Wiegand-Tillman",231963,32.94,87289,"circuit",4,"CT","Sleek Steel Pants","Miss Leonor Corwin","override"
57.98,true,"Garden, Clothing & Kids",73.01,"Female","8-18-2021","10:36:46","Leuschketown","Cash",365.05,true,"2350 Cynthia Junctions","Armstrong, Strosin and Altenwerth",105133,94.47,84244,7197065,5,"TN","Sleek Granite Table","Marcelle Farrell",9421321
true,2936910,"Automotive, Beauty & Home",89.74,"Female","10-13-2021","14:9:11","Adolfoborough","Visa",358.96,"bus","7093 Nelson Mountains","Kuphal, Spencer and Blanda",903300,false,53246,"connecting",4,"OR","Fantastic Wooden Table","Nona Will","HDD"
"transmit","application","Baby",17.40,"Female","5-17-2021","7:57:55","Port Leonardo","EWallet",156.60,false,"186 Muller Tunnel","Considine PhD",648657,"auxiliary",74633,true,9,"PA","Fantastic Steel Gloves","Estell Reinger",true
"pixel",true,"Sports",37.76,"Male","2-4-2021","5:43:21","Port Heaven","AMEX",339.84,"indexing","168 Wunsch Flat","Auer V",111254,"parsing",56061,false,9,"ID","Incredible Steel Computer","Grace Weimann",false
true,"program","Music & Electronics",51.58,"Female","9-28-2021","19:48:40","West Tavaresshire","MasterCard",206.32,"1080p","69499 Romaine Circles","Parisian, Wolff and Gorczany",984072,true,64028,86.85,4,"WV","Ergonomic Cotton Shoes","Darlene Cole I",56.12
81.46,77.92,"Toys & Outdoors",56.61,"Female","12-1-2020","18:28:43","East Travon","AMEX",226.44,21.09,"577 Leonie Plain","Wiegand-Tillman",533693,51.46,52097,true,4,"RI","Awesome Granite Gloves","Mr. Shane Kling",true
true,true,"Jewelery & Sports",19.10,"Female","8-14-2021","12:30:32","Elviemouth","Visa",95.50,true,"1434 Rath Manor","Considine PhD",584507,false,72077,true,5,"WY","Gorgeous Cotton Gloves","Reynold Price DDS",false
2050716,8517483,"Computers & Tools",99.62,"Female","5-17-2021","22:48:8","Dedrickfort","EWallet",498.10,12.36,"66041 Marjorie Ranch","Parisian, Wolff and Gorczany",157850,2448422,80148,4875833,5,"WV","Sleek Cotton Hat","Dock Kreiger",4672441
"open-source","open-source","Automotive",62.69,"Female","3-16-2021","21:52:36","New Oswald","MasterCard",376.14,true,"484 Homenick Estates","Armstrong, Strosin and Altenwerth",606248,"compressing",44795,true,6,"CT","Rustic Granite Hat","Sandra Ryan",true
"open-source",25.28,"Grocery & Music",27.68,"Female","9-5-2021","3:17:46","Croninberg","MasterCard",166.08,"overriding","73984 Nicole Grove","Parisian, Wolff and Gorczany",666232,"1080p",81116,false,6,"LA","Fantastic Concrete Pants","Ola Bednar",false
5302854,true,"Jewelery, Electronics & Tools",33.78,"Female","10-18-2021","18:45:1","Fadelland","EWallet",168.90,11.84,"91353 McGlynn Pines","Parisian, Wolff and Gorczany",924483,8701460,63824,5895665,5,"SC","Fantastic Plastic Pants","Dr. Sarai Gutkowski",8920289
35.91,true,"Home",94.80,"Male","8-5-2021","20:55:27","Port Mackenzieport","AMEX",568.80,true,"680 Dessie Estates","Considine PhD",783699,71.17,81872,2065487,6,"RI","Incredible Rubber Gloves","Adolfo Lindgren",8330175
false,false,"Automotive, Shoes & Garden",31.51,"Male","10-13-2021","22:52:59","Bogisichtown","AMEX",315.10,true,"984 Rohan Village","Parisian, Wolff and Gorczany",830477,true,10578,667219,10,"VT","Incredible Concrete Shirt","Edison West DDS",3646845
"wireless","system","Baby, Automotive & Jewelery",76.72,"Female","7-18-2021","10:46:7","West Tremayne","MasterCard",460.32,2492925,"74814 Jenkins Plains","Considine PhD",941395,"application",44547,false,6,"WY","Awesome Concrete Shoes","Garland McClure",false
5077761,3432130,"Computers, Automotive & Home",99.73,"Male","4-23-2021","11:42:32","North Everette","Visa",997.30,"connecting","889 Muller Rue","Auer V",672807,6727170,55629,"synthesizing",10,"NV","Awesome Concrete Chair","Mrs. Ayana Funk","connecting"
29.69,65.64,"Computers",20.04,"Male","7-10-2021","3:45:4","East Nora","AMEX",200.40,false,"60750 Thompson Station","Lakin, O'Connell and Monahan",973595,64.96,31253,8685191,10,"MT","Fantastic Granite Hat","Emilia Olson",4251849
29.83,26.67,"Kids",95.40,"Male","9-28-2021","15:39:12","DuBuquemouth","Cash",572.40,69.82,"67653 Amely Way","Parisian, Wolff and Gorczany",711799,65.90,99375,false,6,"NY","Rustic Concrete Car","Corrine Greenfelder",true
true,"virtual","Sports, Tools & Kids",12.49,"Female","8-11-2021","7:18:53","Port Juwanfurt","EWallet",112.41,146582,"66130 Yost Centers","Parisian, Wolff and Gorczany",328618,false,90157,5234509,9,"TX","Ergonomic Rubber Chair","Bo Gerhold",4867607
9412502,4986884,"Movies & Shoes",25.12,"Female","7-9-2021","13:1:5","Port Jordanmouth","Visa",50.24,27.81,"48305 Lockman Drive","Larkin-McClure",714728,8811444,47964,true,2,"MT","Awesome Wooden Chair","Nat Sporer",false
"synthesize","hacking","Grocery",67.22,"Male","10-10-2021","16:56:21","Nevastad","EWallet",134.44,55.34,"931 Haylee Manor","Parisian, Wolff and Gorczany",942466,"SAS",29842,5663873,2,"CA","Intelligent Granite Shoes","Meagan Beahan",2768203
"multi-byte",66.48,"Shoes",30.65,"Male","9-14-2021","2:27:9","New Genevieveview","MasterCard",214.55,"open-source","83531 Larson Shores","Kshlerin DDS",552921,"backing up",56884,3247309,7,"MI","Fantastic Cotton Gloves","Hailie Schmidt",1635797
"GB",69.74,"Grocery",38.69,"Male","10-16-2021","16:35:25","Braxtonton","EWallet",232.14,1745522,"353 Cody Loaf","Considine PhD",127718,"JBOD",71137,true,6,"MT","Rustic Plastic Shoes","Aaron O'Kon",true
28.16,742958,"Electronics & Health",19.52,"Female","3-24-2021","14:20:33","West Marisol","EWallet",175.68,67.80,"2559 Kautzer Heights","Kshlerin DDS",497788,64.23,53417,59.95,9,"NY","Sleek Concrete Car","Tom Kris",56.40
82.50,true,"Garden, Computers & Jewelery",23.00,"Female","7-29-2021","3:31:17","Port Billland","AMEX",69.00,5346234,"5584 Esteban Ways","Armstrong, Strosin and Altenwerth",211294,18.60,20446,false,3,"IL","Fantastic Granite Shirt","Bryce Mante",true
8710751,false,"Automotive",25.11,"Female","7-15-2021","7:9:13","Millerberg","Visa",225.99,"indexing","678 Hamill Road","Armstrong, Strosin and Altenwerth",908879,4672108,23375,false,9,"OK","Awesome Wooden Hat","Meda Gislason",false
64.35,3031336,"Sports, Beauty & Grocery",37.11,"Male","10-16-2021","19:10:39","West Tobintown","Visa",222.66,8720691,"7242 Oberbrunner Stravenue","Armstrong, Strosin and Altenwerth",404078,76.15,31882,9165222,6,"AK","Ergonomic Granite Table","Leonel Howe",6021344
5914472,false,"Industrial",23.09,"Male","10-9-2021","7:43:10","Port Aleenstad","AMEX",23.09,68.07,"6607 Lavada Avenue","Parisian, Wolff and Gorczany",131972,9033137,33726,1522033,1,"SC","Rustic Concrete Pants","Felicia Tillman",7366771
41.17,"navigating","Games",75.94,"Male","9-18-2021","14:47:25","South Valerieville","Visa",75.94,false,"74152 Jasen Roads","Lakin, O'Connell and Monahan",898866,92.24,16184,250111,1,"KY","Fantastic Cotton Hat","Miss Rashawn Goyette",2061932
"capacitor",99.96,"Automotive & Garden",25.75,"Male","9-23-2021","8:54:35","Dudleyland","MasterCard",257.50,41.57,"50994 Colleen Island","Kshlerin DDS",262079,"IB",42881,30.60,10,"WI","Gorgeous Concrete Shoes","Kaycee Bahringer",6.50
"FTP","RSS","Music, Garden & Tools",49.26,"Male","5-16-2021","1:18:8","Lake Roxanemouth","Visa",394.08,"card","475 Jose Trafficway","Larkin-McClure",511510,"bandwidth",99067,true,8,"ID","Incredible Concrete Hat","Uriel Lindgren",true
74.89,8058109,"Home & Industrial",57.57,"Male","10-12-2021","10:26:41","Brucebury","Visa",172.71,true,"11076 Herman Glen","Larkin-McClure",546078,1.15,37741,"connecting",3,"VA","Rustic Concrete Shoes","Camilla Nienow","open-source"
8194292,11.90,"Tools & Outdoors",47.60,"Female","3-20-2021","10:37:30","Mattchester","Cash",380.80,10.81,"49467 Herzog Vista","Kshlerin DDS",814286,4845539,78848,1212689,8,"VA","Incredible Cotton Shirt","Llewellyn Satterfield",4274131
304721,5091860,"Clothing, Health & Garden",90.73,"Male","6-5-2021","17:9:55","Rosarioport","AMEX",725.84,"optical","708 Lynch Square","Kuphal, Spencer and Blanda",969965,8720746,26299,"program",8,"ND","Rustic Granite Shirt","Roslyn Dooley DVM","feed"
