InvoiceId,program,CustomerName, , ,Product,bandwidth,PaymentType,Gender,Address,interface,Store,Quantity,City,ProductPrice,Total,program,State,PostalCode,Date,Department,Time,monitor
261796,true,"Germaine Miller",false,true,"Fantastic Wooden Hat",87.57,"AMEX","Male","13949 Turcotte Shores",true,"Auer V",3,"North Estella",80.07,240.21,false,"UT",90764,"9-16-2021","Tools, Kids & Movies","8:5:48",7569676
730921,true,"Antonette Rempel",37.22,99.80,"Incredible Wooden Pants",2835607,"Cash","Male","87811 Hahn Square","back up","Parisian, Wolff and Gorczany",7,"Lake Finn",31.89,223.23,false,"WA",73445,"8-29-2021","Movies & Sports","13:41:33","back-end"
950589,31.15,"Adolphus Hirthe","EXE","hacking","Awesome Cotton Table",true,"MasterCard","Female","38722 Mohr Parks",1129066,"Parisian, Wolff and Gorczany",10,"West Mario",22.44,224.40,46.77,"MD",98645,"10-9-2021","Outdoors, Industrial & Automotive","3:38:25",789621
962237,"bypassing","Tremaine Daugherty Jr.","RSS","copy","Small Wooden Shoes","indexing","Cash","Female","91175 Zackery Flat",4511611,"Auer V",3,"Port Nathanielstad",44.45,133.35,"PNG","IN",17295,"9-20-2021","Garden","17:52:41",false
248981,false,"Westley Greenfelder",0.22,60.44,"Ergonomic Wooden Gloves",true,"MasterCard","Male","186 Clinton Hollow",true,"Kshlerin DDS",1,"Margueriteview",9.48,9.48,true,"LA",47539,"8-23-2021","Beauty & Sports","1:24:57","reboot"
858048,"PCI","Dillon Gerhold","hacking","AGP","Rustic Concrete Chair","navigate","Visa","Male","50011 Natasha Courts",67.37,"Armstrong, Strosin and Altenwerth",1,"New Elmofurt",2.82,2.82,"protocol","OR",90010,"9-6-2021","Outdoors & Grocery","11:48:3",false
991675,3426950,"Allen Hickle","FTP","bus","Small Wooden Pants",33.30,"EWallet","Male","64646 Joshuah Spur","input","Parisian, Wolff and Gorczany",2,"Samaraville",7.80,15.60,6982838,"OK",83406,"7-14-2021","Beauty","9:59:59",89.01
796488,"XSS","Annette Schulist",true,true,"Gorgeous Rubber Car","COM","MasterCard","Female","2179 Brittany View",true,"Lakin, O'Connell and Monahan",1,"Darentown",11.29,11.29,"copy","NY",98960,"10-14-2021","Sports & Home","15:17:10",6029097
211811,86.65,"Winfield Moore",false,false,"Fantastic Concrete Pants",74.61,"EWallet","Male","1204 Stanton Fields",25.07,"Larkin-McClure",10,"East Nakiaton",15.80,158.00,60.46,"NM",52121,"9-2-2021","Tools","22:33:45",57.50
163424,73.67,"Berta Mayert",23.43,86.37,"Awesome Granite Shoes",46.03,"MasterCard","Female","4807 Schowalter Hills",true,"Parisian, Wolff and Gorczany",8,"Laronfort",12.86,102.88,5.41,"OH",62249,"5-18-2021","Baby","18:52:14","open-source"
291473,6119721,"Kristian Hickle",false,true,"Gorgeous Rubber Shoes",4659087,"Cash","Female","60974 Louie Walks",true,"Armstrong, Strosin and Altenwerth",9,"Pagacshire",5.17,46.53,3769221,"MN",52668,"9-26-2021","Outdoors & Computers","10:37:47",false
839236,8719025,"Desmond Hermann DVM",64.95,27.68,"Fantastic Rubber Shirt",5188895,"MasterCard","Male","9093 Treutel Views",false,"Considine PhD",5,"Bradlyview",94.19,470.95,5182416,"GA",46200,"8-16-2021","Electronics, Games & Automotive","2:28:35",9003153
217805,6919005,"Lauretta Jacobs","solid state","port","Sleek Plastic Shirt","bus","EWallet","Female","139 Robel Views",true,"Lakin, O'Connell and Monahan",1,"Dachchester",30.46,30.46,3553379,"OR",54708,"10-21-2021","Garden, Computers & Games","11:10:54",3602964
120400,"neural","Jeramy Rice",1342766,1069103,"Small Plastic Shoes",true,"MasterCard","Male","26117 Mayer Loop",80.20,"Kshlerin DDS",5,"Sauerview",47.57,237.85,"panel","MD",93222,"7-9-2021","Shoes","10:2:52","bypassing"
566416,false,"Geovanni Roob",false,false,"Incredible Wooden Chair",true,"MasterCard","Male","4313 Dach Fork","copying","Parisian, Wolff and Gorczany",10,"West Addison",61.25,612.50,true,"WA",56431,"9-11-2021","Clothing","17:17:31","wireless"
483776,"capacitor","Natalia Koelpin Jr.",119406,6547801,"Practical Granite Shirt","synthesize","MasterCard","Male","3298 Leone Hollow",6842902,"Wiegand-Tillman",9,"Stantonside",37.89,341.01,"AI","CO",86399,"10-11-2021","Clothing & Automotive","3:58:14",30.85
431504,"auxiliary","Landen Morar III",1228566,4855647,"Gorgeous Wooden Shirt","online","AMEX","Female","655 Birdie Stravenue",19.33,"Parisian, Wolff and Gorczany",3,"Myrticeside",2.26,6.78,"JSON","FL",49967,"7-22-2021","Health & Outdoors","11:1:10",7098540
255705,63.38,"Kamille Effertz DDS","virtual","hack","Incredible Granite Pants",8653836,"Visa","Male","555 Connelly Knolls",75.23,"Kshlerin DDS",10,"East Levistad",98.66,986.60,72.46,"WA",12586,"6-2-2021","Books & Electronics","19:30:10",95.13
677864,true,"Stuart Kihn",34.75,97.10,"Sleek Concrete Shirt",true,"Visa","Female","551 Senger Port",false,"Armstrong, Strosin and Altenwerth",10,"Port Berniceborough",45.91,459.10,false,"WI",40433,"10-7-2021","Clothing & Jewelery","22:6:46",true
778097,7991115,"Chelsea Wyman",false,true,"Awesome Rubber Car",3531648,"MasterCard","Female","95013 Stan Spring",false,"Armstrong, Strosin and Altenwerth",4,"New Magalichester",60.31,241.24,6578745,"WY",54964,"3-27-2021","Toys, Computers & Music","12:28:16","system"
882819,true,"Kathryne Hyatt","navigate","quantify","Small Concrete Car",69.19,"Cash","Female","878 Levi Plain",2990706,"Armstrong, Strosin and Altenwerth",1,"Dickiview",1.96,1.96,false,"AR",23313,"10-12-2021","Outdoors, Health & Computers","8:52:47","application"
137760,77.95,"Grant Schmidt",9087803,903105,"Incredible Granite Pants","driver","Visa","Male","975 Senger Mill",false,"Kuphal, Spencer and Blanda",6,"East Anissastad",28.32,169.92,22.19,"VA",16395,"9-3-2021","Sports, Computers & Shoes","17:38:26","auxiliary"
322212,9256542,"Lela Feeney Sr.",true,false,"Incredible Steel Table","copy","MasterCard","Female","8266 Stephania Radial",17724,"McClure, Block and Franecki",4,"Lynchfurt",56.95,227.80,1769125,"OK",39343,"7-25-2021","Sports","6:34:32","haptic"
300354,false,"Madilyn Becker DVM",41.95,2.07,"Ergonomic Plastic Chair",64.83,"Visa","Female","927 Kaley Extensions",0.74,"Lakin, O'Connell and Monahan",9,"Altenwerthshire",88.95,800.55,false,"KS",40976,"10-20-2021","Tools","13:44:32",false
657141,39.18,"Garett Wisozk MD",true,true,"Rustic Steel Shirt",12.54,"Visa","Male","25665 Considine Lane",75.26,"Considine PhD",6,"North Tyrelmouth",39.01,234.06,71.92,"AK",98699,"9-1-2021","Sports, Jewelery & Health","6:58:35",68.43
629823,47.49,"Jailyn Nienow",81.06,70.79,"Sleek Concrete Shirt",33.32,"EWallet","Male","1086 Greenholt Drive",56.61,"Parisian, Wolff and Gorczany",6,"Cronachester",64.95,389.70,65.74,"CT",43263,"10-9-2021","Outdoors, Movies & Home","1:2:32",731825
846621,true,"Hollie Dicki",5327129,2338003,"Small Plastic Pants",true,"AMEX","Female","624 Aimee Harbor",5389522,"Lakin, O'Connell and Monahan",7,"Funkville",21.89,153.23,true,"IA",59344,"8-25-2021","Automotive","19:5:32","auxiliary"
640316,true,"Precious Lubowitz","auxiliary","redundant","Practical Concrete Shirt",8.36,"EWallet","Male","38612 Patience Plaza",8212192,"McClure, Block and Franecki",8,"Heaneybury",22.46,179.68,true,"CT",58337,"8-10-2021","Beauty","14:24:47",1981057
614319,"back up","Grayce Boehm",7262805,6412422,"Awesome Granite Shoes","synthesize","Visa","Male","476 Ortiz Trail",false,"Larkin-McClure",7,"Heidenreichfurt",81.85,572.95,"AGP","KY",81161,"3-1-2021","Outdoors, Computers & Books","17:24:52",11.75
651350,"sensor","Rusty Windler",7190681,8005554,"Sleek Granite Chair","generate","Cash","Male","8741 Taylor Fort",272593,"Wiegand-Tillman",1,"North Rexport",1.08,1.08,"primary","AZ",20072,"9-13-2021","Industrial & Beauty","13:48:42",66.05
234268,false,"Jewell Mosciski PhD","interface","mobile","Small Steel Gloves","IB","AMEX","Male","5910 Satterfield Shores",5854251,"Wiegand-Tillman",6,"North Kenyonland",90.53,543.18,true,"AZ",65531,"10-23-2021","Clothing","0:6:53",false
713584,5204275,"Ernie DuBuque",true,false,"Incredible Granite Shirt",12.58,"EWallet","Male","85589 Van Road",114818,"Auer V",9,"Greenholtside",99.33,893.97,8567971,"ND",53607,"6-7-2021","Tools","13:51:53",true
220128,60.37,"Alia Hirthe MD",545091,6639018,"Gorgeous Cotton Computer",true,"MasterCard","Female","5516 Alanis Glens",68.49,"Considine PhD",10,"Armstrongport",93.03,930.30,92.35,"NC",33718,"8-11-2021","Industrial","13:45:53",6767320
791784,1340331,"Mrs. Kitty Haley","back-end","auxiliary","Practical Rubber Hat",9106944,"MasterCard","Male","68903 Neal Lake","application","McClure, Block and Franecki",10,"West Noemiefurt",57.80,578.00,6638083,"KY",90202,"9-26-2021","Sports & Baby","20:13:17","RSS"
410400,false,"Andreanne Rau",8661537,9402866,"Practical Granite Shirt",4367933,"MasterCard","Male","1498 Ronny Crescent",93.79,"Wiegand-Tillman",7,"Aracelichester",23.96,167.72,true,"AK",27164,"6-17-2021","Beauty & Sports","18:7:24","hack"
289065,true,"Luigi Beatty",false,true,"Small Granite Chair",18.86,"Cash","Male","17527 Myriam Parks",41.96,"Considine PhD",9,"South Orpha",9.83,88.47,false,"HI",22175,"5-6-2021","Grocery, Industrial & Kids","2:51:55",false
192369,51.06,"Lance Feeney",2852932,7882833,"Rustic Granite Car",39.18,"Visa","Female","5823 Marjory Ford",89.46,"Kshlerin DDS",7,"Forestberg",68.95,482.65,98.41,"AZ",20577,"5-8-2021","Outdoors, Grocery & Kids","8:1:9",false
788877,38.05,"Miss Efrain Bergnaum",60.73,24.45,"Fantastic Steel Shirt","sensor","MasterCard","Female","544 Max Green",10.16,"Kshlerin DDS",9,"East Jermey",22.40,201.60,46.12,"IL",73960,"10-23-2021","Books, Movies & Games","2:20:5",69.59
740876,false,"Winston Cummings",81.41,44.58,"Awesome Rubber Shirt","SDD","Cash","Male","837 Klein Fork",31.00,"Larkin-McClure",1,"Carrieborough",96.49,96.49,false,"WV",55894,"6-30-2021","Games & Outdoors","12:23:29","system"
554489,"XSS","Itzel Boyle",6824319,5345761,"Sleek Steel Chair",true,"Cash","Female","5634 Lukas Light","array","Kshlerin DDS",8,"South Dixiebury",49.55,396.40,"TCP","WY",69383,"10-24-2021","Sports & Industrial","15:50:10",10.91
674206,"AI","Mavis Conn III",3155721,3345305,"Awesome Granite Gloves",1814610,"MasterCard","Female","3666 Isac Orchard",8931640,"Parisian, Wolff and Gorczany",5,"Port Brendonside",78.78,393.90,"CSS","RI",72658,"10-11-2021","Books, Clothing & Movies","11:48:52",3232955
830955,"index","Mrs. Kylee Russel",9300263,1082074,"Intelligent Cotton Pants",646832,"AMEX","Female","7299 Luisa Shoals",16.88,"Considine PhD",2,"New Savannahborough",91.76,183.52,"bluetooth","MI",62376,"4-17-2021","Computers","22:28:31",3767817
199906,4323117,"Mrs. Maximo Swift",75.22,38.38,"Practical Wooden Pants",true,"MasterCard","Male","310 Haley Ridges",60.85,"Kshlerin DDS",10,"Port Marina",85.88,858.80,8055667,"MO",53220,"3-23-2021","Books","9:39:37",93.28
452345,true,"Ari Fritsch",false,false,"Rustic Rubber Gloves",false,"MasterCard","Male","75872 Lindgren Points",true,"Armstrong, Strosin and Altenwerth",4,"Kautzerchester",65.49,261.96,true,"TX",23382,"8-22-2021","Toys, Music & Jewelery","10:48:16",true
927080,"backing up","Ervin Abshire MD",43.42,3.44,"Gorgeous Granite Car",false,"MasterCard","Female","851 Towne Valley",true,"Armstrong, Strosin and Altenwerth",1,"Lake Abbigail",86.75,86.75,"PNG","KY",55732,"10-12-2021","Sports & Garden","21:39:38",false
330671,6133755,"Nikolas Boyle","connect","navigating","Incredible Steel Table",353038,"AMEX","Male","993 Aglae Valley",4.08,"Considine PhD",1,"East Wilfredohaven",48.92,48.92,5512386,"OR",32020,"7-6-2021","Health","7:0:8",9188653
387986,1296455,"Dr. Mona Schoen","primary","bypass","Rustic Granite Computer",35.11,"AMEX","Male","5265 Fidel Estates",31.64,"Armstrong, Strosin and Altenwerth",3,"Emilioburgh",61.64,184.92,52313,"ND",69609,"5-25-2021","Toys","19:15:41",46.94
124096,71.16,"Camilla Mitchell",94.45,57.76,"Intelligent Plastic Shoes","AI","MasterCard","Male","5971 Tatum Islands",4148102,"Kshlerin DDS",5,"South Aylinchester",85.91,429.55,38.50,"MI",52278,"6-10-2021","Industrial","22:30:54",7011404
249319,6619341,"Connor Kiehn",3846037,376830,"Rustic Cotton Computer",5050422,"AMEX","Male","554 Lindgren Light","firewall","Considine PhD",5,"Linaport",81.31,406.55,6718632,"AR",55249,"3-28-2021","Industrial, Toys & Garden","10:31:50","online"
565388,"index","Ulises Dooley",8965939,3189112,"Small Concrete Gloves",0.53,"AMEX","Female","14079 Herzog Light",36.09,"McClure, Block and Franecki",2,"Jaylenbury",81.83,163.66,"PCI","WV",54232,"12-14-2020","Beauty","23:55:50",66.75
994277,"program","Dr. Leola Bosco","hack","bypassing","Practical Concrete Chair",9042255,"MasterCard","Male","723 Nolan Road",12.86,"Larkin-McClure",3,"North Brice",72.80,218.40,"navigating","AL",32399,"5-26-2021","Grocery & Music","18:13:35",32.88
562827,false,"Vern Kessler V",true,true,"Sleek Steel Shoes",77.31,"Visa","Male","3469 O'Keefe Locks",2822459,"Kuphal, Spencer and Blanda",6,"Creminville",8.46,50.76,false,"OR",82998,"6-12-2021","Toys, Outdoors & Kids","13:14:55",false
615286,6326041,"Rosella MacGyver MD",45.03,8.17,"Awesome Wooden Hat","program","MasterCard","Male","2149 Kristofer Falls","array","Wiegand-Tillman",9,"Nienowstad",69.96,629.64,5613424,"OR",18835,"10-2-2021","Industrial, Grocery & Home","19:30:4","quantifying"
193836,"JSON","Lorenzo Lebsack",false,false,"Sleek Concrete Shoes","EXE","AMEX","Male","11412 Haley Prairie",75.80,"Lakin, O'Connell and Monahan",3,"Dibbertfurt",7.63,22.89,"feed","NE",18520,"8-29-2021","Health & Computers","23:17:32",false
602586,"connect","Mrs. Shawn Hilpert",7801654,597458,"Gorgeous Plastic Table",618929,"EWallet","Male","420 Quitzon Unions",332293,"Auer V",1,"North Mercedes",1.36,1.36,"calculate","SC",73144,"10-9-2021","Computers, Clothing & Kids","9:50:3",false
216872,9047721,"Hillard Volkman",true,false,"Ergonomic Steel Pants","bypassing","Cash","Female","7922 Gutmann Haven",3415493,"McClure, Block and Franecki",1,"North Giannifort",33.64,33.64,9082250,"TX",99273,"6-4-2021","Automotive, Industrial & Garden","18:3:23",37.19
615611,true,"Kavon Sipes",86.70,49.48,"Gorgeous Plastic Car",true,"Cash","Male","2511 Wilderman Lights",2837188,"Wiegand-Tillman",4,"Lake Shana",58.77,235.08,false,"IA",75452,"9-20-2021","Health & Baby","12:21:50",4.37
327363,84.00,"Alfreda Barrows","XML","navigating","Sleek Steel Car",true,"EWallet","Female","5251 Joshuah Freeway","open-source","Wiegand-Tillman",1,"Osinskimouth",12.14,12.14,88.85,"KS",85814,"10-25-2021","Electronics","0:32:0",1315225
267809,5295491,"Juston Hahn","microchip","compress","Practical Steel Hat","back up","MasterCard","Female","12874 Esther Mountains",false,"Armstrong, Strosin and Altenwerth",2,"Lake Isidrofurt",9.49,18.98,3233207,"NH",45217,"9-20-2021","Toys & Home","14:50:25",5378529
551423,"programming","Keara Green",false,false,"Gorgeous Steel Shoes","transmit","Cash","Female","55258 Wisoky Mountain",38.23,"Parisian, Wolff and Gorczany",4,"Kesslerville",22.24,88.96,"hard drive","KS",90712,"10-19-2021","Tools","4:52:55",true
508515,"1080p","Kellen Haley","alarm","bluetooth","Awesome Steel Pants",false,"Cash","Male","670 Klocko Branch",false,"Kuphal, Spencer and Blanda",5,"South Howard",87.66,438.30,"parse","NH",26906,"8-19-2021","Automotive, Health & Tools","21:28:18",7121347
577816,3.58,"Abigail Cormier",false,true,"Practical Rubber Table",true,"EWallet","Female","761 Quigley Walk",3.12,"McClure, Block and Franecki",6,"North Libbieborough",47.38,284.28,39.06,"DE",67481,"8-10-2021","Movies, Games & Grocery","12:22:32",35.63
500071,11.49,"Clarabelle Heaney DDS",true,false,"Fantastic Granite Car",0.48,"MasterCard","Female","9976 Lucile Lakes",23.75,"Larkin-McClure",9,"Erinborough",84.83,763.47,59.28,"NV",19749,"10-7-2021","Grocery & Baby","0:53:34","matrix"
538451,9017536,"Katharina Kling","GB","bus","Sleek Steel Computer",false,"Cash","Female","17483 Elliot Plains",1089552,"McClure, Block and Franecki",6,"Bahringerport",41.02,246.12,6761986,"MT",15649,"10-18-2021","Baby","18:12:22",93.14
376835,6728843,"Joany MacGyver",false,false,"Gorgeous Plastic Table",67.39,"AMEX","Female","1243 Enid Course",64.64,"McClure, Block and Franecki",10,"New Ilianaburgh",42.05,420.50,4303449,"AK",62527,"7-22-2021","Clothing, Computers & Music","21:55:45",4968230
420070,8.84,"Mohammad Murphy","multi-byte","synthesizing","Awesome Concrete Table",53.01,"EWallet","Female","65368 Mazie Road","backing up","Lakin, O'Connell and Monahan",4,"Lockmanshire",35.68,142.72,97.25,"WI",26106,"10-17-2021","Games, Baby & Grocery","2:31:1",71.78
896928,true,"Cary Marks",false,false,"Awesome Granite Chair",false,"Visa","Male","720 Lemke Wells",2.82,"Kuphal, Spencer and Blanda",9,"New Tyrell",96.91,872.19,true,"GA",55720,"8-15-2021","Sports & Industrial","2:15:3",95.84
296908,71.39,"German Romaguera Jr.",67.47,30.01,"Ergonomic Steel Shoes","interface","Cash","Female","9107 Katherine Junction",false,"Larkin-McClure",10,"Karlmouth",76.16,761.60,85.70,"VT",29666,"10-14-2021","Outdoors, Automotive & Health","16:27:53",82.36
614226,"protocol","Dr. Alanis Haley",4.51,64.45,"Gorgeous Rubber Computer","synthesizing","EWallet","Male","602 Deshaun Gateway",23.86,"Kuphal, Spencer and Blanda",8,"Lake Devan",73.77,590.16,"synthesize","AR",36032,"9-24-2021","Automotive & Books","14:20:31","reboot"
847410,3364809,"Maia Hodkiewicz","compress","transmit","Gorgeous Granite Pants",true,"Visa","Male","11463 Tiana Flat",8569853,"McClure, Block and Franecki",6,"Gerlachton",61.60,369.60,1928944,"MS",80601,"10-8-2021","Industrial, Shoes & Kids","4:55:37",6575437
557978,"SQL","Pedro Stoltenberg",3805367,4964840,"Practical Rubber Pants","pixel","MasterCard","Female","174 Krystel Street",1793017,"Kuphal, Spencer and Blanda",1,"Lake Alessiaburgh",28.69,28.69,"hack","IL",58135,"10-15-2021","Grocery & Beauty","21:31:2","SMS"
