Gender,Time,Quantity,State,card,InvoiceId,Store,panel,ProductPrice,Address,CustomerName,Date,Department,PaymentType,system, ,driver,City,PostalCode,Total,Product,transmitter
"Male","13:18:7",2,"ND",4522462,451108,"Parisian, Wolff and Gorczany",3648951,7.93,"104 Fahey Rapids","Hubert Kiehn I","7-1-2021","Health","MasterCard","quantify","digital",42.13,"East Mellieville",48632,15.86,"Sleek Concrete Car","auxiliary"
"Female","3:44:0",4,"TX",10.54,993197,"Armstrong, Strosin and Altenwerth",1339504,69.03,"956 Oma Springs","Henriette Metz","9-1-2021","Garden, Books & Grocery","Visa",false,5614761,false,"Myrlmouth",92330,276.12,"Awesome Granite Chair",false
"Male","2:40:36",4,"ID","indexing",160189,"McClure, Block and Franecki","indexing",44.83,"675 Purdy Parks","Mr. Jeromy Daniel","8-28-2021","Tools","Visa","HTTP","optical","primary","Schambergerbury",57998,179.32,"Rustic Concrete Chair",16.97
"Female","12:48:18",10,"OR",99.29,807429,"Kshlerin DDS","bluetooth",52.78,"834 Hagenes Glen","Ms. Rosella Homenick","9-17-2021","Garden & Beauty","Visa",true,1423678,"COM","West Bartonfort",60950,527.80,"Ergonomic Granite Table",true
"Female","23:38:22",8,"NE",16.52,626549,"Kshlerin DDS",8735625,78.11,"65973 Grant Isle","Candelario Walsh Sr.","9-11-2021","Tools & Movies","AMEX","navigate",false,"connecting","New Coralieborough",93240,624.88,"Intelligent Plastic Shoes","solid state"
"Male","18:36:21",3,"NE",5941844,854888,"Kshlerin DDS",2325468,3.69,"7709 Russel River","Myrna Little","10-12-2021","Electronics, Jewelery & Toys","Visa",18.94,"compressing",false,"New Clovis",50193,11.07,"Intelligent Granite Computer",33.65
"Female","20:40:38",5,"MD",false,143101,"Parisian, Wolff and Gorczany",1915202,93.48,"684 Konopelski Brooks","Alexa Gusikowski Jr.","2-22-2021","Shoes","Visa","generate",4.91,68.65,"Nathanaelborough",29772,467.40,"Fantastic Plastic Shirt",91.50
"Female","16:46:38",10,"AL",44.11,662522,"Wiegand-Tillman",5153934,85.68,"8270 Hilpert Center","Johnson Ratke","10-14-2021","Baby & Tools","EWallet","multi-byte","RAM",99.49,"West Destiney",47249,856.80,"Awesome Plastic Shirt",22.57
"Male","23:10:16",2,"RI",6974882,152449,"Kshlerin DDS",true,59.95,"562 Bobbie Fort","Palma Krajcik","2-19-2021","Garden, Outdoors & Shoes","MasterCard",true,1786698,false,"Nealside",36134,119.90,"Sleek Steel Table",79.60
"Male","1:18:41",7,"NE",1292066,125532,"McClure, Block and Franecki","bandwidth",57.91,"816 Thiel Dale","Madison Wunsch","9-23-2021","Home & Games","MasterCard",4047826,5241101,6811428,"West Leonard",56874,405.37,"Small Plastic Hat",6714346
"Female","5:45:44",1,"AL","capacitor",830558,"Wiegand-Tillman",5166160,12.75,"4056 Alta Rapid","Bart Crona","7-4-2021","Tools & Beauty","EWallet",4553290,"bluetooth",6362675,"Boyleside",51004,12.75,"Practical Wooden Table",84.08
"Male","16:42:50",1,"RI",13.62,963272,"Wiegand-Tillman",true,41.31,"6977 Antonietta Path","Lillie Breitenberg","9-26-2021","Games, Beauty & Books","MasterCard",true,8.90,true,"Blairberg",50774,41.31,"Intelligent Wooden Car",73.75
"Male","21:39:17",1,"FL","SDD",229436,"Parisian, Wolff and Gorczany",5678810,30.31,"19527 Rau Road","Dominique Robel PhD","9-12-2021","Music, Sports & Games","EWallet","wireless",6485812,"monitor","Edwinshire",59121,30.31,"Practical Plastic Gloves","cross-platform"
"Female","13:14:21",6,"MO",4282855,809722,"Parisian, Wolff and Gorczany",86288,18.00,"3590 Gleichner Turnpike","Dejuan Lemke","7-12-2021","Automotive","Visa","SMTP",true,"open-source","East Gonzaloside",25075,108.00,"Small Wooden Hat",1036759
"Male","16:29:30",4,"VT","auxiliary",113095,"Parisian, Wolff and Gorczany",8778533,80.74,"913 Pfeffer Circles","Travon Schmidt","10-14-2021","Industrial & Sports","EWallet",7026065,82.69,5850252,"Schmidtstad",58175,322.96,"Intelligent Concrete Car",8072154
"Male","22:20:11",9,"CO",true,234325,"Kshlerin DDS",53.95,38.97,"65343 Yost Turnpike","Eileen McDermott DVM","8-31-2021","Automotive, Movies & Baby","Cash","hard drive",true,63.60,"New Reyna",54376,350.73,"Small Steel Pants","USB"
"Female","2:51:37",1,"ME",6968959,264959,"Lakin, O'Connell and Monahan",true,32.87,"16592 Arden Union","Hudson Kerluke","6-29-2021","Baby, Books & Outdoors","AMEX",56.94,false,43.15,"Lake Lamar",32501,32.87,"Intelligent Steel Gloves",false
"Female","1:16:11",8,"VA","backing up",957614,"Armstrong, Strosin and Altenwerth",4584179,7.70,"722 Daniel Brook","Melany Parker II","9-25-2021","Music","Visa","cross-platform",7529036,7723652,"Kraigshire",48752,61.60,"Sleek Steel Shirt",false
"Male","22:45:29",4,"OR","online",913227,"Kshlerin DDS",5453101,82.77,"9716 Murphy Streets","Mrs. Kavon Ritchie","10-23-2021","Tools & Books","AMEX",5886153,5030323,"navigate","North Fernandoborough",91903,331.08,"Awesome Granite Table",4457636
"Male","21:36:41",1,"MT","firewall",777031,"Wiegand-Tillman",78.98,4.55,"730 Sadye Trail","Deion Ryan","10-24-2021","Games","MasterCard",5514767,2363605,2654886,"North Lowellmouth",52123,4.55,"Ergonomic Steel Car",true
"Female","10:16:57",5,"MA",3012235,673383,"Considine PhD","program",18.27,"942 Geovany Ports","Caleb Stracke","4-18-2021","Tools & Automotive","AMEX","parsing",6377585,false,"Leonside",66677,91.35,"Sleek Cotton Gloves",true
"Female","16:11:49",5,"OK",2094226,682818,"McClure, Block and Franecki",4.33,5.38,"30953 Kali Falls","Gregoria Batz","8-16-2021","Shoes & Garden","MasterCard",0.82,12.63,72.06,"Port Coreneton",21645,26.90,"Sleek Wooden Shirt",true
"Female","2:52:28",8,"NC",19.96,866363,"Auer V","application",24.73,"387 Fabian Via","Holden Lowe","9-10-2021","Beauty, Health & Outdoors","Visa",true,7629252,70.60,"Tremainebury",94590,197.84,"Small Granite Hat",false
"Male","0:57:55",7,"CT",2947131,943193,"Kuphal, Spencer and Blanda",7855973,14.45,"720 Allen Dale","Cordia Kuphal V","9-20-2021","Home & Tools","EWallet","auxiliary",7360568,1475912,"East Toneyborough",57659,101.15,"Intelligent Concrete Shirt","multi-byte"
"Female","10:29:48",8,"WA","cross-platform",947438,"Kuphal, Spencer and Blanda",69.50,72.42,"15120 Braxton Harbor","Miss Jerald Donnelly","10-13-2021","Clothing & Tools","AMEX",65.93,2454943,"quantify","Antoniettaburgh",38023,579.36,"Intelligent Concrete Shoes","backing up"
"Female","19:8:23",1,"HI",true,770059,"Wiegand-Tillman",70.41,95.33,"1460 Strosin Vista","Sabryna Hickle PhD","4-15-2021","Shoes & Clothing","EWallet",69.30,1306083,true,"Labadieton",59468,95.33,"Awesome Wooden Hat","hard drive"
"Female","22:25:54",3,"CT",true,294813,"Kuphal, Spencer and Blanda",true,67.02,"5046 Chyna Rue","Maximo Beatty","9-23-2021","Baby, Tools & Clothing","Cash",27.65,13.88,false,"Sadiemouth",75646,201.06,"Small Granite Gloves","GB"
"Male","0:36:42",5,"VT",53.08,937420,"Larkin-McClure","HDD",96.39,"47396 Emma Crest","Lorenz Gusikowski","8-5-2021","Sports","Cash",true,true,34.57,"East Darbyside",89578,481.95,"Intelligent Cotton Gloves","calculate"
"Female","7:48:12",10,"RI",349714,668315,"Kshlerin DDS","navigating",56.17,"999 Agustin Isle","Hertha Hane","10-25-2021","Electronics, Beauty & Baby","AMEX",70.27,32.62,"transmit","Curtmouth",93058,561.70,"Intelligent Steel Computer",15.89
"Male","15:37:26",3,"FL",1447387,248048,"Kuphal, Spencer and Blanda",5592413,57.10,"71496 Salvador Stream","Roberto Mann II","10-6-2021","Jewelery","Cash","interface","wireless",8.05,"Lindview",77678,171.30,"Sleek Steel Gloves",27.46
"Female","22:19:12",10,"AL","connecting",247449,"Considine PhD",938332,72.89,"38972 Jeanne Trail","Constance Beahan MD","10-14-2021","Outdoors & Home","EWallet",false,false,false,"Boylebury",51690,728.90,"Awesome Rubber Chair",true
"Female","13:7:3",1,"NM",67.91,548460,"McClure, Block and Franecki",13.95,4.21,"61598 Metz Forks","Carissa Senger","10-8-2021","Garden, Beauty & Kids","AMEX",3088301,7460030,62.60,"Emilton",53919,4.21,"Gorgeous Granite Hat",98.97
"Male","1:22:45",6,"UT",1531519,385474,"Wiegand-Tillman",false,75.38,"829 O'Kon Corners","Dianna Tillman","8-29-2021","Clothing, Baby & Health","MasterCard",false,70.63,"bluetooth","East Alexzanderview",90716,452.28,"Intelligent Wooden Car",58.32
"Male","3:57:2",3,"OH",5495860,269292,"McClure, Block and Franecki",7862458,15.39,"665 Yost Shores","Vaughn McKenzie","10-19-2021","Grocery","Visa","feed",4130263,95.53,"Javierton",24180,46.17,"Ergonomic Plastic Computer",6001450
"Female","6:56:21",7,"DE",77.88,826533,"Wiegand-Tillman",2555657,42.35,"14365 Leffler Key","Leilani Brekke","4-16-2021","Jewelery","EWallet",true,true,false,"Connellychester",85594,296.45,"Intelligent Plastic Pants",true
"Male","7:38:26",8,"IA",true,887916,"Larkin-McClure",29.44,5.50,"51236 Hirthe Fort","Percy Feeney","9-25-2021","Shoes & Kids","AMEX",false,true,4710822,"East Destiney",85304,44.00,"Practical Steel Pants",5759081
"Male","13:39:30",3,"IN",50.75,686553,"Parisian, Wolff and Gorczany",true,12.18,"2710 Christ Highway","Janiya Runolfsson","7-29-2021","Tools","EWallet",52.22,false,35.52,"Uptonburgh",28033,36.54,"Rustic Plastic Shirt",3764459
"Male","8:55:46",1,"VA","back-end",940685,"Wiegand-Tillman","reboot",75.69,"97596 Morar Fall","Theodora Parker","8-27-2021","Baby & Games","AMEX",false,716322,"synthesize","South Keonberg",76949,75.69,"Gorgeous Concrete Computer",true
"Male","9:12:55",5,"MS","compress",178033,"Kshlerin DDS",true,37.74,"76825 Nikolaus Track","Calista Stanton","2-22-2021","Kids","AMEX","port","quantifying","quantify","Hilmafort",27583,188.70,"Awesome Wooden Shoes",5470710
"Male","11:11:8",7,"CA",3735101,560102,"Kuphal, Spencer and Blanda",3149440,37.73,"790 Marcelino Key","Nels Koepp","10-11-2021","Toys","Cash",1059706,true,44.89,"Elizabury",36755,264.11,"Rustic Plastic Chair",true
"Female","23:43:3",10,"DE",18.25,293070,"Larkin-McClure",53.82,17.65,"1918 Feest Field","Tatyana Morar","3-1-2021","Jewelery, Outdoors & Baby","Visa",true,40.38,false,"Karolannborough",69127,176.50,"Incredible Granite Chair",true
"Male","22:1:5",1,"MI",75.30,899950,"Parisian, Wolff and Gorczany",38.65,8.63,"50601 Vilma Springs","Mrs. Kristy Trantow","9-8-2021","Music & Computers","EWallet",35.48,97.47,87.53,"Turcotteside",61645,8.63,"Awesome Wooden Table",83.80
"Female","13:0:3",5,"GA",33.55,144187,"Lakin, O'Connell and Monahan",69.51,73.18,"6694 Greenholt Walks","Annabel Windler","7-9-2021","Clothing","Cash",true,55.82,"override","Busterville",93439,365.90,"Practical Granite Computer","feed"
"Male","10:47:30",3,"CA",false,371904,"Considine PhD",false,18.35,"664 Antoinette Brooks","Caroline Schumm","3-28-2021","Games & Computers","AMEX","cross-platform",83.17,4909472,"Lilyville",43498,55.05,"Small Cotton Shirt",6097630
"Male","1:55:3",2,"OK",4785269,480499,"Kuphal, Spencer and Blanda",8319136,41.81,"705 Nelda Islands","Daphne Toy","7-10-2021","Baby & Industrial","Visa","auxiliary","feed",false,"West Theatown",50026,83.62,"Rustic Concrete Table","neural"
"Female","23:27:0",2,"MN",28.95,737487,"McClure, Block and Franecki",4325091,35.68,"9401 Koelpin Ramp","Scarlett Heathcote","10-24-2021","Music","EWallet",85.24,47.55,10.87,"Axelmouth",88779,71.36,"Gorgeous Concrete Gloves",33.95
"Female","18:48:25",10,"PA","generate",824666,"Kshlerin DDS",22.30,58.67,"963 Thomas Forks","Michelle Dietrich","6-1-2021","Music","EWallet",true,true,false,"Port Anthonytown",71710,586.70,"Intelligent Wooden Table",true
"Male","12:11:36",7,"WI",77.60,602321,"Larkin-McClure",39.59,9.30,"99062 Heidenreich Rapids","Lamont Boyer","9-4-2021","Jewelery","Visa",true,22.83,85.88,"Lake Amya",33568,65.10,"Awesome Cotton Car",false
"Female","12:23:42",3,"TX",35.07,983224,"Lakin, O'Connell and Monahan","virtual",40.06,"9301 Maybelle Tunnel","Ms. Sim McLaughlin","10-11-2021","Tools & Music","Cash",6614727,"haptic","SQL","North Jarredmouth",34410,120.18,"Ergonomic Concrete Car","back up"
"Male","8:44:31",6,"KY",5611361,902228,"Armstrong, Strosin and Altenwerth",5761523,80.31,"926 Roberto Neck","Claire Rath","10-21-2021","Games & Sports","Visa",true,6602837,5572155,"Erdmanburgh",65409,481.86,"Intelligent Plastic Pants","TCP"
"Male","8:17:52",9,"SC",true,400625,"Considine PhD","hacking",63.21,"941 Modesta Avenue","Wendy Gislason","4-10-2021","Sports & Computers","Cash",10.09,9088271,8104769,"Rempelton",57086,568.89,"Sleek Cotton Hat",2217427
"Female","10:10:43",10,"CA",454573,738535,"Wiegand-Tillman",32.00,40.29,"551 Legros Lock","Amie Ferry","10-17-2021","Computers","AMEX","bypass","SSL","bypassing","West Maximillia",29064,402.90,"Gorgeous Plastic Shirt","navigating"
"Male","21:4:0",6,"OR",true,685394,"Armstrong, Strosin and Altenwerth","primary",67.22,"6264 Syble Cliffs","Ervin Langosh","6-22-2021","Computers, Books & Games","MasterCard","calculate","bypassing",12.08,"Prohaskachester",93120,403.32,"Incredible Concrete Shirt","bluetooth"
"Female","3:51:22",2,"VT","PNG",862247,"Lakin, O'Connell and Monahan",47.41,77.93,"6299 Flo Meadows","Edgardo Muller","8-6-2021","Sports, Games & Grocery","Cash",false,"JBOD",96.88,"East Melody",91296,155.86,"Practical Steel Gloves",1604134
"Female","7:22:16",9,"CO",false,347224,"Lakin, O'Connell and Monahan",true,26.22,"17860 Tremaine Burg","Miss Conner Wilkinson","9-2-2021","Industrial","MasterCard",68.51,true,true,"East Destinimouth",83530,235.98,"Gorgeous Plastic Car","input"
"Male","13:7:0",4,"IN",false,752114,"Armstrong, Strosin and Altenwerth",56.70,31.44,"83802 Haley Way","Autumn McLaughlin","5-3-2021","Automotive","AMEX",52.95,16.11,false,"North Cletusberg",87763,125.76,"Gorgeous Wooden Gloves",41.70
"Male","0:2:32",5,"MS",5880597,508841,"Kuphal, Spencer and Blanda","calculating",61.60,"7104 Steuber Freeway","Jamir Halvorson","10-19-2021","Shoes","EWallet",9093804,"IB","backing up","Lake Christine",78644,308.00,"Incredible Wooden Table",99.56
"Male","10:27:26",1,"AL",4580316,486300,"McClure, Block and Franecki",48.25,5.93,"27051 Braun Fields","Jaylin Stanton","6-1-2021","Shoes, Music & Computers","Visa",8645949,2185550,true,"Sidneyfurt",57760,5.93,"Rustic Rubber Table",6734812
"Female","5:51:22",8,"TX","compressing",413706,"McClure, Block and Franecki","bus",75.50,"5100 Chance View","Mr. Max Hauck","4-26-2021","Toys, Sports & Grocery","AMEX",30.35,"interface",52.04,"Hamillport",91462,604.00,"Practical Concrete Gloves",1368334
"Female","22:35:45",5,"AK","multi-byte",322208,"Considine PhD",2335716,44.12,"3963 Smith Creek","Francisca Wilderman","9-17-2021","Shoes","AMEX","SMS",true,false,"Nienowmouth",14091,220.60,"Sleek Rubber Chair",false
"Female","13:56:43",6,"ID",false,958989,"Kuphal, Spencer and Blanda",72.17,96.99,"372 Jacky Burgs","Ocie Lueilwitz","6-21-2021","Shoes & Outdoors","Cash",8669789,32.38,94.34,"Bernierborough",74900,581.94,"Small Wooden Shoes",true
"Female","3:23:27",2,"MA",7.16,745039,"Parisian, Wolff and Gorczany",true,97.97,"9734 Glover Point","Burley Hermiston","8-3-2021","Toys & Grocery","AMEX",66.37,false,16.24,"Shanaside",32577,195.94,"Fantastic Concrete Table",false
"Female","7:5:25",4,"MD",false,316204,"McClure, Block and Franecki",true,26.23,"599 Jast Knoll","Elva Murphy","2-15-2021","Kids","EWallet",51.12,false,false,"Laronbury",91789,104.92,"Practical Wooden Hat",5104103
"Male","3:30:53",2,"WV","USB",804382,"Lakin, O'Connell and Monahan","AGP",19.16,"5049 Lauriane Stravenue","Chandler Greenholt","7-9-2021","Health","MasterCard",35.95,"HDD","connecting","Port Cali",74201,38.32,"Sleek Plastic Shoes","pixel"
"Female","14:47:36",3,"MT",true,945473,"Armstrong, Strosin and Altenwerth","firewall",38.91,"80156 Juana Rapids","Elwin Rogahn","4-7-2021","Grocery","Cash","1080p",6245007,8878918,"East Lydia",35400,116.73,"Small Steel Table",4366049
"Female","13:17:11",4,"AR",8760967,769229,"McClure, Block and Franecki",253812,16.93,"928 Carey Points","Vincenzo Rice Jr.","10-17-2021","Outdoors & Beauty","Visa",25.18,false,8464844,"Lake Montanaville",14297,67.72,"Rustic Wooden Gloves",true
"Male","13:38:12",8,"NJ",true,867648,"McClure, Block and Franecki","interface",99.07,"4404 Jannie Burg","Dudley Bergnaum","4-10-2021","Computers, Beauty & Games","Cash",56.08,18.99,1341187,"Feeneystad",23258,792.56,"Awesome Wooden Gloves","panel"
"Female","7:2:2",6,"IN",false,141260,"Parisian, Wolff and Gorczany",17.54,29.80,"14225 Emmet Pines","Reid Christiansen DDS","8-7-2021","Computers & Automotive","Cash",77.36,true,27.20,"New Kasandraberg",40894,178.80,"Practical Granite Car",true
"Female","3:37:19",3,"PA",75.95,577853,"Kshlerin DDS",true,42.93,"5342 Beahan Haven","Amari Bartoletti","7-13-2021","Clothing","MasterCard",true,false,84.29,"New Roycefurt",16393,128.79,"Rustic Concrete Hat",false
"Female","6:29:12",7,"GA",73.02,411652,"Lakin, O'Connell and Monahan",23.50,76.02,"62721 Adam Corner","Ms. Gerson Morar","7-10-2021","Games & Movies","Cash",2603821,"transmitter","wireless","West Rachelle",68556,532.14,"Sleek Rubber Pants","virtual"
"Male","19:5:33",7,"GA",37.80,771359,"Armstrong, Strosin and Altenwerth","indexing",63.63,"9239 Melody Drive","Katelynn Dach","8-27-2021","Health, Outdoors & Sports","EWallet",97.41,"copying",50.10,"New Corbinside",25936,445.41,"Rustic Steel Gloves",6078516
"Male","14:28:45",4,"OH","port",143431,"Lakin, O'Connell and Monahan",false,76.62,"87925 Amina Stream","Dr. Martine Crooks","1-11-2021","Baby, Toys & Kids","EWallet",3405706,"synthesize",4101325,"Strackechester",50847,306.48,"Incredible Plastic Gloves",2496649
"Male","22:32:28",7,"WV","reboot",341346,"Armstrong, Strosin and Altenwerth","AI",89.17,"25776 Turner Bypass","Jean Morar MD","4-8-2021","Music & Games","MasterCard",true,"navigating",6504493,"Harberborough",34293,624.19,"Sleek Granite Shirt","auxiliary"
"Female","20:18:24",4,"MS",9302820,306972,"Wiegand-Tillman",false,98.98,"17247 Lucius Circle","Kayley Schoen IV","4-16-2021","Movies, Home & Jewelery","AMEX","system",true,7307342,"Kennachester",31796,395.92,"Awesome Granite Pants",13.03
"Male","5:41:23",5,"ME",7516749,783657,"Kshlerin DDS",true,99.77,"990 Stiedemann Views","Miss Harvey Green","7-29-2021","Jewelery","AMEX",21.33,"XSS","calculating","Colefort",67691,498.85,"Small Steel Chair",71.28
"Female","7:23:10",7,"KY",false,357502,"Kuphal, Spencer and Blanda",false,3.08,"58469 Brook Mount","Ena Pfannerstill","9-19-2021","Movies, Electronics & Shoes","EWallet",80.00,true,20.06,"Verdieside",52999,21.56,"Intelligent Steel Pants",false
"Female","14:33:47",4,"SC",5.12,779686,"Kshlerin DDS",67.88,70.63,"8060 Brakus Ramp","Grayce Baumbach","8-5-2021","Music, Computers & Books","AMEX",6708546,false,8303712,"Rempelborough",66408,282.52,"Sleek Concrete Table",40.85
"Male","1:34:59",4,"MA",true,570558,"Considine PhD","transmitter",87.96,"58289 Streich Streets","Karelle Wilkinson","10-15-2021","Computers & Kids","Visa","connect",4990693,2068647,"Spencerton",83088,351.84,"Awesome Cotton Chair",7386103
"Female","3:0:29",1,"ND",74.38,876556,"Armstrong, Strosin and Altenwerth",true,95.38,"5607 Lehner Burg","Ralph Stamm","8-7-2021","Computers & Kids","EWallet",1347479,1145066,62.90,"South Noeliafurt",57587,95.38,"Practical Cotton Table","back up"
"Male","3:7:10",5,"MO",false,691044,"Kshlerin DDS",2153260,54.98,"23408 Schumm Unions","Cicero Keebler","10-20-2021","Electronics, Grocery & Music","EWallet",false,"driver","compressing","Hartmannview",35598,274.90,"Small Wooden Computer",66.18
"Male","12:25:6",3,"MN",52.56,629060,"Kuphal, Spencer and Blanda",false,56.51,"494 Gislason Tunnel","Stephany Stokes","8-8-2021","Automotive, Tools & Jewelery","MasterCard","SCSI",6301516,34.65,"Troyview",65526,169.53,"Incredible Plastic Shirt","navigate"
