PostalCode,PaymentType,capacitor,CustomerName,Date,Product,card,Gender,hard drive, ,Quantity,City,Total,ProductPrice,Address,monitor,panel,InvoiceId,Store,Department,Time,State
12711,"Visa",36.61,"Mittie Dickens","9-17-2021","Awesome Cotton Table",60.50,"Male",true,86.07,6,"Port Aliciaton",425.88,70.98,"288 Konopelski Fords",9.13,false,833446,"Kuphal, Spencer and Blanda","Grocery & Shoes","19:0:2","VA"
42393,"AMEX",true,"Ms. Edythe Beahan","10-13-2021","Practical Granite Computer","transmitter","Male",1483025,"sensor",9,"North Bradyville",689.85,76.65,"569 Jean Ranch",50.98,"JSON",428758,"Kuphal, Spencer and Blanda","Computers, Beauty & Clothing","8:13:11","ND"
99794,"AMEX",27.75,"Tatyana Mertz","4-4-2021","Awesome Rubber Gloves",true,"Male",6472742,"indexing",5,"East Aliyatown",93.05,18.61,"1061 Ryan Lakes",0.25,"back up",638223,"Considine PhD","Jewelery","8:39:27","KS"
64933,"Cash",86.08,"Kattie Parker","10-24-2021","Awesome Concrete Computer",true,"Male",4559086,4902651,9,"New Aric",285.84,31.76,"2745 Kutch Port",true,"RAM",618753,"Larkin-McClure","Outdoors & Baby","18:49:29","AK"
45415,"Visa",94.18,"Alivia Morissette","7-29-2021","Rustic Steel Chair",29.78,"Female",true,42.88,4,"Kuphalland",25.36,6.34,"462 Trystan Valleys",78.40,true,196123,"Wiegand-Tillman","Clothing","9:43:30","MA"
27195,"EWallet",true,"Ezekiel Gulgowski","9-24-2021","Small Wooden Hat",90.65,"Female",true,true,7,"Kreigerview",556.92,79.56,"49239 Iva Ford",false,"copy",662317,"Lakin, O'Connell and Monahan","Jewelery","23:47:4","WV"
77527,"Visa",39.17,"Darion D'Amore Jr.","9-28-2021","Small Concrete Shoes",false,"Male",62.60,true,4,"Devonteview",73.60,18.40,"2615 Alysa Junctions",true,11.59,499085,"Wiegand-Tillman","Sports","9:9:17","WY"
78363,"EWallet","navigating","Dorcas Lubowitz","5-5-2021","Fantastic Cotton Hat",96.63,"Male","hacking","quantify",3,"Collinsland",219.00,73.00,"41191 Zaria Course",6.28,7689609,974559,"Kuphal, Spencer and Blanda","Outdoors & Tools","19:38:52","VT"
13382,"Cash",21.24,"Katarina Frami","5-5-2021","Small Concrete Pants",6588648,"Male","pixel",9132713,10,"Dietrichmouth",626.70,62.67,"11986 Trycia Pass",5157784,2733781,821602,"Wiegand-Tillman","Clothing","11:29:9","CT"
49934,"Visa",85.83,"Grace Labadie","9-20-2021","Fantastic Plastic Hat",7299090,"Female","SCSI","hack",2,"Willmsshire",36.76,18.38,"184 O'Kon Shoal",true,4083194,449850,"Auer V","Grocery & Electronics","3:17:31","WI"
72972,"Cash",false,"Mitchel Rau","10-4-2021","Ergonomic Wooden Car",60.91,"Female",1353378,"cross-platform",6,"Lubowitzmouth",46.32,7.72,"152 Smitham Pike",5343519,42.23,347280,"Parisian, Wolff and Gorczany","Grocery, Outdoors & Beauty","10:55:48","OH"
46380,"AMEX",74.73,"Jaiden Hartmann","9-11-2021","Sleek Plastic Chair","connect","Male",4269517,true,5,"West Wadeberg",80.20,16.04,"6378 O'Connell Spur",20.66,true,727375,"Wiegand-Tillman","Music","9:48:34","MD"
87862,"EWallet",33.28,"Frieda Kutch","12-26-2020","Awesome Cotton Shirt",5.75,"Female",28.83,"interface",1,"Port Leann",31.08,31.08,"15759 Halvorson Cliffs",24.33,false,669562,"Kshlerin DDS","Movies & Computers","6:15:5","NV"
64558,"Visa",true,"Beryl Zemlak","10-7-2021","Gorgeous Granite Car",false,"Female",true,9165791,1,"Koelpinfurt",46.12,46.12,"364 Beier Manor",6993863,"ADP",854944,"Kshlerin DDS","Garden","13:20:2","MA"
84130,"Cash","navigating","Zoie Purdy","7-18-2021","Ergonomic Granite Shirt",false,"Female",91.02,130708,2,"East Ahmad",103.64,51.82,"387 Ankunding Way",8337258,984401,997790,"Considine PhD","Movies, Baby & Health","2:39:24","TN"
37649,"MasterCard",1277504,"Garrick Mertz","10-22-2021","Ergonomic Wooden Shirt",3762086,"Female","feed",true,4,"Emmerichberg",336.40,84.10,"7413 Gabriel Cove","redundant",97.98,451137,"Auer V","Movies, Kids & Tools","19:26:19","WV"
86112,"MasterCard",8584783,"Ken Armstrong IV","4-15-2021","Practical Steel Table",70.82,"Female",false,"SCSI",8,"West Garett",587.76,73.47,"758 Blick Extension","haptic","JSON",327756,"McClure, Block and Franecki","Industrial & Electronics","19:13:31","MN"
93417,"Cash","synthesizing","Ada Kuvalis PhD","8-3-2021","Fantastic Plastic Computer",55.54,"Male",18.12,6760162,5,"Williamsonfurt",6.90,1.38,"22269 Tyrique Rest",2593535,false,274341,"Parisian, Wolff and Gorczany","Computers & Outdoors","15:34:6","DE"
19635,"MasterCard",90.56,"Dr. Jaquan Wyman","3-11-2021","Fantastic Wooden Shirt",false,"Male",76.73,39.21,3,"East Jazminfurt",22.74,7.58,"377 Pfannerstill Inlet",true,25.43,255384,"Considine PhD","Automotive","12:42:12","MI"
63667,"AMEX",75.30,"Anthony Hegmann","10-6-2021","Gorgeous Wooden Table",11.06,"Male",false,"card",6,"Johnsonville",51.24,8.54,"18376 Jadon Well",true,false,227415,"Kuphal, Spencer and Blanda","Toys & Games","12:18:22","MD"
22780,"MasterCard","backing up","Miss Ulises Waters","7-20-2021","Sleek Wooden Chair",95.89,"Female",true,8018583,1,"North Gregfurt",46.22,46.22,"6515 Nestor Ways",true,8600010,529012,"Larkin-McClure","Electronics","9:4:42","NJ"
77913,"AMEX",3301542,"Mattie MacGyver","5-15-2021","Ergonomic Plastic Shoes","reboot","Female",false,"backing up",9,"Axelburgh",11.34,1.26,"453 Louie Track",true,"hack",863815,"McClure, Block and Franecki","Baby","14:2:31","MS"
76093,"AMEX",4991448,"Art Fahey","9-24-2021","Gorgeous Plastic Shirt","synthesize","Male",3573645,2071846,9,"Stevieland",104.67,11.63,"2048 Reinger Walk","wireless",6345921,973845,"Larkin-McClure","Toys","1:33:23","OK"
96172,"EWallet",6293906,"Sabina Dickinson V","5-6-2021","Small Wooden Pants",829658,"Male","auxiliary","programming",5,"East Elliottview",355.15,71.03,"864 Janice Gardens",true,"application",663352,"Parisian, Wolff and Gorczany","Health & Toys","12:14:43","MT"
84181,"AMEX",false,"Eliza Predovic","3-9-2021","Sleek Plastic Pants",8438987,"Male","overriding",3.07,9,"Lake Eulalia",548.28,60.92,"1762 Hosea Rest",true,"card",356695,"Kuphal, Spencer and Blanda","Outdoors","18:27:13","CO"
57865,"Cash",3959372,"Aidan Huel","10-1-2021","Practical Steel Car",true,"Male",8.22,70.82,8,"Marielleland",666.56,83.32,"811 White Pass",true,93.29,378609,"Wiegand-Tillman","Computers","1:12:52","ID"
39160,"MasterCard",false,"Cora Morissette","10-23-2021","Incredible Plastic Table",true,"Male",true,"interface",10,"East Lisandroshire",276.10,27.61,"36808 Afton Crossroad","1080p","copying",319565,"Lakin, O'Connell and Monahan","Baby & Tools","12:18:39","HI"
79350,"MasterCard",false,"Ms. Dortha Walter","9-30-2021","Gorgeous Cotton Chair",26.82,"Male",true,52.89,9,"Emmetthaven",194.04,21.56,"105 Marielle Alley",true,6312234,967533,"Armstrong, Strosin and Altenwerth","Toys","2:3:24","VA"
44441,"AMEX",61.19,"Adell Dach III","9-20-2021","Incredible Rubber Computer","copy","Female",1647332,true,2,"Lake Hiltonberg",28.46,14.23,"96039 Ward Lodge",7466153,"online",583598,"Kuphal, Spencer and Blanda","Baby","2:27:15","AR"
24883,"MasterCard",895595,"Franco Wuckert","4-17-2021","Intelligent Concrete Hat","COM","Female",true,"RSS",5,"New Burleyland",22.35,4.47,"6089 Ferne Knoll","XSS",3015829,235040,"Considine PhD","Health & Clothing","16:24:37","SC"
37107,"AMEX","cross-platform","Veronica Ebert","8-31-2021","Awesome Wooden Hat","GB","Male",true,"mobile",7,"Elvieland",699.86,99.98,"818 Bosco Plain",true,true,958349,"Lakin, O'Connell and Monahan","Automotive & Electronics","4:31:22","NM"
30163,"Visa",2407848,"Tamara Murphy","12-21-2020","Ergonomic Steel Gloves",true,"Male",48.44,true,6,"New Julianneburgh",187.38,31.23,"214 Dedrick Glen",34.18,"redundant",607399,"Auer V","Beauty","0:38:47","WV"
19539,"Cash","RSS","Aniyah Graham","7-1-2021","Sleek Steel Gloves",82.78,"Female",33.19,96.38,7,"Collinsport",517.58,73.94,"7157 Lavern Corners",true,82.68,291861,"Parisian, Wolff and Gorczany","Electronics","23:7:57","MS"
43187,"AMEX",34.78,"Tatyana Johnson","10-19-2021","Fantastic Wooden Car",67.61,"Male",false,false,5,"Cadeborough",134.85,26.97,"6475 Queen Lodge",false,6.05,582678,"Wiegand-Tillman","Beauty & Clothing","17:8:35","IN"
19579,"MasterCard",false,"Luz Wehner","10-22-2021","Practical Steel Shirt","multi-byte","Female",true,false,7,"North Tyraland",458.78,65.54,"2792 Morar Corners",6866067,"pixel",638628,"Armstrong, Strosin and Altenwerth","Games","15:38:50","WI"
61203,"EWallet",40.65,"Manuel Hammes","10-11-2021","Gorgeous Wooden Table",4715198,"Female",6602833,"auxiliary",9,"West Alexandrinetown",685.62,76.18,"62561 Rolfson Roads",52.96,15.82,150560,"Armstrong, Strosin and Altenwerth","Kids & Outdoors","20:48:12","MD"
59146,"MasterCard","connect","Dagmar Zemlak","6-17-2021","Awesome Rubber Table",1923157,"Female","microchip",7235226,2,"New Eda",198.98,99.49,"3389 Jordy Ways",false,"connecting",972456,"McClure, Block and Franecki","Beauty","2:21:12","CO"
88898,"EWallet",908930,"Miss Erika Macejkovic","9-29-2021","Ergonomic Rubber Table","connect","Female",1121362,71.73,4,"West Camdenfort",260.56,65.14,"417 Pfannerstill Parkways",68.41,4688207,263622,"Kshlerin DDS","Automotive, Health & Kids","16:40:16","DE"
39468,"EWallet","interface","Forrest Zboncak","5-11-2021","Ergonomic Concrete Table",true,"Male",7197048,false,5,"Anselborough",145.40,29.08,"325 Waters Alley",true,false,844571,"Considine PhD","Home","10:8:19","VA"
94319,"Cash",3048640,"Eino Bayer","8-31-2021","Awesome Concrete Computer",true,"Female",false,true,9,"Orrinchester",765.63,85.07,"3160 Nat Stream",false,2256712,749420,"Armstrong, Strosin and Altenwerth","Health, Tools & Clothing","21:28:52","VA"
86429,"AMEX",57.03,"Pierce D'Amore","8-28-2021","Intelligent Plastic Shoes",92.56,"Female",false,true,1,"New Della",28.67,28.67,"352 Katelin Fall","PNG",0.89,397640,"Wiegand-Tillman","Automotive","7:39:49","SC"
52253,"Visa",true,"Mrs. Golda Schamberger","7-11-2021","Small Plastic Car",2828872,"Male","transmitting",63.92,2,"South Efrainview",122.46,61.23,"139 Feeney Prairie",99.09,false,438633,"Auer V","Clothing, Shoes & Computers","12:4:38","MI"
96080,"AMEX",true,"Granville Streich","1-8-2021","Small Steel Shoes","synthesizing","Male",7960614,2738509,9,"Feiltown",482.67,53.63,"984 Mario Hollow",false,"firewall",347740,"Armstrong, Strosin and Altenwerth","Books","3:10:11","SC"
68887,"EWallet",false,"Madeline Nicolas","8-19-2021","Small Steel Gloves","back-end","Female",8397861,"quantifying",3,"Lloydton",150.60,50.20,"474 Zander Ford","solid state","backing up",138745,"Kuphal, Spencer and Blanda","Computers & Baby","16:5:24","VT"
93215,"AMEX","capacitor","Adelia D'Amore","9-21-2021","Sleek Wooden Car",false,"Female","feed",3427481,5,"South Tamarabury",427.85,85.57,"930 Hane Skyway",6686006,false,754591,"Kuphal, Spencer and Blanda","Toys & Industrial","20:48:51","IA"
61711,"Visa",1533857,"Dr. Valentina Braun","8-13-2021","Practical Rubber Shoes",91.76,"Male",true,false,10,"East Guido",511.00,51.10,"3871 Harris Bridge",64.55,false,525495,"Lakin, O'Connell and Monahan","Home & Jewelery","16:11:10","LA"
77822,"Cash","SMS","Dr. Mariam Kreiger","6-24-2021","Sleek Cotton Gloves",75.94,"Female",false,99.33,1,"Lake Erick",74.60,74.60,"491 Rowe Tunnel",22.38,false,259741,"Wiegand-Tillman","Beauty","15:53:36","IN"
82350,"EWallet",true,"Olin McKenzie","5-6-2021","Sleek Wooden Gloves",false,"Female",23.67,true,5,"West Khalidside",27.75,5.55,"16722 Pagac Spur",true,70.50,479665,"Considine PhD","Baby, Outdoors & Music","4:16:34","TN"
61115,"Visa",false,"Ethyl Murray","2-23-2021","Sleek Steel Shoes",58.04,"Male",true,68.89,9,"Boehmstad",667.89,74.21,"6035 Metz Club",8837016,"back-end",569918,"Kshlerin DDS","Garden","5:56:4","IN"
91846,"EWallet","back up","Palma Olson","9-5-2021","Rustic Steel Pants",true,"Male",3335989,"online",5,"West Salma",436.45,87.29,"312 Enos Falls",false,"USB",983701,"Lakin, O'Connell and Monahan","Toys & Tools","21:12:10","AZ"
30888,"AMEX",false,"Furman Gleichner PhD","10-4-2021","Intelligent Granite Gloves","synthesizing","Female",true,"cross-platform",2,"Nienowfort",188.56,94.28,"695 Clark Viaduct","multi-byte",673870,151787,"Kshlerin DDS","Music & Baby","15:43:48","CA"
50683,"Cash",false,"Mrs. Guy Dach","8-10-2021","Intelligent Plastic Pants","multi-byte","Female",6719461,"reboot",3,"Lake Rustybury",181.56,60.52,"57335 Howe Gateway",980797,93181,819320,"McClure, Block and Franecki","Grocery & Music","5:49:37","NH"
70130,"MasterCard",2057624,"Mr. Hadley Labadie","6-23-2021","Sleek Rubber Shoes","RAM","Male",3134621,6370314,3,"Turcotteburgh",235.47,78.49,"747 Hettinger Points",99.53,false,943035,"Considine PhD","Beauty, Music & Home","2:56:4","NM"
25410,"AMEX",false,"Esperanza Price","7-24-2021","Sleek Concrete Shirt",47.34,"Male",true,false,5,"New Ethelyn",441.90,88.38,"351 Salvador Street",8999458,2094969,572383,"Wiegand-Tillman","Baby, Electronics & Music","19:35:7","OR"
61599,"AMEX",97.04,"Ms. Olin Braun","9-15-2021","Rustic Cotton Chair",false,"Female",95.90,45.67,1,"Lemkefort",50.37,50.37,"2073 Leonora Ford",157697,44.62,105012,"McClure, Block and Franecki","Electronics","21:53:15","IN"
98027,"AMEX",94.28,"Dr. Manley Koelpin","7-27-2021","Sleek Cotton Gloves",44.70,"Female",false,3.36,5,"West Lizaburgh",107.25,21.45,"5528 Carroll Squares",false,false,733848,"Considine PhD","Grocery & Tools","10:10:48","FL"
98507,"MasterCard",88.57,"Kyleigh Erdman","8-18-2021","Fantastic Plastic Hat",true,"Female","back up",2939328,7,"Avafort",515.76,73.68,"851 Cathryn Hollow","COM","mobile",397463,"Wiegand-Tillman","Sports","18:27:20","OR"
83122,"EWallet",19.61,"Benedict Bode","10-2-2021","Ergonomic Concrete Computer","compress","Male",2996047,"neural",6,"West Kaitlin",509.40,84.90,"813 Wyman Ramp","bandwidth",true,195759,"Lakin, O'Connell and Monahan","Home","19:34:37","MS"
19226,"EWallet",67.14,"Miss Layne Wolff","10-23-2021","Practical Concrete Hat","IB","Male",4738217,"CSS",7,"Lake Aylin",215.53,30.79,"76470 Rebeka Fords",9.62,6765088,445435,"Larkin-McClure","Games & Garden","4:18:14","UT"
94706,"Visa",9271168,"Bernita Wintheiser","4-15-2021","Ergonomic Rubber Shoes","navigating","Male",11.41,73.76,3,"East Fausto",105.36,35.12,"6218 Anabelle Highway",94.47,"bypass",830870,"Kshlerin DDS","Automotive & Home","6:57:36","NH"
12548,"Cash",8652110,"Sydney Kerluke","9-23-2021","Incredible Steel Pants",32.90,"Female",true,"alarm",1,"Veumton",85.75,85.75,"22133 Nader Motorway",541622,false,312694,"Considine PhD","Garden","10:51:7","TN"
74523,"Visa",true,"Everett King","12-19-2020","Intelligent Plastic Car",false,"Female","overriding",1864432,4,"Ephraimton",86.88,21.72,"3127 Mayer Groves",76.50,66.63,650766,"Armstrong, Strosin and Altenwerth","Outdoors","3:57:22","MN"
78501,"AMEX",5926059,"Otho Schmitt","4-30-2021","Fantastic Granite Shirt",true,"Female","navigate","circuit",7,"Lake Bradford",197.75,28.25,"9518 Jamaal Key",false,97.29,873446,"Kshlerin DDS","Garden, Computers & Jewelery","14:46:32","TN"
50684,"EWallet","SMTP","Flossie Swaniawski","11-11-2020","Small Cotton Computer",45.79,"Female",4820895,false,10,"West Desmondborough",384.60,38.46,"731 Kay Shoals",2907841,"copying",625424,"Considine PhD","Industrial","9:31:30","VT"
26807,"AMEX",2853494,"Demarcus Monahan","7-7-2021","Awesome Cotton Hat","compress","Female",1887393,7955514,3,"New Claire",201.90,67.30,"6043 Koch Harbor","COM",2169421,406142,"Kshlerin DDS","Home, Clothing & Baby","17:28:51","IA"
57906,"AMEX","wireless","Raven Thompson","9-15-2021","Small Granite Chair",2614704,"Female","solid state",8222897,6,"West Susanamouth",30.54,5.09,"330 Paige Corners",6393418,"ADP",243005,"Kuphal, Spencer and Blanda","Automotive, Grocery & Beauty","17:28:16","OH"
18373,"Visa",true,"Maritza Mann","8-11-2021","Practical Concrete Chair","calculating","Female",6806472,2106095,2,"East Jerod",184.88,92.44,"96555 Olson Shoals",96.36,"JBOD",743312,"Wiegand-Tillman","Electronics & Games","2:25:13","KS"
98443,"EWallet",false,"Dr. Isabel Steuber","10-15-2021","Small Cotton Hat",31.67,"Female",true,57.67,6,"Maximemouth",370.32,61.72,"3407 Earl Track",false,2649968,910912,"Parisian, Wolff and Gorczany","Garden, Home & Tools","10:59:10","SC"
32212,"AMEX",true,"Rae Vandervort","10-16-2021","Incredible Concrete Table",false,"Male",5.77,68.83,10,"West Briannemouth",107.80,10.78,"282 Olson Walk",false,55.25,101837,"McClure, Block and Franecki","Jewelery & Sports","6:3:10","WY"
48509,"Cash",4.13,"Alvena Heidenreich","11-30-2020","Incredible Granite Car",13.67,"Female",3.06,true,1,"Peytonbury",22.46,22.46,"46719 Hammes Shoal",89.24,false,799903,"Considine PhD","Outdoors, Automotive & Home","3:17:14","MN"
79470,"EWallet","SSL","Rosa Walter III","9-20-2021","Incredible Concrete Table",35.15,"Female",8801055,true,6,"East Maverick",427.26,71.21,"9041 Kirlin Dam",5070766,90.17,792859,"Auer V","Jewelery & Kids","15:34:35","WY"
34243,"MasterCard","array","Thelma Daugherty","10-2-2021","Practical Granite Table",false,"Female",6866254,"transmit",7,"Gleasonhaven",141.40,20.20,"7683 King Track","PNG","backing up",400387,"Kuphal, Spencer and Blanda","Music & Electronics","23:50:40","FL"
85639,"Visa",2958384,"Michel Towne","8-23-2021","Intelligent Plastic Car",9070121,"Female","input",false,7,"North Carliburgh",197.12,28.16,"90900 Feil Union",true,"microchip",787324,"Kuphal, Spencer and Blanda","Health","8:15:3","IA"
36322,"Visa",3358494,"Meaghan Mohr","10-19-2021","Intelligent Cotton Gloves","back-end","Male","application",false,6,"Reaganland",427.32,71.22,"420 Haylie Flat",64.30,27.43,675527,"Lakin, O'Connell and Monahan","Books","13:43:2","WA"
17918,"Visa","quantifying","Lelia Koelpin","9-19-2021","Ergonomic Steel Shoes",5234325,"Male","feed",26.09,6,"West Charlenebury",205.14,34.19,"919 Johnston Gardens",61.50,true,607539,"Lakin, O'Connell and Monahan","Beauty & Electronics","8:42:24","WV"
66913,"Visa",97.55,"Leif Rohan","6-7-2021","Practical Plastic Pants",true,"Female",4557997,true,7,"New Alexis",237.51,33.93,"741 Luna Brooks",true,6.43,791940,"Larkin-McClure","Electronics, Jewelery & Movies","0:21:47","NH"
13665,"Cash",55.58,"Hillard Gislason","7-13-2021","Practical Rubber Gloves",false,"Female","card",6080319,4,"South Macy",72.92,18.23,"346 Eldridge Heights",1.12,"bypass",204126,"Lakin, O'Connell and Monahan","Grocery","1:58:29","NC"
79288,"Visa",8080952,"Izaiah Heathcote","5-4-2021","Awesome Concrete Hat",8581368,"Male",2154081,7997953,1,"Josefurt",4.40,4.40,"700 Labadie Ways",false,76.00,605227,"Considine PhD","Sports & Games","14:28:26","FL"
