City,system,hard drive,port,InvoiceId,system,State,Time,CustomerName,Date,ProductPrice,Address,alarm,Department,card,Store,Gender,Total,PostalCode,bandwidth,Quantity,Product,PaymentType
"Port Gusttown",true,80.44,7796811,814793,false,"NM","21:44:2","Arvilla Bogisich","5-24-2021",64.07,"2776 Rhiannon Views",29.99,"Beauty, Baby & Books",false,"Kuphal, Spencer and Blanda","Male",320.35,88734,88.55,5,"Ergonomic Steel Table","EWallet"
"Danamouth","SSL",28.15,false,959467,"protocol","WY","2:27:29","Salvador Bernhard","10-12-2021",59.25,"3800 Ena Lock",true,"Tools & Automotive",true,"Kuphal, Spencer and Blanda","Female",592.50,84084,72.42,10,"Ergonomic Steel Hat","EWallet"
"Barrowsview",12.60,true,38.21,914699,98.64,"MA","9:17:33","Dr. Eula Hackett","8-28-2021",80.68,"5451 Lorine Plain",true,"Shoes & Books","bypass","Considine PhD","Female",403.40,50547,"hard drive",5,"Incredible Granite Hat","EWallet"
"Rueckermouth",5566000,false,4736944,991682,7811757,"NM","19:52:50","Tyler Klein","7-27-2021",2.72,"931 Collier Corner",42.04,"Automotive, Movies & Tools","PNG","McClure, Block and Franecki","Male",19.04,51458,2.20,7,"Rustic Steel Hat","Cash"
"Franeckiside","synthesizing",1582143,false,468534,"solid state","NE","15:51:3","Leatha Herzog I","10-22-2021",3.25,"3751 Georgette Isle",63.20,"Electronics, Jewelery & Industrial","system","Larkin-McClure","Female",19.50,57622,22.80,6,"Gorgeous Granite Table","MasterCard"
"South Brando",4048813,"FTP","hack",319314,3026370,"FL","18:7:1","Friedrich Metz MD","10-2-2021",52.65,"856 Maggio Tunnel",9432021,"Clothing, Industrial & Automotive",false,"Lakin, O'Connell and Monahan","Female",526.50,22770,11.26,10,"Rustic Cotton Computer","MasterCard"
"Keelystad","generating",true,"indexing",922668,"back-end","UT","12:5:14","Thora Thompson","8-17-2021",33.20,"3264 Destinee Drives","calculating","Sports & Toys",5692995,"Larkin-McClure","Female",166.00,56652,false,5,"Sleek Plastic Pants","MasterCard"
"Cheyenneville",4.37,66.94,17.58,354076,80.45,"MO","20:49:16","Hank Cassin II","7-14-2021",67.45,"10515 Howe Trail",true,"Garden",36.72,"Lakin, O'Connell and Monahan","Female",404.70,96849,true,6,"Gorgeous Steel Shirt","MasterCard"
"Port Antonia",51.69,true,1787196,118300,63.91,"CO","14:30:42","Camylle Kertzmann","3-4-2021",76.12,"4840 Lebsack Street",60.79,"Sports, Tools & Industrial",24.12,"Parisian, Wolff and Gorczany","Male",685.08,66036,"back-end",9,"Ergonomic Rubber Hat","Visa"
"Gaylordport",8336777,62.53,6502504,398005,584505,"RI","13:53:36","Allan Lakin","9-19-2021",60.45,"2236 Layla Forks","PCI","Shoes",true,"Considine PhD","Female",483.60,81915,"programming",8,"Rustic Concrete Gloves","Visa"
"Kameronport",20.40,427326,1783223,312473,93.71,"ID","5:37:48","Mara Jenkins","10-21-2021",41.02,"157 Hilll Skyway","navigate","Music, Automotive & Movies",5450483,"Parisian, Wolff and Gorczany","Male",369.18,43144,false,9,"Small Rubber Chair","Cash"
"Champlinmouth",true,true,3288957,258278,true,"OH","10:34:49","Willy Bashirian","6-30-2021",63.89,"5321 Thad Summit",4193259,"Kids & Toys",3031268,"Kuphal, Spencer and Blanda","Male",127.78,24749,8623713,2,"Sleek Cotton Shoes","AMEX"
"West Kelsi","transmitter",75.22,25.28,866888,"calculating","MA","11:57:52","Jasper Mayert","10-21-2021",64.56,"21926 Anabelle Ridges",true,"Electronics",47.75,"Kshlerin DDS","Male",193.68,19965,6299653,3,"Intelligent Plastic Pants","EWallet"
"Smithshire","generate",false,true,786759,"JBOD","ME","21:32:46","Jewell Adams","4-18-2021",3.91,"910 Gerson Flat","index","Outdoors & Electronics",4980007,"Wiegand-Tillman","Female",3.91,90900,30.91,1,"Fantastic Wooden Shirt","AMEX"
"Twilafurt",true,70.87,7045270,753268,false,"MO","19:30:24","Mrs. Arianna Schamberger","8-19-2021",25.82,"9503 Hills Turnpike",5730285,"Movies & Electronics","digital","Armstrong, Strosin and Altenwerth","Male",232.38,62513,2.70,9,"Fantastic Cotton Chair","EWallet"
"East Salma",true,14.30,"override",283473,false,"WA","9:38:21","Maverick Barton","10-7-2021",5.73,"2549 Mozell Rest",false,"Kids",6940228,"McClure, Block and Franecki","Female",57.30,51709,2164461,10,"Fantastic Wooden Shirt","MasterCard"
"Hortensetown","backing up",5531840,"ADP",943106,"connect","AR","6:0:29","Marta Powlowski","5-28-2021",93.24,"81132 Matilde Crest",54.84,"Clothing, Computers & Beauty",4851471,"Kshlerin DDS","Female",932.40,69792,7702776,10,"Rustic Plastic Gloves","MasterCard"
"East Easton","panel",7435587,42.56,242686,"auxiliary","KS","2:49:26","Rodger Crooks MD","5-15-2021",24.53,"528 Barton Centers",false,"Computers & Home",true,"Kuphal, Spencer and Blanda","Female",24.53,10594,"bluetooth",1,"Small Rubber Shoes","EWallet"
"Denesikland",true,"synthesizing",false,976546,false,"CT","12:39:11","Nettie Wehner","10-1-2021",96.11,"756 Greenholt Square",false,"Clothing",false,"Parisian, Wolff and Gorczany","Male",768.88,32730,false,8,"Small Granite Pants","AMEX"
"North Herminiastad",68.30,4444620,81.90,570127,44.17,"ID","20:7:0","Katelin Toy V","3-21-2021",72.27,"21495 Okuneva Station",true,"Electronics",27.44,"Armstrong, Strosin and Altenwerth","Female",505.89,47003,63.78,7,"Fantastic Wooden Table","AMEX"
"Jeffereyfurt",false,false,true,940269,true,"SC","22:26:15","Keagan Schuster","8-1-2021",54.57,"10321 Treutel Stream",false,"Clothing",false,"Wiegand-Tillman","Male",272.85,64199,false,5,"Practical Wooden Shoes","Visa"
"Lake Freidaton","quantify",13.79,2196550,998288,"override","CT","18:31:2","Brain Wunsch","8-27-2021",82.03,"451 Cole Crest",72.28,"Industrial & Automotive",6819932,"McClure, Block and Franecki","Male",574.21,23783,"HTTP",7,"Gorgeous Cotton Chair","Visa"
"Karleyland",true,4745475,"hack",925273,true,"WY","11:0:31","Lonny Altenwerth","9-9-2021",40.41,"61162 Sauer Ways",6835572,"Sports & Clothing",139953,"Wiegand-Tillman","Male",282.87,80749,"solid state",7,"Sleek Wooden Gloves","Cash"
"Juliashire",false,8778831,"program",492426,true,"CO","11:26:22","Evans Wyman Sr.","7-8-2021",21.11,"527 Kelly Via",9184904,"Electronics & Movies",64.37,"Larkin-McClure","Male",168.88,59976,"port",8,"Awesome Plastic Shirt","Cash"
"Alfonzomouth",12.75,true,"auxiliary",168871,59.08,"LA","3:47:56","Adrienne Ebert","5-10-2021",35.59,"939 Friesen Union",55.95,"Books, Sports & Toys",18.29,"Auer V","Female",142.36,40229,6396311,4,"Practical Cotton Chair","MasterCard"
"Jamilfurt",93.98,54.35,16.95,896766,79.70,"VA","22:28:56","Dion Treutel","6-30-2021",45.24,"4335 Herman Valley",true,"Home & Shoes",false,"Wiegand-Tillman","Male",407.16,58718,false,9,"Gorgeous Wooden Computer","AMEX"
"Shealand",true,75.18,true,977886,false,"MS","4:50:24","Eleanora Denesik","12-22-2020",54.67,"961 Joan Parkway","parsing","Shoes",true,"Considine PhD","Male",54.67,65106,"XSS",1,"Practical Wooden Pants","Cash"
"Jettshire",6953767,true,false,366835,5714089,"NH","12:7:27","Jaren Tillman","10-17-2021",58.92,"89878 Kraig Mountain",8379505,"Music & Sports","RAM","Kuphal, Spencer and Blanda","Male",530.28,95099,58.18,9,"Intelligent Plastic Car","MasterCard"
"Macejkovicshire","overriding",97.40,9419901,196227,"navigate","NC","2:21:25","Gavin Corkery","10-9-2021",70.06,"7758 Jenkins Lakes",true,"Movies",81.44,"Larkin-McClure","Female",490.42,75105,"multi-byte",7,"Ergonomic Rubber Table","AMEX"
"North Layne","reboot",44.50,"back-end",329014,"PNG","MO","14:20:30","Joshuah Champlin","9-15-2021",10.14,"163 Julien Wells","bandwidth","Automotive & Games",7310712,"Kuphal, Spencer and Blanda","Male",50.70,64802,"indexing",5,"Ergonomic Rubber Shirt","Visa"
"Effertzside",75.56,38.32,28.35,374778,87.78,"NH","10:35:4","Jazlyn Tromp","9-30-2021",69.94,"29752 Leon Station",false,"Baby & Beauty","monitor","Lakin, O'Connell and Monahan","Male",209.82,74725,"pixel",3,"Incredible Steel Table","Cash"
"Bergstromview",false,99.73,false,284488,false,"NV","16:19:43","Austen Bauch","4-13-2021",32.10,"38197 Heidenreich Valley",true,"Jewelery & Computers",false,"Lakin, O'Connell and Monahan","Male",160.50,13233,85.86,5,"Incredible Concrete Chair","EWallet"
"Morissetteville",true,6981584,false,230313,false,"HI","5:35:57","Francesco Schuppe","5-22-2021",76.26,"6633 Berneice Lake","quantifying","Outdoors",14.00,"Wiegand-Tillman","Male",152.52,81789,"capacitor",2,"Sleek Cotton Table","Cash"
"South Stevie",true,"auxiliary",true,898190,false,"ND","22:50:30","Loyal Cole","7-1-2021",52.32,"59688 Morissette Route",4284963,"Outdoors, Home & Shoes",8711293,"McClure, Block and Franecki","Female",104.64,39181,true,2,"Ergonomic Wooden Computer","Visa"
"Schmittville",46.55,true,false,147119,45.89,"CT","11:50:2","Leilani Kshlerin","8-16-2021",89.60,"51719 Denesik Cape",55.60,"Sports, Clothing & Electronics",8263330,"Auer V","Male",268.80,23187,41.82,3,"Incredible Plastic Table","Visa"
"Huldafort",false,80.27,"digital",793518,false,"FL","21:38:17","Deontae Rice","4-30-2021",53.40,"1510 Yasmine Park",true,"Books, Garden & Beauty",true,"Armstrong, Strosin and Altenwerth","Female",427.20,90463,62.23,8,"Sleek Concrete Pants","EWallet"
"Gottliebside",true,false,25.24,646263,false,"KY","7:35:8","Pasquale Weber","9-14-2021",52.83,"89309 McDermott Hollow",11.43,"Music, Industrial & Outdoors","copy","McClure, Block and Franecki","Male",211.32,57273,true,4,"Intelligent Granite Computer","Cash"
"Cummingshaven",59.22,true,72.02,650304,34.91,"NY","5:30:18","Olga Brakus","8-9-2021",87.20,"28720 Kuvalis Haven","optical","Computers & Toys",true,"Kuphal, Spencer and Blanda","Female",610.40,92017,"navigate",7,"Rustic Cotton Car","Visa"
"Terrytown",true,"microchip",3733869,293641,false,"WA","8:44:3","Clovis Dickinson","10-2-2021",57.94,"169 Kevon Plain","cross-platform","Games, Health & Jewelery",7347435,"Considine PhD","Male",173.82,19657,"application",3,"Sleek Steel Shoes","Cash"
"Yundtstad",3539285,"RSS",3455778,132093,2344458,"MS","13:36:45","Gabrielle Schmidt DDS","7-16-2021",43.06,"64795 Russel Mews",138354,"Sports, Garden & Clothing","backing up","Auer V","Female",301.42,57067,6032549,7,"Fantastic Plastic Table","AMEX"
"Valentineberg",2653046,7154012,88.36,571643,2046131,"SC","14:1:50","Ashtyn Hand","4-8-2021",47.43,"18182 Marie Falls",47.57,"Shoes, Electronics & Toys",3112981,"Armstrong, Strosin and Altenwerth","Male",474.30,22084,1783336,10,"Incredible Granite Car","MasterCard"
"Loraineville","HDD",2120976,"bypassing",128015,"RSS","CA","5:37:53","Lelah Lind PhD","8-15-2021",10.05,"291 Elizabeth Path",8804133,"Sports",54.53,"Considine PhD","Female",70.35,61303,51.56,7,"Ergonomic Wooden Hat","EWallet"
"Reannafurt",30.98,true,"digital",134781,77.00,"AZ","3:13:1","Daija Spinka","7-5-2021",62.71,"4635 Ana Mill",true,"Shoes & Jewelery",9.38,"Wiegand-Tillman","Male",62.71,71407,45.38,1,"Small Wooden Chair","Visa"
"Lake Lewis",true,21.63,true,643867,true,"VT","14:49:51","Roel Treutel","9-20-2021",49.13,"1151 Anastacio Ramp",true,"Music, Sports & Automotive",30.14,"Lakin, O'Connell and Monahan","Male",294.78,31114,"hard drive",6,"Intelligent Plastic Gloves","AMEX"
"Mckenzieview","firewall",8844672,60.68,250736,"auxiliary","NY","18:50:42","Julia Smith II","8-28-2021",46.67,"6318 Xzavier Parks",3.09,"Kids, Games & Baby",6621999,"Auer V","Female",186.68,12590,"back-end",4,"Small Concrete Table","AMEX"
"South Faustinoside","program","primary",343790,142275,"virtual","VT","0:40:15","Waino Howell","10-14-2021",17.68,"42586 Hudson Skyway",false,"Kids",false,"Lakin, O'Connell and Monahan","Female",35.36,77133,true,2,"Sleek Cotton Gloves","Cash"
"Curtchester","online","haptic",12.17,210646,"SSL","NJ","7:40:43","Tyshawn Goldner","10-3-2021",94.67,"26012 Donnelly Parkways","parse","Automotive, Grocery & Games",false,"Considine PhD","Female",757.36,45284,84.12,8,"Gorgeous Concrete Hat","Cash"
"Whiteborough",true,24.09,86.67,818468,false,"NM","3:48:48","Akeem Kutch","9-30-2021",32.10,"5844 Francisca View",true,"Baby & Industrial","override","Parisian, Wolff and Gorczany","Female",224.70,48914,7894123,7,"Sleek Concrete Chair","Cash"
"New Bridgette",81.59,44.44,7.76,334005,69.75,"NH","12:22:50","Elisa Hermann","9-22-2021",51.89,"33040 Parker Glens",true,"Books, Clothing & Grocery",55.96,"McClure, Block and Franecki","Male",103.78,13747,false,2,"Gorgeous Wooden Chair","MasterCard"
"Bartolettistad",92.04,true,4679830,309921,77.90,"KS","21:10:45","Darion Blanda IV","10-19-2021",29.28,"1165 Moen Turnpike",true,"Jewelery",63.67,"Parisian, Wolff and Gorczany","Female",204.96,67113,60.17,7,"Intelligent Plastic Car","EWallet"
"North Sebastian",39.36,"connecting",true,951143,85.70,"MN","14:14:19","Fermin Bartoletti","2-17-2021",78.03,"18571 Candida Shoals",5565471,"Outdoors","solid state","Armstrong, Strosin and Altenwerth","Female",312.12,11301,1255038,4,"Rustic Cotton Computer","EWallet"
"Barrowsburgh","multi-byte",3278070,459222,238955,"firewall","CO","18:16:17","Sincere Spencer","7-12-2021",84.99,"759 Quinn Plains",69.16,"Shoes & Jewelery","backing up","Kshlerin DDS","Female",594.93,35005,true,7,"Ergonomic Plastic Car","EWallet"
"Mallieborough",32.24,94.22,2257967,978942,19.82,"WV","7:13:58","Mohammad Russel","9-7-2021",91.67,"6424 Lonnie Wall",16.74,"Computers",9258307,"Armstrong, Strosin and Altenwerth","Female",275.01,96514,3.09,3,"Sleek Plastic Computer","AMEX"
"East Porterbury",false,true,"SAS",906528,true,"TX","0:51:23","Oswaldo Hartmann","9-25-2021",86.58,"30360 Cormier Streets",91.27,"Baby",true,"Parisian, Wolff and Gorczany","Male",86.58,63328,7377647,1,"Fantastic Cotton Car","AMEX"
"West Sheahaven","digital",96.21,true,455582,"sensor","IA","8:43:48","Kallie Grady","10-18-2021",59.87,"92390 Kilback Springs","override","Movies","indexing","Considine PhD","Female",239.48,16906,2161341,4,"Awesome Cotton Shirt","AMEX"
"East Nico",false,"transmitter",358791,706645,false,"KY","23:29:25","Ryder Gutkowski","7-9-2021",59.58,"7486 Percy Lodge","panel","Music","overriding","Considine PhD","Male",476.64,44150,25.72,8,"Practical Granite Gloves","Cash"
"Leopoldoville",8737008,"synthesizing",false,423104,3401318,"GA","22:46:8","Raymond Schmitt","10-6-2021",25.76,"1568 Harris Crossroad","programming","Baby, Books & Outdoors",true,"Larkin-McClure","Female",51.52,21114,"bandwidth",2,"Ergonomic Concrete Shirt","Cash"
"Durganville",true,"feed",true,620932,false,"MD","11:43:24","Cedrick Carter","8-30-2021",69.30,"6794 Gerlach Lights",5012368,"Music","backing up","Considine PhD","Male",138.60,71694,true,2,"Small Granite Hat","AMEX"
"South Tyra","quantifying",6291213,"pixel",156318,"SAS","AR","0:58:51","Lonzo Schmeler V","8-10-2021",11.32,"84973 Nyasia Field","transmitting","Clothing",2853391,"Kshlerin DDS","Female",113.20,75941,true,10,"Fantastic Cotton Shoes","AMEX"
"East Kris",98.20,true,true,556680,13.37,"NH","13:18:57","Lavinia Zemlak","10-25-2021",14.57,"980 Frami Via",4455377,"Industrial & Books","panel","Armstrong, Strosin and Altenwerth","Female",72.85,64758,22.53,5,"Fantastic Granite Car","EWallet"
"West Terrellstad",true,true,false,364608,true,"PA","8:4:59","Dr. Laila Miller","9-19-2021",1.04,"60385 Bonita Parkway",false,"Books & Computers",true,"Considine PhD","Male",5.20,97907,3725512,5,"Fantastic Plastic Shoes","Cash"
"Luciuston",85.81,false,5251117,375804,58.84,"NE","12:10:52","Sunny Olson","10-13-2021",53.31,"6518 Anderson Vista",67.81,"Jewelery & Automotive",18.93,"Auer V","Female",479.79,12165,false,9,"Rustic Steel Hat","MasterCard"
"North Maxwell",33.99,"CSS","input",767985,6.72,"IL","2:18:0","Monroe Hartmann","8-10-2021",1.34,"97935 Mitchell Field",42.33,"Automotive",5763228,"Lakin, O'Connell and Monahan","Male",13.40,86788,"transmit",10,"Fantastic Rubber Pants","MasterCard"
"Schummland",3738383,"TCP",4.01,191917,855212,"VT","22:26:45","Mr. Vito Kunze","4-11-2021",8.44,"936 Durgan Trace",1291652,"Kids, Books & Jewelery",5446637,"Wiegand-Tillman","Female",67.52,33666,6744623,8,"Gorgeous Steel Table","AMEX"
"Jarenmouth","back up",9349681,947744,828611,"wireless","WV","2:31:31","Dewitt Schmeler","8-27-2021",84.96,"37963 Medhurst Street","transmitting","Music",1788633,"Kuphal, Spencer and Blanda","Male",339.84,67086,"quantify",4,"Practical Granite Car","Cash"
"Venamouth",0.23,1526336,26.21,170726,88.98,"ID","5:5:57","Brennan Jerde","10-24-2021",19.30,"44301 Aliyah Valley",85.82,"Health",9152851,"McClure, Block and Franecki","Male",57.90,73869,4378498,3,"Sleek Wooden Pants","MasterCard"
"Lake Gerhard",83.67,7.52,false,635126,57.21,"CT","2:0:48","Darlene Watsica","9-15-2021",30.15,"57427 Gleason Stream",true,"Kids & Sports",true,"Auer V","Female",180.90,76788,true,6,"Small Granite Computer","MasterCard"
"North Amber","SAS",8693797,true,414371,"monitor","OR","23:9:38","Desmond Ziemann","9-26-2021",11.17,"5461 Cora View",true,"Home, Computers & Beauty",63.54,"Kshlerin DDS","Female",11.17,58285,true,1,"Practical Granite Pants","MasterCard"
"Luettgenfort",52.37,12.12,"digital",609521,25.72,"AK","19:17:3","Jacey Eichmann","9-13-2021",31.87,"92952 Moen Run",9109669,"Computers","SSL","Kshlerin DDS","Male",223.09,87497,5539023,7,"Practical Wooden Car","EWallet"
"Sedrickside","RAM",9404870,3343627,899714,"compress","ND","3:25:38","Hulda Boehm","1-21-2021",95.89,"123 Kemmer Hills",true,"Games",1074929,"Armstrong, Strosin and Altenwerth","Female",671.23,11801,6657611,7,"Rustic Steel Hat","AMEX"
"Beerport","back-end",true,true,813880,"IB","MD","15:41:45","Mr. German Walker","8-31-2021",45.69,"12187 Naomi Dale",true,"Tools, Home & Kids","navigating","Wiegand-Tillman","Female",45.69,81448,7429875,1,"Gorgeous Cotton Gloves","EWallet"
"Princesston",8.32,"TCP",9387781,897939,20.55,"FL","5:24:9","Michale Keeling","7-27-2021",29.84,"347 Weissnat Valleys",17.60,"Outdoors",4355223,"Auer V","Female",238.72,39503,false,8,"Fantastic Steel Hat","AMEX"
"Pedrofurt",83.19,true,5.31,142171,41.69,"NE","4:0:31","Mrs. Emma Von","9-23-2021",53.07,"31426 Kutch Mission",true,"Movies, Home & Shoes",28.07,"Parisian, Wolff and Gorczany","Female",477.63,91421,51.71,9,"Incredible Granite Computer","MasterCard"
"Trudieville",8793411,3923769,true,146357,403180,"WI","18:21:47","Mrs. Cayla Ritchie","6-24-2021",29.29,"829 Rashad Summit",2293531,"Beauty, Grocery & Outdoors","hard drive","Parisian, Wolff and Gorczany","Male",175.74,32975,98.63,6,"Incredible Cotton Gloves","Cash"
"North Casper",true,true,6516690,709550,true,"MT","21:47:16","Kenyatta Bednar","10-3-2021",99.61,"42964 Liliane Junction","override","Computers",9178496,"McClure, Block and Franecki","Male",697.27,42146,"port",7,"Gorgeous Steel Shirt","EWallet"
"Lake Lauryn",true,2584626,222579,586127,true,"NE","22:28:13","Lauretta Lynch","8-26-2021",85.49,"181 Cummings Route","microchip","Garden","SDD","Kshlerin DDS","Male",256.47,11893,false,3,"Small Steel Shoes","EWallet"
"Lake Jaden","auxiliary","application","SQL",507097,"feed","AK","14:16:9","Damian Kuhn","8-14-2021",74.86,"12541 Dorothea Lodge","navigate","Baby, Electronics & Industrial","JSON","Auer V","Male",748.60,28247,false,10,"Incredible Steel Gloves","EWallet"
"Lake Melisa","redundant",3688920,false,799944,"calculating","AR","6:23:23","Ally Murphy","9-9-2021",0.93,"91693 Erdman Lake",10.33,"Music, Shoes & Home",1851380,"Parisian, Wolff and Gorczany","Female",3.72,23694,6496161,4,"Intelligent Steel Car","Visa"
"South Troy","navigate",7125890,false,632761,"copying","NV","15:22:58","Myles Ryan","7-15-2021",11.21,"5865 Emily Coves",8192124,"Shoes",93.41,"Kuphal, Spencer and Blanda","Female",11.21,20496,26.63,1,"Rustic Rubber Car","EWallet"
"Loweland",true,55.62,18.55,590489,false,"NC","19:41:30","Mrs. Sunny Wilkinson","7-7-2021",13.18,"271 Emilia Mill",true,"Home, Grocery & Toys",64.81,"Kshlerin DDS","Female",26.36,91622,true,2,"Ergonomic Rubber Chair","EWallet"
"Satterfieldchester",80.76,43.02,2.44,172253,53.11,"NY","16:40:51","Kathryne Mante","9-29-2021",34.82,"9436 Koepp Divide","auxiliary","Sports, Garden & Grocery",6106321,"McClure, Block and Franecki","Male",34.82,19014,"wireless",1,"Practical Wooden Chair","MasterCard"
"East Adele","quantify","COM",480328,662442,"copying","ID","3:21:31","Federico Braun","6-6-2021",7.44,"14803 Edyth Ports","open-source","Games & Beauty","quantify","Considine PhD","Female",66.96,60721,7803826,9,"Rustic Plastic Computer","MasterCard"
"Homenicktown",880803,3446154,7675647,790973,8766688,"WA","20:2:38","Robyn Reilly III","9-16-2021",20.43,"10911 Blaise Manor",4500224,"Home, Beauty & Automotive","parse","Parisian, Wolff and Gorczany","Male",20.43,69420,3027697,1,"Gorgeous Cotton Hat","EWallet"
"West Rachelchester",5916413,4822272,26.88,228119,2883485,"WA","17:50:41","Andreane Powlowski","7-6-2021",21.70,"299 Paolo Circles",9235980,"Automotive, Home & Baby","calculate","Lakin, O'Connell and Monahan","Female",108.50,67638,72.89,5,"Gorgeous Granite Table","AMEX"
"North Rettaport",94.66,true,false,179899,10.04,"IA","11:54:49","Ms. Vilma Kreiger","7-10-2021",73.53,"710 Bins Drives",false,"Electronics",false,"Kshlerin DDS","Female",735.30,36744,true,10,"Small Plastic Car","MasterCard"
"Hackettbury",327334,"program",94.80,326740,2225126,"MT","23:50:55","Mr. Florian Ward","8-5-2021",17.19,"279 Bailey Ferry","PNG","Clothing, Grocery & Toys","XML","Wiegand-Tillman","Male",17.19,97062,618483,1,"Practical Rubber Shirt","Visa"
"Port Alford",1634886,867431,"bypass",239037,4290581,"IL","3:29:4","Estefania Shanahan","8-12-2021",47.49,"936 McClure Gardens","quantify","Beauty & Grocery",true,"Armstrong, Strosin and Altenwerth","Male",237.45,34820,25.08,5,"Sleek Rubber Hat","Visa"
