hard drive,PaymentType,bandwidth,State,Quantity,City,capacitor,pixel,CustomerName,Department,PostalCode,Date,Time,application,Address,Total,InvoiceId,Product,Store,ProductPrice,Gender
1.65,"EWallet","pixel","WY",8,"Lake Assuntamouth",8506280,4137430,"Cortney Borer","Home",27581,"9-22-2021","2:20:43",2522152,"9522 Tre Mount",356.64,857244,"Awesome Steel Shoes","Considine PhD",44.58,"Male"
5172330,"Visa",56146,"OH",5,"Hermistonstad","program",true,"Ms. Corrine Morissette","Garden, Outdoors & Toys",33271,"10-8-2021","0:4:52",1064651,"400 Gideon Garden",156.85,791406,"Awesome Steel Shoes","Wiegand-Tillman",31.37,"Female"
9141733,"AMEX",17.32,"VT",10,"Zeldaview","hack",true,"Devon Hilpert","Garden",62655,"7-22-2021","0:44:0",4189043,"1403 Stracke Mountain",909.80,597114,"Sleek Plastic Table","Wiegand-Tillman",90.98,"Male"
1494842,"Cash",false,"FL",2,"North Lucie",2047560,"copying","Candida Armstrong","Automotive, Tools & Beauty",71962,"5-3-2021","10:37:37",2520198,"902 Ora Centers",98.84,472424,"Incredible Cotton Hat","Lakin, O'Connell and Monahan",49.42,"Female"
true,"EWallet",true,"CO",2,"Feestmouth",79.71,false,"Jackeline McDermott III","Clothing, Games & Grocery",12016,"9-24-2021","12:12:43",39.09,"77569 Feil Dale",100.30,264870,"Sleek Wooden Car","Armstrong, Strosin and Altenwerth",50.15,"Female"
true,"Cash",85.54,"KY",2,"North Natalie",true,84.16,"Karson Gibson MD","Home",38658,"10-13-2021","3:38:36",8691290,"62865 Spencer Haven",139.66,814313,"Rustic Rubber Gloves","Larkin-McClure",69.83,"Male"
false,"AMEX","hard drive","NY",9,"DuBuqueberg",494018,51.90,"Mrs. Eulalia Barrows","Computers",81974,"8-19-2021","22:1:53",48.42,"2615 Crona Gateway",669.87,710027,"Incredible Plastic Chair","Kuphal, Spencer and Blanda",74.43,"Male"
34.95,"AMEX",true,"MN",2,"Quitzontown",true,83.30,"Sylvia Breitenberg","Baby & Beauty",16416,"8-20-2021","16:5:40","open-source","351 Yost Isle",181.80,533151,"Gorgeous Rubber Shirt","Lakin, O'Connell and Monahan",90.90,"Female"
true,"Cash",3167933,"MD",1,"Zoeyton",2116123,4912466,"Mr. Karley Weimann","Music & Garden",47357,"9-28-2021","2:47:4",1201680,"60017 Mraz Summit",55.96,317960,"Awesome Steel Computer","Wiegand-Tillman",55.96,"Female"
"bandwidth","Cash",true,"GA",8,"Torphyport","bus",8196896,"Gilbert VonRueden","Computers",59467,"6-12-2021","20:8:14","AI","90830 Hintz Parkway",472.00,452621,"Sleek Granite Shoes","Kuphal, Spencer and Blanda",59.00,"Male"
15.28,"MasterCard",true,"NV",2,"West Kaylinborough",74.51,false,"Rusty Bechtelar","Health",13371,"9-4-2021","2:58:22",7699879,"632 Keebler Expressway",22.26,706156,"Small Steel Shoes","Considine PhD",11.13,"Female"
true,"Cash",10.35,"TN",7,"Hahnchester",true,96.17,"Karolann Purdy","Music, Baby & Games",11855,"8-20-2021","7:21:56",92.26,"57360 Feil Parkways",252.21,850554,"Gorgeous Wooden Hat","Armstrong, Strosin and Altenwerth",36.03,"Female"
14.74,"Visa",false,"OK",5,"Mazieview",1.14,"copying","Ms. Fredy Gleason","Jewelery, Garden & Computers",50207,"8-7-2021","20:17:49",6540557,"4313 Kertzmann Estate",7.00,720240,"Small Wooden Pants","Armstrong, Strosin and Altenwerth",1.40,"Male"
false,"Visa",9.52,"NH",1,"Koelpinton",true,5.39,"Sigurd Reichert","Tools",73823,"6-25-2021","16:58:21",28.86,"68207 Ivah Fords",7.13,264633,"Intelligent Steel Car","Lakin, O'Connell and Monahan",7.13,"Male"
6230656,"AMEX",78.02,"SD",10,"Strosinton",false,5683686,"Triston Lynch","Garden, Health & Industrial",59450,"10-9-2021","1:16:45",7871408,"24320 Kuhlman Meadow",889.40,266527,"Gorgeous Cotton Pants","Auer V",88.94,"Female"
false,"MasterCard",55.07,"FL",7,"Esperanzahaven",true,41.46,"Monica Torphy","Beauty, Garden & Computers",26030,"10-17-2021","19:2:23",4122601,"93381 Murl Plaza",39.76,744958,"Practical Wooden Shirt","Auer V",5.68,"Male"
8120008,"Cash","auxiliary","MT",1,"West Waltonhaven",5445522,"navigate","Rickey Simonis","Clothing",88493,"6-9-2021","7:59:30",6484924,"485 Ottilie Village",82.61,578968,"Ergonomic Granite Car","McClure, Block and Franecki",82.61,"Female"
"quantifying","Visa",55.60,"RI",2,"Rosamondland",2627431,8523113,"Noah Bayer","Industrial",40641,"3-24-2021","1:53:21",50.31,"21986 Emerson Street",118.60,941365,"Small Plastic Table","Kshlerin DDS",59.30,"Male"
"open-source","Visa",false,"WV",5,"New Garnett","THX",58.48,"Mazie Pagac","Computers & Clothing",70738,"3-14-2021","18:4:49",55.74,"390 Hills Union",475.10,986352,"Sleek Granite Computer","Kshlerin DDS",95.02,"Male"
3012469,"Cash",74.37,"DE",8,"South Nicholasport",97.45,"mobile","Felicia Casper","Kids",30599,"9-8-2021","15:8:30",2843875,"83496 Elsie Park",514.32,218146,"Awesome Steel Hat","Wiegand-Tillman",64.29,"Male"
4291598,"Cash",52.34,"MT",6,"Abernathytown",false,38.92,"Virginie Kshlerin II","Clothing & Shoes",91656,"10-16-2021","10:5:31","calculate","77524 Swift Rapids",360.18,837212,"Small Cotton Gloves","Kshlerin DDS",60.03,"Male"
94.41,"Visa","compressing","ND",5,"West Ivy",5199058,62.39,"Madie Murray Sr.","Kids, Movies & Tools",65697,"10-15-2021","3:49:38",true,"32870 Parker Pine",136.75,326248,"Practical Concrete Shoes","Armstrong, Strosin and Altenwerth",27.35,"Female"
9.20,"MasterCard",3223196,"DE",1,"Kutchtown",true,"compressing","Cordia Keebler","Shoes, Books & Clothing",96063,"4-29-2021","10:5:21",2470957,"33425 Cummerata Squares",3.67,970147,"Practical Rubber Gloves","Kuphal, Spencer and Blanda",3.67,"Female"
"CSS","AMEX","TCP","AL",5,"Kenyonport","SSL",false,"Donny Metz","Shoes, Clothing & Home",30959,"2-2-2021","9:41:16",3417911,"1197 Angelita Prairie",356.65,557775,"Gorgeous Cotton Gloves","Kshlerin DDS",71.33,"Female"
"connect","EWallet",true,"ID",7,"Port Kennedy",5085133,"quantify","Margret Lebsack","Sports & Shoes",20553,"7-25-2021","18:2:13","back-end","29592 Swift Plain",636.09,686940,"Awesome Cotton Chair","Wiegand-Tillman",90.87,"Female"
"solid state","Cash",true,"TN",4,"Lamontbury",3104610,2257142,"Winona Langworth","Baby",88727,"7-16-2021","16:13:51","generate","58697 Hand Greens",274.96,887368,"Incredible Plastic Computer","Auer V",68.74,"Male"
10.93,"AMEX",34.22,"CA",5,"South Kathlyn",true,33.12,"Ned Weber","Books, Toys & Home",22172,"8-26-2021","14:14:27",56.16,"332 Hoeger Fork",243.10,308380,"Ergonomic Granite Hat","Auer V",48.62,"Male"
true,"Visa",2.34,"DE",6,"West Nonashire",11.94,61.75,"Verdie Hintz","Jewelery, Industrial & Baby",24598,"4-3-2021","7:43:4",830408,"9476 Miller Burg",435.60,133782,"Practical Concrete Shirt","Kshlerin DDS",72.60,"Male"
10.90,"AMEX",47.25,"TN",5,"South Verdiebury",false,30.30,"Dane Heidenreich","Garden, Outdoors & Grocery",58080,"10-6-2021","13:45:55",false,"7580 Jones Mills",83.50,492841,"Gorgeous Steel Gloves","Armstrong, Strosin and Altenwerth",16.70,"Female"
true,"Cash",5749892,"WY",9,"Port Estelleborough",38.80,false,"Skye Collier","Music & Games",20867,"9-24-2021","10:22:16",false,"54900 Haley Cape",800.28,908497,"Fantastic Wooden Gloves","Parisian, Wolff and Gorczany",88.92,"Male"
47.48,"MasterCard",83.44,"WV",3,"North Fernando",8102935,69.66,"Myrtle Dickens","Jewelery",30835,"8-1-2021","20:14:58",5.23,"16895 Delores Island",262.98,965433,"Practical Plastic Computer","Considine PhD",87.66,"Male"
5783511,"Cash",54.28,"OR",3,"Port Birdieburgh",1989236,"open-source","Anna Barrows","Games, Automotive & Outdoors",48632,"9-25-2021","23:5:25",10.16,"404 Quigley Trail",273.57,703718,"Gorgeous Plastic Shoes","Lakin, O'Connell and Monahan",91.19,"Female"
5240680,"MasterCard","compress","DE",5,"Kingview","synthesize",4696407,"Abdullah Welch","Industrial & Books",78571,"4-4-2021","19:11:46","SSL","7788 Robel Prairie",116.60,191607,"Ergonomic Granite Shoes","Wiegand-Tillman",23.32,"Male"
"ADP","Visa",23.87,"NV",4,"North Kaciville",7046165,false,"Sally Bergnaum","Garden, Health & Automotive",79463,"10-10-2021","20:25:50",false,"938 Keebler Isle",144.16,719816,"Sleek Concrete Computer","Armstrong, Strosin and Altenwerth",36.04,"Female"
"driver","EWallet",8519270,"VA",4,"Mathildeberg","compressing",50.80,"Mr. Jerrell Johns","Games & Movies",28188,"10-23-2021","21:34:38",true,"27686 Leola Village",99.12,499339,"Practical Concrete Pants","Armstrong, Strosin and Altenwerth",24.78,"Male"
73.41,"MasterCard","calculating","AZ",3,"West Graysonville",32.80,95.72,"Ricky Bosco","Jewelery & Movies",33741,"9-14-2021","11:38:27",92.18,"1022 Crystel Path",37.41,138948,"Small Concrete Table","Auer V",12.47,"Male"
14.30,"AMEX",false,"NH",6,"West Pedrotown",74.31,true,"Giuseppe Homenick","Home & Movies",76389,"4-27-2021","17:38:20",true,"59576 Roob Land",7.44,147678,"Intelligent Rubber Pants","Considine PhD",1.24,"Female"
true,"AMEX",500071,"MI",9,"Haagstad",4193889,48.58,"Dannie O'Kon","Books & Clothing",79507,"9-5-2021","11:59:9",45.48,"321 Rosalia Union",27.00,366060,"Small Rubber Hat","Kuphal, Spencer and Blanda",3.00,"Female"
"bus","AMEX",true,"IA",5,"Schadenstad",1853348,"quantify","Ottilie Cummings II","Jewelery & Clothing",61710,"7-21-2021","18:40:13",7314711,"59809 Shields Corners",37.90,330310,"Awesome Granite Table","Larkin-McClure",7.58,"Male"
7686410,"Visa",false,"FL",3,"East Tamiaside",6284912,"reboot","Gunner Herman","Toys",21739,"8-4-2021","13:40:56","driver","7030 Collier Turnpike",1.74,813457,"Practical Granite Chair","Kuphal, Spencer and Blanda",0.58,"Male"
true,"MasterCard",7537315,"RI",10,"East Caryside","HTTP",4738558,"Sylvester Yost","Baby, Beauty & Health",37713,"7-9-2021","21:44:30",5871452,"531 Rowe Corners",534.40,136936,"Fantastic Granite Chair","Lakin, O'Connell and Monahan",53.44,"Male"
84.65,"Visa","primary","NH",7,"Annieside",44.25,94.29,"Judah Ruecker","Industrial & Garden",98012,"9-3-2021","6:35:17",4050216,"9127 Ronaldo Pike",540.89,247429,"Sleek Concrete Shoes","Parisian, Wolff and Gorczany",77.27,"Female"
true,"AMEX",283622,"HI",3,"Mosciskichester","quantifying",5515589,"Winifred Schimmel","Electronics & Beauty",48295,"7-23-2021","7:21:27",false,"7728 Jamel Drive",110.67,999398,"Practical Steel Table","Considine PhD",36.89,"Male"
false,"MasterCard",true,"AK",3,"Nicholasview",43.92,true,"Dr. Shirley Reichel","Industrial",28501,"9-6-2021","0:47:32",true,"18329 Marlene Trail",81.33,342878,"Small Plastic Computer","Auer V",27.11,"Male"
true,"Cash",true,"CO",6,"West Bradyland",39.58,"indexing","Kaylie Zboncak","Kids, Automotive & Garden",77217,"8-18-2021","9:28:2","IB","856 Hilton Union",592.68,838655,"Intelligent Plastic Hat","Kuphal, Spencer and Blanda",98.78,"Male"
1810202,"MasterCard",93.56,"VT",10,"Deebury",7602595,"reboot","Peter Klocko","Garden",66214,"10-25-2021","4:16:38",77.04,"2527 Hand Key",22.30,307062,"Small Rubber Shirt","Larkin-McClure",2.23,"Female"
25.72,"AMEX",5560031,"AZ",8,"Lynchburgh","cross-platform",959508,"Isac Bradtke IV","Clothing & Computers",81766,"7-3-2021","8:33:49",2660436,"86095 Maxwell Inlet",461.60,122347,"Awesome Concrete Computer","Kuphal, Spencer and Blanda",57.70,"Male"
"GB","Cash",2774312,"ID",8,"Hunterton","navigating",false,"Sibyl Kihn IV","Music, Baby & Industrial",79257,"8-17-2021","5:27:59",true,"159 Goyette Mews",249.28,750921,"Fantastic Steel Chair","Parisian, Wolff and Gorczany",31.16,"Female"
6727374,"Cash","EXE","NM",9,"East Aleenshire","quantifying",338965,"Shany Pfeffer","Health",97967,"6-15-2021","21:9:48",true,"5088 Sherwood Union",280.71,460041,"Ergonomic Wooden Chair","Parisian, Wolff and Gorczany",31.19,"Female"
"SMTP","MasterCard",30.14,"OK",1,"Jayceebury",7859789,89.54,"Keara Stroman","Automotive & Music",77220,"2-15-2021","10:11:32",3990264,"53857 Bennie Locks",9.30,982086,"Ergonomic Granite Hat","Auer V",9.30,"Male"
true,"MasterCard",74.75,"FL",3,"Port Herminia",false,false,"Hermina Cormier","Games",87646,"10-18-2021","18:2:25",2234203,"34869 Jamal Turnpike",102.75,760703,"Gorgeous Wooden Computer","Armstrong, Strosin and Altenwerth",34.25,"Male"
"copying","Visa","mobile","CA",7,"West Thurmanview",true,true,"Mr. Rosa West","Shoes",49573,"5-27-2021","21:27:5",34.31,"4772 Gretchen Hill",114.59,598967,"Small Wooden Shirt","Kuphal, Spencer and Blanda",16.37,"Male"
true,"MasterCard",915308,"MO",5,"Port Londonfurt",true,69.68,"Dr. Zander Sauer","Baby, Industrial & Garden",35701,"9-7-2021","19:34:5",66.51,"570 Augusta Common",410.95,852924,"Practical Steel Gloves","Considine PhD",82.19,"Female"
88.60,"EWallet",false,"GA",1,"Port Julius",48.03,true,"Chanel O'Keefe","Beauty",48214,"10-20-2021","2:49:29",true,"77732 Maya Mews",43.74,219991,"Gorgeous Steel Hat","Lakin, O'Connell and Monahan",43.74,"Female"
"generate","AMEX","JSON","MI",9,"West Malikaville","navigate",false,"Kyler Collins","Computers & Kids",87824,"9-22-2021","23:49:11",1096268,"7265 Chris Fort",561.42,784938,"Incredible Wooden Chair","Auer V",62.38,"Female"
"driver","Visa",true,"VT",4,"Lake Lonnie",2391705,"SMS","Marielle Rowe DDS","Outdoors, Games & Tools",64904,"8-5-2021","2:52:36",96.65,"45982 Champlin Cove",199.88,644324,"Gorgeous Plastic Shirt","McClure, Block and Franecki",49.97,"Female"
"online","AMEX","port","WA",9,"Baumbachmouth",false,false,"Keyon Wunsch","Beauty, Tools & Music",86504,"6-18-2021","11:28:0",7227534,"2581 Kurt Ville",429.03,363669,"Fantastic Steel Hat","Parisian, Wolff and Gorczany",47.67,"Male"
true,"Visa",true,"NY",8,"Karolannside",22.88,"copy","Ms. Archibald Herman","Clothing, Automotive & Garden",92875,"3-21-2021","2:18:1",true,"24306 Prohaska Crossroad",219.20,395975,"Intelligent Steel Chair","Lakin, O'Connell and Monahan",27.40,"Female"
32.11,"AMEX",55.42,"OK",3,"Dickinsonside",false,41.84,"Brando Hagenes","Garden & Health",47022,"2-10-2021","17:53:7",9018972,"7139 Schneider Haven",119.79,358034,"Practical Granite Pants","Wiegand-Tillman",39.93,"Female"
91.27,"Visa",26.65,"VT",2,"Maiaside",130420,false,"Rudolph Hills DDS","Health",81985,"5-26-2021","2:42:27",false,"73124 Kunze Pike",77.42,458005,"Ergonomic Concrete Car","Auer V",38.71,"Male"
false,"AMEX",true,"VT",5,"North Verdatown",18.20,false,"Torrey Douglas","Computers, Grocery & Books",96832,"8-27-2021","21:1:41",true,"9052 Jast Place",154.75,931526,"Awesome Granite Shirt","Wiegand-Tillman",30.95,"Female"
"compressing","AMEX",62.85,"CO",3,"Louveniafurt",2723348,"FTP","Imelda Carroll","Tools & Beauty",80923,"9-19-2021","11:14:7","synthesizing","36223 Windler Center",125.46,971303,"Incredible Plastic Shirt","Wiegand-Tillman",41.82,"Female"
"compress","Cash",94.87,"VA",6,"East Jeffrey",843646,1938989,"Hazel Braun Sr.","Music, Shoes & Automotive",26177,"10-9-2021","21:1:53",1495018,"2509 Clemmie Rest",597.96,625570,"Intelligent Steel Hat","Considine PhD",99.66,"Male"
"solid state","Visa",true,"WV",2,"West Fleta",1041243,"reboot","Mr. Deangelo Brakus","Sports",51629,"6-4-2021","16:43:49",58.16,"953 Flossie Cliff",26.00,951116,"Sleek Cotton Shoes","Kshlerin DDS",13.00,"Female"
"application","EWallet","quantify","FL",3,"Port Demarcus","indexing",3615734,"Esteban Murray","Computers & Games",29825,"8-15-2021","17:7:46",63.50,"7023 Manuela Forge",164.34,942310,"Rustic Plastic Gloves","Kuphal, Spencer and Blanda",54.78,"Female"
3870102,"EWallet",1933608,"LA",3,"Dixieshire","solid state",3788299,"Mrs. Bianka Boyer","Industrial",92994,"9-16-2021","12:43:25",31.30,"999 Ondricka Estate",299.46,936691,"Incredible Plastic Gloves","Larkin-McClure",99.82,"Female"
false,"AMEX",false,"KY",9,"Carloton",false,true,"Kaleigh McKenzie","Industrial",59785,"2-4-2021","9:51:53",6568568,"5761 Ardith Stream",63.99,579727,"Fantastic Granite Hat","Kuphal, Spencer and Blanda",7.11,"Male"
3446945,"Cash",75.47,"SC",3,"Weissnatmouth",11.63,34.71,"Adrain Keebler","Shoes & Tools",41222,"4-10-2021","1:55:24",true,"8306 Hessel Alley",199.92,760264,"Rustic Plastic Pants","Wiegand-Tillman",66.64,"Female"
93.53,"EWallet","program","SD",8,"Chesterville",true,false,"Edmond Carter","Music",96064,"4-19-2021","16:29:47",false,"88770 Pfannerstill Curve",31.84,655934,"Ergonomic Wooden Table","Considine PhD",3.98,"Male"
8384793,"EWallet","bandwidth","TN",5,"Port Jermainfort","backing up",3539714,"Lincoln Schmeler","Computers",10149,"9-19-2021","2:11:59",6054373,"27931 Angel Mountains",18.15,220205,"Gorgeous Cotton Gloves","Considine PhD",3.63,"Male"
"pixel","Cash",795942,"AK",4,"Bechtelarside","cross-platform","calculating","Tre Cole","Beauty, Outdoors & Music",87595,"3-15-2021","22:26:1","feed","34879 Kunze Circle",160.92,992589,"Incredible Plastic Shoes","Larkin-McClure",40.23,"Female"
8852208,"AMEX",2837325,"VT",1,"Croninmouth","solid state",7193819,"Roderick Roob II","Grocery, Beauty & Automotive",82192,"9-27-2021","23:31:25",true,"136 Jermaine Forges",87.56,848021,"Small Wooden Shoes","Parisian, Wolff and Gorczany",87.56,"Female"
9190043,"Cash","EXE","WI",6,"Loychester","transmitting","compressing","Alejandra VonRueden","Industrial & Kids",11858,"8-17-2021","4:9:36",1108222,"1957 Rogelio Unions",160.80,539564,"Fantastic Steel Shirt","Larkin-McClure",26.80,"Female"
"XSS","MasterCard",4462059,"NH",4,"Ratkemouth","sensor",89.29,"Armando Bahringer","Automotive & Shoes",36924,"6-8-2021","5:48:44",false,"5904 Bertrand Ford",88.96,890262,"Practical Wooden Shoes","Considine PhD",22.24,"Female"
true,"AMEX",false,"MD",7,"Loganland",70.37,true,"Jeanne Daugherty","Grocery & Industrial",26126,"8-13-2021","2:48:46",false,"29519 Konopelski Run",290.99,642399,"Incredible Granite Computer","Parisian, Wolff and Gorczany",41.57,"Male"
true,"AMEX",78.95,"MD",3,"Reingerstad",true,61.56,"Rashawn Kuphal","Books, Movies & Kids",85878,"6-22-2021","17:32:5",97.53,"342 Considine Lock",292.98,837659,"Ergonomic Granite Chair","Kuphal, Spencer and Blanda",97.66,"Male"
5188683,"MasterCard",47.04,"NM",4,"West Trent","bypassing",true,"Ola Gleichner","Garden",87653,"2-19-2021","20:35:1","port","69765 Lyla Hills",28.56,721461,"Practical Plastic Gloves","Considine PhD",7.14,"Female"
52.20,"Visa",true,"MS",4,"Selenamouth",11.65,8728715,"Dr. Margarette Bashirian","Books & Kids",43497,"10-5-2021","6:2:7","system","172 Autumn Drives",51.48,329964,"Incredible Plastic Chair","McClure, Block and Franecki",12.87,"Female"
"GB","Visa",46.91,"ID",6,"Port Lucius",4151766,2737101,"Vernice Raynor","Automotive, Garden & Outdoors",42744,"8-16-2021","14:19:22",2678833,"31160 Hazel Tunnel",327.24,983892,"Small Steel Car","McClure, Block and Franecki",54.54,"Female"
"back up","MasterCard",2473470,"NY",10,"Gavinstad",5328733,"compressing","Odessa Schiller","Automotive",11293,"5-27-2021","17:25:41","SCSI","604 Kathlyn Crossing",102.30,456908,"Sleek Rubber Computer","Armstrong, Strosin and Altenwerth",10.23,"Male"
8.13,"Cash",2479854,"KS",3,"South Lillie","CSS","matrix","Terrence Konopelski","Kids, Music & Electronics",81846,"10-4-2021","7:14:3",false,"887 Hilpert Haven",108.03,961374,"Awesome Cotton Shirt","Lakin, O'Connell and Monahan",36.01,"Male"
46.12,"AMEX",82.06,"WY",4,"Jacobshaven",41.70,65.54,"Destiney Abernathy","Automotive",68179,"5-3-2021","9:39:9",false,"4603 Bednar Prairie",288.56,955979,"Rustic Granite Gloves","Lakin, O'Connell and Monahan",72.14,"Male"
13.85,"AMEX","PNG","KS",4,"Lake Aurelie",7008815,9035330,"Paris Turcotte","Games",19636,"9-9-2021","13:8:26",60.26,"195 Jamarcus Knolls",210.12,253619,"Fantastic Plastic Hat","Parisian, Wolff and Gorczany",52.53,"Female"
3023443,"Cash",true,"GA",4,"East Mittiemouth",175570,3686566,"Charlie Fadel","Kids",74415,"12-14-2020","10:34:50",7130843,"366 Wilderman Overpass",131.36,489356,"Gorgeous Rubber Chair","Lakin, O'Connell and Monahan",32.84,"Female"
"application","AMEX",8650670,"WY",5,"Talonberg","navigating","IB","Dario Ankunding","Kids",27800,"6-6-2021","5:25:28",true,"152 Arvilla Union",42.60,741442,"Gorgeous Cotton Shirt","Parisian, Wolff and Gorczany",8.52,"Female"
"circuit","EWallet",911586,"MS",6,"Hermannborough",1988214,"application","Payton Homenick","Kids & Sports",43680,"8-29-2021","3:42:37",30.23,"15735 McLaughlin Grove",217.74,992392,"Rustic Rubber Chair","Larkin-McClure",36.29,"Male"
13.33,"Visa",false,"AK",3,"Lake Michelle",true,62.39,"Demario Schuster","Industrial, Games & Automotive",56379,"4-27-2021","19:21:59",5896353,"645 Shields Forks",217.98,414047,"Ergonomic Granite Shirt","Larkin-McClure",72.66,"Male"
8668927,"MasterCard",44.36,"MS",3,"New Amalia",false,"digital","Kim Dickens","Clothing & Grocery",49740,"8-5-2021","11:30:33",true,"917 Padberg Knolls",260.91,430693,"Incredible Cotton Car","Lakin, O'Connell and Monahan",86.97,"Male"
