Date,monitor,Gender,PostalCode,Department,InvoiceId,Store,State,Total,CustomerName,Time,Address,protocol,ProductPrice,Product,Quantity,City,hard drive,port,sensor,PaymentType
"6-28-2021",true,"Female",19663,"Home",222121,"Kshlerin DDS","ME",538.09,"Deron Carter DVM","10:14:34","377 Gregorio Shores",69.02,76.87,"Sleek Plastic Car",7,"South Herminiastad",4467095,true,17.41,"Cash"
"8-24-2021","HTTP","Male",27080,"Games & Garden",980857,"McClure, Block and Franecki","TX",218.10,"Reinhold Greenholt","8:52:5","99104 Ebert Crossing",true,21.81,"Small Plastic Computer",10,"Jewellfurt",true,"microchip",1834627,"Visa"
"10-15-2021",true,"Male",37990,"Clothing",484326,"McClure, Block and Franecki","NV",802.60,"Laury McClure DVM","14:34:4","5312 Lemke Islands",567242,80.26,"Awesome Cotton Pants",10,"Dorcasmouth","programming",true,3293945,"Visa"
"10-24-2021",5792061,"Female",54149,"Garden",987931,"Parisian, Wolff and Gorczany","SD",199.83,"Marco Durgan","18:41:33","296 Morton Trace",7186291,66.61,"Incredible Wooden Chair",3,"Port Ilene",569397,"backing up",true,"Visa"
"10-10-2021",5982060,"Female",25340,"Baby",710974,"Kshlerin DDS","NY",5.43,"Fausto Russel","3:35:50","20979 Jennyfer Pine",47.82,1.81,"Ergonomic Cotton Hat",3,"Halvorsonland","navigating",false,20.36,"EWallet"
"3-17-2021","navigate","Female",71913,"Beauty, Clothing & Home",526857,"Larkin-McClure","HI",94.44,"Kadin Purdy Jr.","6:37:59","915 Trantow Locks",6082991,94.44,"Intelligent Cotton Car",1,"Port Leopoldoberg",true,2810252,"overriding","EWallet"
"3-11-2021",true,"Male",22107,"Shoes",875702,"Parisian, Wolff and Gorczany","WI",713.20,"Cayla Reynolds IV","21:22:39","1707 Padberg Parkways",false,71.32,"Practical Cotton Gloves",10,"Rafaelfort",0.35,false,"generate","MasterCard"
"1-8-2021",false,"Male",46940,"Home & Beauty",545278,"Considine PhD","MA",252.00,"Hellen Pagac","19:21:22","2253 Emmerich Lights",95.36,42.00,"Awesome Wooden Shoes",6,"Graysonport",true,81.58,71.52,"MasterCard"
"8-17-2021",20.81,"Female",78784,"Shoes, Home & Industrial",940886,"Armstrong, Strosin and Altenwerth","GA",140.38,"Erick Conroy Sr.","20:48:13","536 Bailey Path",602361,70.19,"Intelligent Wooden Table",2,"New Rosamond",true,16.57,true,"AMEX"
"6-11-2021","back up","Male",71553,"Garden",865486,"Larkin-McClure","ME",317.24,"Mrs. Malika Schoen","10:1:37","609 Bartholome Vista",27.99,79.31,"Incredible Wooden Pants",4,"New Lizethbury",4186112,"optical",255123,"MasterCard"
"9-30-2021",26.63,"Female",62573,"Beauty, Games & Music",757660,"Auer V","MI",573.80,"Mrs. Itzel Thompson","18:40:55","6978 Constance Fall",false,57.38,"Fantastic Concrete Computer",10,"West Bulahborough","SMTP",8.91,"GB","Cash"
"10-16-2021",21.91,"Female",30085,"Movies",703777,"McClure, Block and Franecki","SC",97.65,"Daphney Kuvalis","5:16:1","1050 Lorna Meadows",true,10.85,"Fantastic Concrete Gloves",9,"East Jazmin",1764382,"quantify",6940305,"AMEX"
"7-23-2021","connect","Female",31248,"Home & Electronics",368342,"Considine PhD","IN",592.44,"Ms. Lacey Beier","16:29:2","729 Aufderhar Shore","THX",98.74,"Intelligent Granite Table",6,"New Wilmerfurt",true,2203942,8260734,"Cash"
"7-8-2021","programming","Female",76256,"Books, Outdoors & Automotive",303004,"Lakin, O'Connell and Monahan","VA",269.96,"Henriette Spencer Sr.","23:20:17","96110 Feeney Keys",57.92,67.49,"Fantastic Cotton Pants",4,"West Antonialand",true,638902,5074674,"MasterCard"
"7-5-2021",false,"Male",89862,"Industrial",270850,"Kuphal, Spencer and Blanda","TN",171.40,"Shaylee Eichmann III","3:51:15","374 Corkery Valleys",79.43,42.85,"Ergonomic Cotton Car",4,"Connellyville",true,false,28.48,"Cash"
"9-17-2021",true,"Male",70673,"Electronics",875363,"Armstrong, Strosin and Altenwerth","WI",124.32,"Cletus Paucek DVM","16:32:40","88636 Anjali Shoals",87.44,20.72,"Intelligent Rubber Pants",6,"Kassulkeland",true,99.75,true,"MasterCard"
"3-2-2021",39.76,"Female",86321,"Garden & Shoes",936488,"Lakin, O'Connell and Monahan","AK",133.04,"Rae Moore","16:39:33","31537 Legros Centers",false,33.26,"Intelligent Cotton Car",4,"South Mitchel","generating","calculate",58.40,"AMEX"
"10-20-2021",6293422,"Female",27944,"Outdoors, Kids & Shoes",415962,"McClure, Block and Franecki","ME",405.30,"Cecil Langosh","23:33:4","222 Susanna Mission",false,40.53,"Gorgeous Plastic Shirt",10,"Port Tremayne",43.02,true,"GB","AMEX"
"10-1-2021",8261377,"Male",75314,"Games, Automotive & Sports",420248,"Parisian, Wolff and Gorczany","AR",527.04,"Gilberto Erdman","8:51:50","388 Maureen Trace","auxiliary",58.56,"Fantastic Granite Table",9,"Rickmouth",7694795,"port",90.60,"Cash"
"7-19-2021","backing up","Female",21579,"Baby",112086,"Considine PhD","MS",139.86,"Jean O'Conner","14:45:18","532 Amparo Well",false,19.98,"Incredible Plastic Chair",7,"Maddisonport","cross-platform","bandwidth","hack","Visa"
"5-17-2021","back up","Male",55079,"Industrial",919133,"Kuphal, Spencer and Blanda","TN",271.41,"Domenica Fisher","18:9:46","44721 Jerad Lock",8816318,90.47,"Awesome Steel Pants",3,"Jasperbury","1080p","card","compressing","EWallet"
"10-16-2021",47.14,"Male",73168,"Electronics & Clothing",355129,"Kuphal, Spencer and Blanda","NM",180.55,"Dr. Camron Kuvalis","6:41:13","62684 Ulices Pines","neural",36.11,"Gorgeous Concrete Computer",5,"Arielville","compressing",5006943,true,"EWallet"
"2-15-2021",false,"Female",10072,"Outdoors, Garden & Health",862922,"Wiegand-Tillman","MS",38.60,"Federico Leuschke","16:7:56","37028 Paucek Island","1080p",7.72,"Ergonomic Concrete Gloves",5,"South Magdalenview","COM",true,true,"EWallet"
"9-23-2021",false,"Female",25432,"Home",122791,"Lakin, O'Connell and Monahan","VA",284.67,"Jada Schaden","12:2:34","487 Lesch Ports",3625269,94.89,"Awesome Granite Chair",3,"New Jacklynfort",72.72,false,98.33,"Cash"
"9-19-2021",9.97,"Male",75920,"Tools, Home & Games",885548,"Wiegand-Tillman","CO",406.45,"Katrine Bernier","1:38:21","554 Ladarius View",40.01,81.29,"Gorgeous Wooden Shoes",5,"North Harvey",3.78,66.11,"COM","EWallet"
"6-11-2021",true,"Male",22451,"Toys, Automotive & Electronics",215011,"Armstrong, Strosin and Altenwerth","VA",16.14,"Dagmar Kessler","15:22:36","8365 Upton Locks",4660163,2.69,"Ergonomic Concrete Shirt",6,"New Sadie",4190573,"monitor",7886985,"AMEX"
"9-12-2021","application","Female",26067,"Health",249184,"Auer V","IN",151.52,"Taya Greenholt","6:4:22","89393 McCullough Burgs",false,18.94,"Fantastic Cotton Hat",8,"New Walton",5326973,8831015,92.19,"MasterCard"
"6-20-2021",4550069,"Female",85436,"Automotive & Computers",146151,"Larkin-McClure","GA",183.46,"Esteban Herzog","23:44:21","9969 Annetta Mission","online",91.73,"Intelligent Cotton Hat",2,"West Boydshire",64.21,"firewall",17.20,"Cash"
"10-6-2021","compress","Male",13169,"Books",212776,"Considine PhD","NH",337.76,"Arnulfo Greenfelder Jr.","2:55:11","3325 Borer Roads",36.64,42.22,"Small Rubber Shirt",8,"New Fae","compressing",22.94,"CSS","MasterCard"
"7-23-2021",7606875,"Female",73905,"Movies & Jewelery",543673,"Larkin-McClure","PA",287.82,"Baylee Grady","17:25:11","430 Swaniawski Freeway",false,31.98,"Gorgeous Cotton Computer",9,"Jaydetown","SMTP",29.98,true,"Cash"
"10-13-2021",99.32,"Male",49846,"Books & Clothing",884552,"Kshlerin DDS","SD",817.74,"Mr. Lenora Hand","1:22:58","57949 Malinda Haven",true,90.86,"Incredible Granite Gloves",9,"Bernhardburgh","XSS",54.80,776922,"EWallet"
"10-8-2021",94.81,"Female",38172,"Toys",944596,"Parisian, Wolff and Gorczany","SD",469.90,"Dulce West","1:50:10","983 Littel Square",true,46.99,"Intelligent Plastic Computer",10,"Lake Aureliabury",false,true,39.63,"EWallet"
"10-24-2021",16.29,"Female",33584,"Beauty & Computers",600160,"Lakin, O'Connell and Monahan","DE",368.56,"Linda Hudson","4:50:7","3046 Hand Causeway",85.38,92.14,"Sleek Cotton Hat",4,"Harveystad",21.73,12.05,true,"MasterCard"
"10-19-2021",false,"Female",25175,"Outdoors & Computers",845609,"Considine PhD","SD",658.60,"Brianne Prosacco","15:42:17","76057 Tremayne Hill",true,65.86,"Gorgeous Granite Gloves",10,"East Crystal","quantifying",false,false,"Cash"
"3-22-2021",false,"Female",70662,"Shoes, Games & Health",907417,"Kuphal, Spencer and Blanda","WA",495.96,"Marcos Effertz","6:36:17","44713 Altenwerth Dale",45.30,82.66,"Practical Concrete Chair",6,"Tillmanfurt","programming",41.08,"back-end","Visa"
"8-23-2021",71.33,"Female",87850,"Automotive & Baby",827202,"Larkin-McClure","DE",664.10,"Mr. Luella Grady","9:48:42","6311 Izaiah Neck",8185844,66.41,"Small Concrete Car",10,"Britneyborough",true,4110009,"application","Cash"
"7-19-2021",7862787,"Male",86914,"Tools & Sports",634712,"Considine PhD","NC",249.70,"Ralph Schamberger","15:56:9","14702 Nicolette Cliffs","transmit",24.97,"Fantastic Concrete Gloves",10,"North Elouiseport",true,"capacitor","programming","Cash"
"9-4-2021",1197836,"Female",29341,"Grocery",491497,"Lakin, O'Connell and Monahan","IA",57.57,"Kameron Balistreri","16:37:47","8295 Vivienne Knoll",false,19.19,"Practical Concrete Pants",3,"Lake Lloyd","transmitting",false,true,"Cash"
"10-16-2021","USB","Male",97473,"Grocery & Toys",922888,"Larkin-McClure","NM",269.70,"Bennett Cummerata","9:6:34","93968 Serena Village",47.92,89.90,"Gorgeous Rubber Shirt",3,"Yostfurt",84.30,false,"SCSI","EWallet"
"9-19-2021",true,"Male",54048,"Music & Baby",452318,"Lakin, O'Connell and Monahan","FL",26.35,"Nat Gislason","20:58:50","801 Collins Views",false,5.27,"Ergonomic Steel Table",5,"Ewellport",78.98,true,31.02,"Cash"
"5-27-2021",true,"Male",83525,"Books",638327,"Larkin-McClure","KY",87.40,"Tyrel Wunsch","21:35:55","405 Khalil Vista",77.36,8.74,"Rustic Cotton Shirt",10,"Laurafort",0.82,4066066,53.87,"EWallet"
"12-30-2020","XSS","Female",59727,"Books & Sports",130619,"Lakin, O'Connell and Monahan","WV",96.57,"Mrs. Serena Schaden","21:42:24","4384 Ruth Circle",6751472,10.73,"Intelligent Plastic Computer",9,"West Marachester",5943350,25.52,87.79,"EWallet"
"10-18-2021",false,"Male",38499,"Garden, Health & Tools",396227,"Lakin, O'Connell and Monahan","KS",335.20,"Sonya Herzog","17:43:6","7602 Jaida Shoals",false,83.80,"Gorgeous Steel Shoes",4,"Kassandrashire","CSS",23.07,true,"Cash"
"7-27-2021","SMTP","Female",62708,"Beauty",631546,"Kuphal, Spencer and Blanda","LA",221.24,"Leon Lueilwitz V","2:53:37","5619 Destiney Path",94.35,55.31,"Intelligent Steel Shoes",4,"Brandyland","navigating","synthesize",3.98,"AMEX"
"8-20-2021",8980212,"Female",32793,"Home, Beauty & Clothing",556216,"Parisian, Wolff and Gorczany","OK",279.87,"Tess Yundt","17:13:17","4854 Blaise Lodge","hack",93.29,"Fantastic Cotton Shirt",3,"Albaton","reboot",true,"SMTP","EWallet"
"6-9-2021","port","Male",28402,"Outdoors, Beauty & Computers",104071,"Armstrong, Strosin and Altenwerth","LA",453.00,"Hilbert Weimann","13:55:8","233 Vandervort Glens",232180,45.30,"Intelligent Wooden Chair",10,"West Macy",false,44.14,33.50,"EWallet"
"10-14-2021","calculating","Female",76164,"Movies, Games & Outdoors",394385,"Armstrong, Strosin and Altenwerth","ME",116.92,"Mario Gibson","13:49:40","7400 Stark Spurs",true,58.46,"Ergonomic Concrete Car",2,"South Halie",false,"card",2.00,"EWallet"
"9-23-2021",7740051,"Male",68354,"Computers & Sports",848681,"Considine PhD","MN",84.15,"Brock Homenick","10:34:49","4020 Delmer Coves","alarm",9.35,"Rustic Steel Shoes",9,"Lake Gradyburgh","SCSI",true,true,"EWallet"
"2-4-2021",76.28,"Male",77531,"Shoes, Automotive & Beauty",342286,"Lakin, O'Connell and Monahan","HI",715.76,"Adrien Schmidt","21:42:20","80202 Helen Circle",false,89.47,"Small Wooden Table",8,"Eichmannland",true,71.86,true,"Cash"
"9-12-2021",true,"Female",88758,"Garden, Kids & Books",456332,"Auer V","WA",68.85,"Toy Stehr","2:36:53","486 Javon Shore",6017549,22.95,"Intelligent Granite Hat",3,"South Vadaland","RAM","optical",581507,"MasterCard"
"9-14-2021",71.97,"Male",14214,"Garden & Sports",599487,"Considine PhD","AZ",322.72,"Dewayne Yost","21:50:31","330 Carlos Drives","system",80.68,"Incredible Steel Car",4,"Kassulkechester",true,7391183,91.01,"Visa"
"9-28-2021",8602019,"Male",12789,"Grocery, Home & Baby",489929,"Wiegand-Tillman","OR",657.27,"Mervin Powlowski","0:15:33","93424 Dessie Unions","open-source",73.03,"Awesome Steel Pants",9,"North Lennie","PCI",false,"backing up","Visa"
"10-1-2021",false,"Male",79546,"Music, Beauty & Home",351093,"Considine PhD","TN",292.80,"Tito McDermott","16:53:40","96971 Abernathy Views","neural",36.60,"Rustic Wooden Pants",8,"Hermistonstad",4549115,"driver",84.74,"EWallet"
"10-25-2021","hacking","Male",58416,"Sports, Kids & Toys",665438,"Kuphal, Spencer and Blanda","MT",50.52,"Ms. Rey Herzog","13:14:4","3410 Crona Run","reboot",25.26,"Ergonomic Granite Chair",2,"East Mabelfurt",7412798,738081,6.16,"EWallet"
"9-4-2021",15863,"Male",26507,"Outdoors, Music & Home",354085,"Larkin-McClure","IL",281.10,"Trisha Mueller III","21:7:15","546 Waters Junctions","parsing",93.70,"Sleek Concrete Shoes",3,"North Nanniehaven","circuit","compressing",13.36,"EWallet"
"10-6-2021",false,"Female",92743,"Computers",853796,"Parisian, Wolff and Gorczany","WA",31.16,"Miss Wava Adams","18:1:55","5438 Esta Forks",true,15.58,"Gorgeous Plastic Gloves",2,"East Deon",2726808,false,true,"Cash"
"9-24-2021",95.08,"Female",73351,"Music, Shoes & Toys",412637,"Auer V","WY",287.58,"Milton Bins","20:38:17","4379 Keeling Lake",false,95.86,"Small Plastic Computer",3,"Tremayneside",true,90.25,40.70,"Cash"
"11-22-2020",true,"Female",79077,"Health, Toys & Automotive",398394,"Wiegand-Tillman","OK",44.52,"Lauren O'Reilly","10:26:51","3071 Quitzon Circles",false,6.36,"Ergonomic Plastic Gloves",7,"Williamview","reboot","overriding",47.87,"EWallet"
"8-8-2021",27.71,"Male",91216,"Garden, Shoes & Kids",197085,"Auer V","OK",106.96,"Viva Mueller","5:47:19","606 Maynard Run","mobile",15.28,"Fantastic Rubber Car",7,"Lake Misaelland",20.61,"parse",43.47,"MasterCard"
"8-26-2021","navigating","Male",59316,"Health",884681,"Kshlerin DDS","MA",907.50,"Keon Conroy","3:8:18","9711 Klein Forge",false,90.75,"Awesome Cotton Shirt",10,"North Deltamouth",true,"solid state","JBOD","Visa"
"9-26-2021",7.16,"Female",52341,"Sports, Baby & Industrial",972159,"Kshlerin DDS","TN",543.60,"Gina Ratke","18:26:53","970 Monroe Court","compress",90.60,"Gorgeous Plastic Shirt",6,"North Destinyview",true,1383918,"back up","Cash"
"10-4-2021",7369516,"Male",83406,"Automotive",814011,"Lakin, O'Connell and Monahan","HI",6.30,"Leland Collins","13:12:3","4473 Roscoe Route","port",3.15,"Rustic Wooden Table",2,"New Madeline",7139558,true,"connect","AMEX"
"5-18-2021",3202715,"Male",96112,"Automotive, Industrial & Clothing",330442,"Kuphal, Spencer and Blanda","MN",10.80,"Carmela Halvorson","0:26:17","4374 Reichert Mountains",true,2.16,"Gorgeous Plastic Table",5,"Port Madisen",3378646,"monitor",false,"Visa"
"10-23-2021",true,"Female",82937,"Computers & Grocery",119729,"Kuphal, Spencer and Blanda","HI",238.68,"Letha Kunde III","6:11:37","8885 Stiedemann Mission",4.74,26.52,"Incredible Steel Car",9,"North Juanashire",28.21,true,1835104,"EWallet"
"8-25-2021",75.97,"Female",44104,"Clothing & Games",197519,"Armstrong, Strosin and Altenwerth","MS",977.20,"Josiah Weimann","6:28:44","130 Ariel Circle",false,97.72,"Intelligent Cotton Chair",10,"West Kamille",false,32.64,false,"AMEX"
"7-25-2021",false,"Male",58194,"Electronics",980773,"Parisian, Wolff and Gorczany","CO",117.36,"Raphaelle O'Hara V","6:52:4","562 Pfannerstill Court","redundant",39.12,"Ergonomic Concrete Shirt",3,"Lucindaland",8724064,54.54,16.83,"AMEX"
"10-23-2021",93.27,"Male",73868,"Sports & Automotive",133058,"Lakin, O'Connell and Monahan","MA",491.12,"Eugenia Donnelly","9:30:15","2548 Hobart Station",65.97,61.39,"Gorgeous Cotton Gloves",8,"Olsontown",true,"virtual",11.53,"AMEX"
"10-22-2021","back-end","Male",29967,"Health",360255,"Considine PhD","MD",81.66,"Mr. Tiffany Hessel","2:6:12","37587 Parisian Route",61.06,40.83,"Incredible Wooden Computer",2,"East Sierrafort",false,86.66,"interface","EWallet"
"8-7-2021",true,"Male",13203,"Garden",113252,"Wiegand-Tillman","LA",559.02,"Ila Stamm","9:30:24","27092 Ava Port",true,93.17,"Awesome Concrete Computer",6,"Padbergtown","application",false,"solid state","MasterCard"
"8-29-2021",true,"Female",33608,"Clothing",420622,"Wiegand-Tillman","VA",176.60,"Rahsaan Rau","23:48:20","37289 Cassandra Points",17.47,44.15,"Fantastic Rubber Chair",4,"Krystalfort",6493923,43.55,"FTP","Cash"
"7-29-2021",82.33,"Female",99708,"Garden & Health",727070,"Auer V","NV",24.85,"Rico Monahan","12:1:3","574 Grant Divide",false,4.97,"Fantastic Cotton Chair",5,"New Garry","connecting","COM",0.52,"AMEX"
"5-25-2021",false,"Male",60825,"Industrial",538390,"McClure, Block and Franecki","MD",58.06,"Trey Berge","1:10:18","2673 Stroman Overpass",77.07,58.06,"Awesome Granite Shoes",1,"Jakubowskishire",12.86,false,8503014,"Visa"
"8-13-2021",41.92,"Female",70322,"Tools, Toys & Movies",585676,"Considine PhD","PA",457.38,"Samanta Champlin","12:16:37","522 Fay Loaf",11.81,65.34,"Awesome Wooden Shirt",7,"South Deangelo",false,21.47,true,"AMEX"
"10-23-2021",36.44,"Male",75341,"Health & Computers",667969,"Larkin-McClure","MA",627.92,"Eva Waters","17:30:4","582 Robel Grove",33.27,78.49,"Gorgeous Concrete Chair",8,"Leuschkeville",2.56,false,true,"Cash"
"6-18-2021",false,"Female",30716,"Clothing",606384,"Larkin-McClure","TX",61.39,"Elinor Dach","10:41:26","5376 Morissette Village",true,61.39,"Incredible Plastic Car",1,"East Israelview",false,"ADP","virtual","EWallet"
"7-1-2021","TCP","Male",45611,"Jewelery, Toys & Outdoors",318145,"Wiegand-Tillman","CA",748.90,"Mrs. Herbert Abshire","5:12:28","176 Smith Island",46.23,74.89,"Rustic Concrete Gloves",10,"Rippinside",false,32.03,18.26,"EWallet"
"2-27-2021",8897228,"Male",26127,"Grocery, Sports & Clothing",212725,"Kshlerin DDS","MI",268.60,"Tate Armstrong","0:53:54","399 Horace Plain",true,53.72,"Small Wooden Chair",5,"North Kory",205788,9011630,"COM","MasterCard"
"6-1-2021",92.78,"Male",19098,"Home",476931,"Wiegand-Tillman","TX",415.17,"Dolores Towne","13:31:1","7274 Romaguera Trail",6974501,59.31,"Small Wooden Table",7,"Raphaelview","hack",61.96,7488598,"Visa"
"10-14-2021","array","Female",77817,"Sports",272186,"Kshlerin DDS","NC",822.60,"Mr. Amiya Batz","14:50:51","184 Milton Ramp",97.24,82.26,"Incredible Steel Car",10,"West Maud",false,"AI","parse","Cash"
"10-14-2021","navigate","Female",69807,"Sports, Clothing & Games",797735,"Kuphal, Spencer and Blanda","PA",806.10,"Obie Franecki","10:19:0","988 Clementina Island",true,80.61,"Intelligent Granite Hat",10,"Connellyfurt",88.77,true,4364449,"AMEX"
